name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalAssets,"59,833,526,000","59,454,242,000","58,843,499,000","55,949,283,000","58,667,628,000","58,239,212,000","56,070,251,000","53,365,302,000","52,555,029,000","51,723,912,000","50,506,268,000","50,565,745,000","49,605,381,000","48,275,066,000","48,471,172,000","47,622,649,000","47,281,525,000","46,707,149,000","46,398,442,000","46,007,037,000","45,318,206,000","45,904,434,000","47,738,181,000","45,877,042,000","45,933,882,000","44,647,681,000","45,041,605,000","46,265,651,000","46,377,533,000","46,527,854,000","44,541,649,000","44,150,747,000","43,876,769,000","43,406,446,000","43,324,126,000","43,262,285,000","42,792,973,000","43,202,502,000","42,023,680,000","40,917,605,000","40,930,224,000","40,701,699,000","39,161,498,000","39,129,761,000","38,598,566,000","38,685,276,000","38,668,207,000","37,752,074,000","38,109,402,000","37,364,597,000","36,170,335,000","36,485,220,000","36,612,587,000","36,616,818,000","36,457,964,000","34,693,341,000","33,764,767,000","33,643,002,000","33,758,517,000","33,414,727,000","31,146,842,000","31,082,731,000","30,557,654,000","30,563,673,000","30,516,046,000","30,851,269,000","29,966,742,000","28,581,151,000","28,426,901,000","28,310,777,000","28,937,929,000","28,869,568,000","28,762,306,000","28,554,210,000","28,567,830,000","28,832,461,000","27,400,789,000","26,947,969,000","26,776,993,000","26,001,334,000","25,509,856,000","25,910,311,000","26,181,634,000","25,366,842,000","25,191,759,000","25,565,227,000","24,027,103,000","24,324,276,000","23,362,227,000","22,985,100,000","23,397,800,000","23,083,700,000","22,849,400,000","22,848,000,000","27,370,300,000","27,173,400,000","27,041,800,000","27,000,700,000","27,110,200,000","26,982,900,000","27,148,600,000","22,966,300,000","23,144,100,000","23,045,700,000","23,249,300,000","22,265,900,000","22,596,600,000","22,510,700,000","22,388,900,000","22,613,500,000","22,814,400,000","22,701,300,000","22,514,600,000","22,876,700,000","22,876,700,000","22,876,600,000","22,876,700,000"
	CurrentAssets,"3,839,001,000","3,623,595,000","4,232,667,000","3,794,706,000","4,788,554,000","4,559,899,000","4,062,805,000","3,546,996,000","3,973,951,000","3,045,992,000","3,661,672,000","3,283,508,000","3,407,776,000","2,958,064,000","3,694,546,000","3,534,450,000","3,655,734,000","3,285,331,000","3,471,231,000","3,599,344,000","3,397,491,000","3,684,268,000","4,340,035,000","3,851,928,000","4,001,195,000","4,067,412,000","4,117,346,000","4,085,050,000","4,139,985,000","4,389,633,000","4,264,539,000","4,245,133,000","4,193,316,000","3,929,691,000","3,489,590,000","3,591,722,000","3,322,873,000","3,683,126,000","3,807,750,000","3,203,500,000","3,476,337,000","3,622,703,000","4,154,498,000","3,863,142,000","3,777,586,000","4,339,083,000","5,047,463,000","4,362,522,000","4,732,620,000","4,534,161,000","3,966,803,000","4,430,066,000","4,865,366,000","5,160,389,000","5,886,964,000","4,737,995,000","3,946,246,000","3,958,247,000","4,238,065,000","4,036,838,000","3,296,108,000","3,325,434,000","3,186,334,000","3,301,974,000","3,284,104,000","4,056,294,000","4,075,158,000","3,178,914,000","3,157,266,000","3,108,118,000","3,089,260,000","3,015,581,000","3,035,319,000","2,919,244,000","3,041,399,000","3,546,401,000","2,501,312,000","3,205,583,000","2,950,430,000","2,698,777,000","2,458,800,000","2,680,684,000","3,356,711,000","3,066,696,000","3,368,072,000","3,958,015,000","3,749,454,000","3,881,156,000","3,332,374,000","3,219,100,000","3,952,800,000","4,083,300,000","3,607,200,000","3,655,300,000","3,474,100,000","3,174,800,000","3,063,500,000","3,171,300,000","3,293,700,000","3,072,100,000","2,995,200,000","2,362,500,000","2,645,200,000","2,354,500,000","2,427,300,000","2,315,200,000","2,613,800,000","2,275,300,000","2,088,500,000","2,212,400,000","2,371,500,000","2,102,100,000","1,973,800,000","2,175,100,000","2,175,100,000","2,175,100,000","2,175,100,000"
		CashCashEquivalentsAndShortTermInvestments,"701,591,000","442,559,000","1,000,036,000","686,881,000","1,742,656,000","1,759,099,000","1,239,664,000","935,468,000","1,463,833,000","425,722,000","955,831,000","635,909,000","983,496,000","480,975,000","987,981,000","812,787,000","1,205,596,000","781,273,000","546,291,000","934,495,000","1,083,062,000","1,187,844,000","1,307,434,000","996,099,000","1,091,651,000","1,350,961,000","1,040,598,000","910,370,000","1,180,546,000","1,422,026,000","1,068,509,000","650,068,000","908,483,000","785,011,000","415,073,000","348,294,000","307,369,000","578,609,000","749,719,000","283,393,000","685,002,000","694,438,000","987,140,000","529,858,000","726,237,000","1,294,472,000","1,930,919,000","1,335,524,000","1,657,034,000","1,709,551,000","1,151,201,000","1,290,007,000","1,822,851,000","1,920,491,000","2,555,888,000","1,086,421,000","943,331,000","1,273,001,000","1,466,685,000","1,320,222,000","1,080,023,000","1,016,152,000","745,028,000","728,934,000","150,640,000","221,773,000","96,591,000","104,992,000","73,455,000","79,136,000","587,841,000","585,698,000","874,963,000","692,233,000","577,544,000","1,077,781,000","377,455,000","1,335,328,000","948,846,000","730,660,000","763,295,000","751,573,000","901,276,000","698,695,000","1,029,831,000","1,382,424,000","1,233,089,000","1,797,074,000","1,686,096,000","1,213,700,000","1,344,400,000","1,085,700,000","1,086,400,000","1,184,500,000","808,200,000","773,300,000","989,000,000","830,500,000","861,800,000","687,500,000","618,200,000","388,700,000","607,400,000","345,700,000","608,400,000","544,600,000","724,800,000","462,200,000","581,300,000","622,000,000","693,900,000","461,800,000","504,100,000","563,700,000","600,300,000","600,300,000","600,300,000"
			CashAndCashEquivalents,"701,591,000","442,559,000","1,000,036,000","686,881,000","1,742,656,000","1,759,099,000","1,239,664,000","935,468,000","1,463,833,000","425,722,000","955,831,000","635,909,000","983,496,000","480,975,000","987,981,000","812,787,000","1,205,596,000","781,273,000","546,291,000","934,495,000","1,083,062,000","1,187,844,000","1,307,434,000","996,099,000","1,091,651,000","1,350,961,000","1,040,598,000","910,370,000","1,180,546,000","1,422,026,000","1,068,509,000","650,068,000","908,483,000","739,126,000","365,332,000","311,372,000","262,931,000","532,569,000","749,719,000","283,393,000","685,002,000","694,438,000","987,140,000","529,858,000","726,237,000","1,294,472,000","1,930,919,000","1,335,524,000","1,657,034,000","1,709,551,000","1,130,780,000","1,280,907,000","1,802,958,000","1,920,491,000","2,555,888,000","1,086,421,000","943,331,000","1,273,001,000","1,466,685,000","1,320,222,000","1,080,023,000","1,016,152,000","745,028,000","728,934,000","150,640,000","221,773,000","96,591,000","104,992,000","73,455,000","79,136,000","587,841,000","585,698,000","874,963,000","692,233,000","577,544,000","1,077,781,000","377,455,000","1,335,328,000","948,846,000","730,660,000","763,295,000","751,573,000","901,276,000","698,695,000","1,029,831,000","1,382,424,000","1,233,089,000","1,797,074,000","1,686,096,000","1,213,700,000","1,344,400,000","1,085,700,000","1,086,400,000","1,184,500,000","808,200,000","773,300,000","989,000,000","830,500,000","861,800,000","687,500,000","618,200,000","388,700,000","607,400,000","345,700,000","608,400,000","544,600,000","724,800,000","462,200,000","581,300,000","622,000,000","693,900,000","461,800,000","504,100,000","563,700,000","600,300,000","600,300,000","600,300,000"
				CashFinancial,"76,146,000","44,944,000","44,215,000","157,265,000","67,574,000","128,851,000","43,859,000","55,510,000","283,491,000","34,242,000","70,395,000","61,200,000","118,384,000","56,690,000","64,787,000","55,197,000","57,921,000","56,629,000","87,297,000","67,238,000","60,868,000","129,579,000","101,905,000","103,282,000","81,624,000","63,497,000","79,637,000","60,004,000","67,120,000","131,327,000","90,910,000","148,639,000","108,053,000","129,979,000","102,949,000","86,324,000","66,114,000","112,992,000","96,996,000","90,279,000","63,117,000","81,468,000","135,673,000","94,968,000","103,797,000","76,290,000","87,617,000","77,155,000","75,446,000","85,861,000","62,895,000","75,261,000","94,372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"625,445,000","397,615,000","955,821,000","529,616,000","1,675,082,000","1,630,248,000","1,195,805,000","879,958,000","1,180,342,000","391,480,000","885,436,000","574,709,000","865,112,000","424,285,000","923,194,000","757,590,000","1,147,675,000","724,644,000","458,994,000","867,257,000","1,022,194,000","1,058,265,000","1,205,529,000","892,817,000","1,010,027,000","1,287,464,000","960,961,000","850,366,000","1,113,426,000","1,290,699,000","977,599,000","501,429,000","800,430,000","609,147,000","262,383,000","225,048,000","196,817,000","419,577,000","652,723,000","193,114,000","621,885,000","612,970,000","851,467,000","434,890,000","622,440,000","1,218,182,000","1,843,302,000","1,258,369,000","1,581,588,000","1,623,690,000","1,067,885,000","1,205,646,000","1,708,586,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,885,000","49,741,000","36,922,000","44,438,000","46,040,000",,,"49,364,000",,,,,,,,,,"20,421,000","9,100,000","19,893,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,215,002,000","1,370,356,000","1,530,809,000","1,440,004,000","1,338,416,000","1,285,727,000","1,347,420,000","1,177,420,000","1,076,073,000","1,208,592,000","1,338,371,000","1,234,624,000","1,074,709,000","1,114,405,000","1,366,653,000","1,258,466,000","1,081,801,000","1,212,950,000","1,313,343,000","1,120,436,000","973,143,000","1,170,167,000","1,380,457,000","1,169,970,000","993,424,000","1,068,900,000","1,333,139,000","1,190,363,000","1,067,907,000","1,103,255,000","1,313,383,000","1,232,949,000","1,128,192,000","1,172,186,000","1,267,759,000","1,222,433,000","1,031,560,000","1,001,715,000","1,147,280,000","1,037,450,000","829,063,000","1,001,868,000","1,248,373,000","1,203,102,000","932,137,000","1,035,582,000","1,217,205,000","1,166,155,000","936,998,000","980,827,000","1,082,415,000","1,095,384,000","994,985,000","1,481,049,000","1,441,416,000","1,392,876,000","1,185,440,000","1,176,071,000","1,430,880,000","1,236,513,000","1,021,080,000","1,127,593,000","1,343,401,000","1,221,912,000","1,160,801,000","1,535,634,000","1,844,210,000","1,359,164,000","1,068,181,000","1,213,761,000","1,346,277,000","1,188,182,000","993,195,000","1,005,529,000","1,189,113,000","1,173,367,000","947,156,000","861,762,000","1,071,106,000","1,002,868,000","755,889,000","833,032,000","1,124,751,000","1,118,102,000","1,090,865,000","1,302,409,000","1,341,713,000","1,025,286,000","761,006,000","787,300,000","1,129,200,000","2,096,300,000","1,671,600,000","1,672,400,000","1,671,700,000","1,339,800,000","1,103,500,000","1,272,000,000","1,347,700,000","1,203,000,000","1,189,300,000","776,400,000","906,100,000","850,500,000","711,000,000","692,900,000","847,400,000","751,500,000","555,400,000","651,800,000","770,200,000","733,700,000","582,300,000","672,700,000","672,700,000","672,700,000","672,600,000"
			AccountsReceivable,"637,134,000","718,258,000","885,909,000","768,032,000","764,325,000","715,684,000","771,368,000","593,070,000","593,757,000","588,105,000","724,776,000","646,062,000","582,061,000","551,172,000","774,044,000","648,201,000","602,138,000","659,760,000","740,915,000","566,727,000","499,701,000","643,071,000","713,583,000","499,660,000","518,207,000","568,596,000","766,383,000","598,212,000","602,837,000","561,254,000","730,619,000","669,805,000","667,470,000","636,330,000","719,551,000","619,733,000","604,572,000","536,915,000","661,497,000","678,329,000","568,524,000","703,585,000","919,278,000","825,125,000","667,642,000","732,681,000","866,892,000","615,445,000","542,225,000","980,827,000","763,239,000","566,540,000","994,985,000","1,198,135,000","1,165,811,000","1,045,713,000","936,542,000","887,995,000","1,085,559,000","903,036,000","790,100,000","878,428,000","1,050,789,000","942,216,000","926,894,000","1,058,064,000","1,314,070,000","761,803,000","690,111,000","753,722,000","874,492,000","678,146,000","627,597,000","620,669,000","760,772,000","741,835,000","635,615,000","542,629,000","705,949,000","599,026,000","477,629,000","564,352,000","755,848,000","672,948,000","724,826,000","887,000,000","907,929,000","649,303,000","486,804,000","488,700,000","783,100,000","1,730,600,000","1,448,500,000","1,427,000,000","1,107,300,000","806,600,000","641,800,000","691,800,000","835,600,000","724,400,000","721,100,000","425,000,000","533,000,000","460,800,000","427,100,000","399,400,000","512,700,000","400,800,000","338,700,000","411,200,000","484,400,000","442,500,000","375,200,000","415,400,000","415,400,000","415,400,000","415,300,000"
				GrossAccountsReceivable,"668,620,000","786,866,000","981,996,000","877,221,000","883,352,000","833,478,000","844,794,000","636,351,000","602,278,000","595,509,000","732,763,000","653,027,000","589,519,000","558,494,000","789,633,000","662,746,000","616,653,000","673,347,000","754,484,000","579,674,000","512,225,000","654,995,000","724,970,000","542,598,000","559,584,000","608,491,000","805,964,000","636,610,000","638,721,000","596,917,000","765,306,000","703,524,000","701,534,000","670,641,000","753,033,000","651,863,000","636,694,000","568,871,000","693,022,000","708,555,000","598,603,000","734,744,000","951,417,000","856,127,000","698,396,000","764,458,000","899,887,000","646,714,000","570,657,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
