name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalAssets,"9,432,281,000","9,488,529,000","9,436,054,000","9,495,832,000","9,328,979,000","8,967,897,000","9,190,572,000","9,474,296,000","9,005,496,000","8,764,649,000","7,571,991,000","7,334,605,000","7,229,262,000","7,252,221,000","7,105,363,000","7,097,346,000","7,005,329,000","7,060,255,000","7,170,179,000","7,086,166,000","7,065,098,000","6,943,053,000","6,718,205,000","6,674,205,000","6,479,162,000","6,318,354,000","6,215,338,000","6,133,728,000","5,971,293,000","4,964,686,000","4,906,744,000","4,788,030,000","4,706,987,000","4,533,190,000","4,588,128,000","4,528,759,000","4,479,863,000","4,526,702,000","4,422,258,000","4,347,392,000","4,330,975,000","4,119,994,000","4,091,970,000","4,058,290,000","4,090,054,000","4,114,339,000","4,098,108,000","4,139,238,000","4,135,767,000","4,170,475,000","4,208,224,000","4,243,876,000","4,314,540,000","4,438,368,000","4,461,085,000","4,353,568,000","3,463,806,000","3,421,169,000","3,361,746,000","3,382,057,000","3,376,560,000","3,338,543,000","3,278,710,000","3,301,896,000","3,250,246,000","3,194,979,000","3,104,433,000","3,095,177,000","3,027,881,000","2,989,034,000","3,009,776,000","3,006,203,000","2,956,404,000","2,900,272,000","2,858,678,000","2,915,039,000","2,855,658,000","2,823,867,000","2,776,968,000","2,425,854,000","2,362,616,000","2,357,874,000","2,294,868,000","2,363,970,000","2,354,398,000","2,310,290,000","2,296,268,000","2,290,409,000","2,233,108,000","2,194,100,000","2,180,200,000","2,131,900,000","2,040,900,000","2,069,600,000","2,037,100,000","1,973,500,000","2,002,100,000","1,920,300,000","1,832,200,000","1,780,800,000","1,512,100,000","1,495,900,000","1,455,300,000","1,424,900,000","1,403,600,000","1,400,700,000","1,360,400,000","1,329,600,000","1,293,000,000","1,293,700,000","1,264,700,000","1,238,300,000","1,212,300,000","1,194,000,000","1,154,600,000","1,135,800,000","1,118,200,000","1,106,800,000","1,109,900,000","1,094,900,000","1,061,700,000","1,060,200,000","940,700,000","816,500,000","822,700,000","818,100,000","807,500,000","808,000,000"
TotalLiabilitiesNetMinorityInterest,"8,247,331,000","8,282,075,000","8,234,373,000","8,307,099,000","8,160,701,000","7,813,186,000","8,048,457,000","8,338,519,000","7,829,245,000","7,572,651,000","6,589,544,000","6,369,652,000","6,286,106,000","6,316,460,000","6,185,582,000","6,190,213,000","6,109,922,000","6,176,224,000","6,282,603,000","6,215,104,000","6,209,918,000","6,101,097,000","5,879,498,000","5,849,155,000","5,668,361,000","5,526,117,000","5,427,535,000","5,362,499,000","5,209,035,000","4,356,297,000","4,300,847,000","4,190,843,000","4,123,336,000","3,961,884,000","4,032,700,000","3,981,907,000","3,935,249,000","3,989,280,000","3,888,016,000","3,836,816,000","3,826,557,000","3,629,468,000","3,488,296,000","3,465,753,000","3,509,939,000","3,535,674,000","3,523,601,000","3,573,035,000","3,575,024,000","3,617,157,000","3,666,542,000","3,710,782,000","3,767,264,000","3,989,674,000","4,010,368,000","3,915,069,000","3,114,733,000","3,083,609,000","3,033,883,000","3,064,350,000","3,049,001,000","2,999,492,000","2,943,699,000","2,964,298,000","2,900,350,000","2,842,558,000","2,752,450,000","2,752,325,000","2,680,602,000","2,639,905,000","2,671,201,000","2,684,578,000","2,617,309,000","2,567,554,000","2,537,742,000","2,595,697,000","2,551,346,000","2,517,753,000","2,478,363,000","2,126,145,000","2,070,019,000","2,064,547,000","2,003,519,000","2,073,064,000","2,069,770,000","2,033,193,000","2,031,461,000","2,042,495,000","1,991,179,000","1,954,400,000","1,938,800,000","1,884,300,000","1,796,100,000","1,810,000,000","1,785,900,000","1,724,000,000","1,750,800,000","1,660,200,000","1,582,100,000","1,542,200,000","1,333,200,000","1,319,600,000","1,286,500,000","1,261,900,000","1,241,900,000","1,233,800,000","1,202,200,000","1,177,300,000","1,146,000,000","1,152,100,000","1,123,100,000","1,099,500,000","1,075,500,000","1,072,900,000","1,036,800,000","1,021,100,000","1,006,300,000","997,900,000","1,003,800,000","991,700,000","961,300,000","961,800,000","844,300,000","722,100,000","731,400,000","727,900,000","719,200,000","721,600,000"
TotalEquityGrossMinorityInterest,"1,184,950,000","1,206,454,000","1,201,681,000","1,188,733,000","1,168,278,000","1,154,711,000","1,142,115,000","1,135,777,000","1,176,251,000","1,191,998,000","982,447,000","964,953,000","943,156,000","935,761,000","919,781,000","907,133,000","895,407,000","884,031,000","887,576,000","871,062,000","855,180,000","841,956,000","838,707,000","825,050,000","810,801,000","792,237,000","787,803,000","771,229,000","762,258,000","608,389,000","605,897,000","597,187,000","583,651,000","571,306,000","555,428,000","546,852,000","544,614,000","537,422,000","534,242,000","510,576,000","504,418,000","490,526,000","603,674,000","592,537,000","580,115,000","578,665,000","574,507,000","566,203,000","560,743,000","553,318,000","541,682,000","533,094,000","547,276,000","448,694,000","450,717,000","438,499,000","349,073,000","337,560,000","327,863,000","317,707,000","327,559,000","339,051,000","335,011,000","337,598,000","349,896,000","352,421,000","351,983,000","342,852,000","347,279,000","349,129,000","338,575,000","321,625,000","339,095,000","332,718,000","320,936,000","319,342,000","304,312,000","306,114,000","298,605,000","299,709,000","292,597,000","293,327,000","291,349,000","290,906,000","284,628,000","277,097,000","264,807,000","247,914,000","241,929,000","239,700,000","241,400,000","247,600,000","244,800,000","259,600,000","251,200,000","249,500,000","251,300,000","260,100,000","250,100,000","238,600,000","178,900,000","176,300,000","168,800,000","163,000,000","161,700,000","166,900,000","158,200,000","152,300,000","147,000,000","141,600,000","141,600,000","138,800,000","136,800,000","121,100,000","117,800,000","114,700,000","111,900,000","108,900,000","106,100,000","103,200,000","100,400,000","98,400,000","96,400,000","94,400,000","91,300,000","90,200,000","88,300,000","86,400,000"
	StockholdersEquity,"1,184,950,000","1,206,454,000","1,201,681,000","1,188,733,000","1,168,278,000","1,154,711,000","1,142,115,000","1,135,777,000","1,176,251,000","1,191,998,000","982,447,000","964,953,000","943,156,000","935,761,000","919,781,000","907,133,000","895,407,000","884,031,000","887,576,000","871,062,000","855,180,000","841,956,000","838,707,000","825,050,000","810,801,000","792,237,000","787,803,000","771,229,000","762,258,000","608,389,000","605,897,000","597,187,000","583,651,000","571,306,000","555,428,000","546,852,000","544,614,000","537,422,000","534,242,000","510,576,000","504,418,000","490,526,000","603,674,000","592,537,000","580,115,000","578,665,000","574,507,000","566,203,000","560,743,000","553,318,000","541,682,000","533,094,000","547,276,000","448,694,000","450,717,000","438,499,000","349,073,000","337,560,000","327,863,000","317,707,000","327,559,000","339,051,000","335,011,000","337,598,000","349,896,000","352,421,000","351,983,000","342,852,000","347,279,000","349,129,000","338,575,000","321,625,000","339,095,000","332,718,000","320,936,000","319,342,000","304,312,000","306,114,000","298,605,000","299,709,000","292,597,000","293,327,000","291,349,000","290,906,000","284,628,000","277,097,000","264,807,000","247,914,000","241,929,000","239,700,000","241,400,000","247,600,000","244,800,000","259,600,000","251,200,000","249,500,000","251,300,000","260,100,000","250,100,000","238,600,000","178,900,000","176,300,000","168,800,000","163,000,000","161,700,000","166,900,000","158,200,000","152,300,000","147,000,000","141,600,000","141,600,000","138,800,000","136,800,000","121,100,000","117,800,000","114,700,000","111,900,000","108,900,000","106,100,000","103,200,000","100,400,000","98,400,000","96,400,000","94,400,000","91,300,000","90,200,000","88,300,000","86,400,000"
		CapitalStock,"103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","76,011,000","75,968,000","74,285,000","181,018,000","180,817,000","180,618,000","180,422,000","180,227,000","180,034,000","179,843,000","179,655,000","179,468,000","179,283,000","179,100,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","106,733,000","106,532,000","106,333,000","106,137,000","105,942,000","105,749,000","105,558,000","105,370,000","105,183,000","104,998,000","104,815,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","103,623,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","90,326,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","77,993,000","76,011,000","75,968,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,285,000","74,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"403,841,000","403,095,000","403,028,000","402,053,000","401,353,000","400,668,000","400,789,000","400,417,000","400,387,000","399,944,000","212,040,000","211,325,000","210,949,000","210,345,000","209,685,000","216,885,000","216,618,000","216,106,000","215,451,000","214,941,000","214,100,000","213,098,000","212,407,000","211,824,000","211,276,000","210,545,000","210,141,000","209,709,000","209,150,000","78,818,000","78,816,000","78,570,000","78,325,000","78,140,000","77,835,000","77,672,000","77,541,000","77,458,000","77,230,000","65,805,000","65,116,000","52,637,000","52,400,000","52,104,000","51,837,000","51,570,000","51,399,000","51,271,000","51,240,000","51,158,000","46,995,000","47,229,000","47,472,000","43,327,000","43,139,000","42,478,000","26,785,000","27,502,000","26,908,000","26,714,000","26,776,000","26,698,000","26,596,000","26,487,000","26,325,000","26,120,000","25,896,000","24,889,000","24,741,000","24,079,000","23,405,000","22,774,000","22,528,000","22,386,000","21,892,000","21,772,000","21,689,000","21,673,000","21,310,000","21,289,000","21,092,000","21,051,000","21,027,000","21,004,000","21,018,000","21,028,000","21,053,000","21,060,000","21,068,000","21,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"791,345,000","773,659,000","762,374,000","746,472,000","731,718,000","710,061,000","698,351,000","692,240,000","740,726,000","761,083,000","748,280,000","730,577,000","716,078,000","701,819,000","684,361,000","662,112,000","649,925,000","628,107,000","626,283,000","610,504,000","595,105,000","585,891,000","575,192,000","561,132,000","551,229,000","544,228,000","533,442,000","521,056,000","509,575,000","504,060,000","494,909,000","485,277,000","477,790,000","468,158,000","461,044,000","453,258,000","444,115,000","436,039,000","430,936,000","422,731,000","419,263,000","421,468,000","416,616,000","408,868,000","400,501,000","401,734,000","397,964,000","391,494,000","388,291,000","383,118,000","380,131,000","376,569,000","390,915,000","402,608,000","395,367,000","388,233,000","382,869,000","375,654,000","369,954,000","361,656,000","355,120,000","349,447,000","343,839,000","336,598,000","332,812,000","326,158,000","319,207,000","312,221,000","304,048,000","297,690,000","290,324,000","284,204,000","277,692,000","271,699,000","265,421,000","259,030,000","252,849,000","246,920,000","240,669,000","234,609,000","229,170,000","224,044,000","218,584,000","212,889,000","207,151,000","201,435,000","195,733,000","189,988,000","184,512,000","179,100,000","173,900,000","168,500,000","163,500,000","158,300,000","153,500,000","185,700,000","180,800,000","175,700,000","171,200,000","166,500,000","128,300,000","124,800,000","121,700,000","118,300,000","115,200,000","112,000,000","109,100,000","105,900,000","102,800,000","99,800,000","97,100,000","94,100,000","91,100,000","88,200,000","85,500,000","82,800,000","80,100,000","77,400,000","67,500,000","64,800,000","69,600,000","67,600,000","65,700,000","63,700,000","60,300,000","59,000,000","57,200,000","55,300,000"
		TreasuryStock,"66,816,000","66,833,000","66,315,000","67,020,000","69,477,000","68,612,000","70,101,000","69,735,000","74,157,000","60,982,000","60,886,000","57,756,000","57,266,000","43,622,000","31,338,000","31,245,000","31,509,000","32,081,000","31,880,000","31,851,000","31,755,000","33,575,000","33,575,000","33,484,000","33,914,000","36,405,000","36,370,000","36,341,000","36,765,000","38,649,000","38,649,000","38,627,000","40,809,000","40,291,000","40,276,000","40,276,000","40,692,000","40,486,000","40,447,000","40,582,000","41,843,000","43,756,000","44,441,000","45,204,000","46,452,000","48,727,000","51,561,000","52,374,000","53,536,000","54,399,000","56,106,000","56,943,000","57,419,000","57,540,000","58,769,000","63,742,000","141,010,000","142,781,000","143,000,000","144,961,000","130,814,000","115,393,000","116,680,000","104,161,000","90,237,000","83,314,000","79,511,000","83,338,000","69,815,000","67,800,000","69,685,000","75,497,000","64,496,000","62,837,000","66,405,000","68,492,000","69,910,000","63,263,000","63,814,000","60,538,000","62,702,000","59,500,000","56,126,000","53,493,000","51,969,000","52,153,000","51,425,000","51,418,000","51,171,000","51,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
