name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
OperatingCashFlow,"169,900,000","26,700,000","-9,100,000","80,200,000","72,100,000","50,500,000","23,300,000","70,000,000","32,300,000","19,800,000","-24,900,000","38,900,000","57,800,000","-4,300,000","5,900,000","40,700,000"
	CashFlowFromContinuingOperatingActivities,"169,900,000","26,700,000","-9,100,000","80,200,000","72,100,000","50,500,000","23,300,000","70,000,000","32,300,000","19,800,000","-24,900,000","38,900,000","57,800,000","-4,300,000","5,900,000","40,700,000"
		NetIncomeFromContinuingOperations,"122,200,000","3,900,000","39,300,000","40,500,000","38,500,000","2,500,000","32,900,000","35,500,000","14,200,000","18,600,000","31,800,000","26,700,000","40,300,000","31,000,000","25,100,000","26,400,000"
		OperatingGainsLosses,"13,800,000","19,300,000","-1,700,000","-400,000","-500,000","-700,000","-700,000","-200,000",,,,,,,,
			GainLossOnInvestmentSecurities,,,"-1,700,000","-400,000","-500,000","-700,000","-700,000","-200,000",,,,,,,,
		DepreciationAmortizationDepletion,"33,700,000","5,300,000","5,300,000","5,400,000","17,700,000","23,900,000","6,700,000","6,300,000","6,200,000","6,400,000","6,400,000","6,300,000","6,300,000","6,300,000","6,400,000","6,500,000"
			DepreciationAndAmortization,"33,700,000","5,300,000","5,300,000","5,400,000","17,700,000","23,900,000","6,700,000","6,300,000","6,200,000","6,400,000","6,400,000","6,300,000","6,300,000","6,300,000","6,400,000","6,500,000"
		DeferredTax,"900,000","800,000","900,000","800,000","-1,600,000","-1,400,000","700,000","300,000","-200,000","-3,600,000","200,000","-1,800,000","-300,000","900,000","1,700,000","1,800,000"
			DeferredIncomeTax,"900,000","800,000","900,000","800,000","-1,600,000","-1,400,000","700,000","300,000","-200,000","-3,600,000","200,000","-1,800,000","-300,000","900,000","1,700,000","1,800,000"
		StockBasedCompensation,"5,700,000","1,800,000","1,500,000","1,200,000","1,200,000","1,100,000","1,100,000","700,000","700,000","800,000","300,000",,,"0","0",
