name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998
TotalAssets,"38,271,186,000","37,833,970,000","36,512,119,000","36,099,924,000","35,558,418,000","34,059,275,000","33,197,599,000","32,966,649,000","31,743,499,000","32,185,708,000","22,092,817,000","22,375,221,000","22,354,241,000","22,693,402,000","22,612,583,000","22,570,740,000","22,472,314,000","22,587,292,000","22,143,263,000","22,296,543,000","22,477,419,000","22,331,072,000","21,404,044,000","21,796,310,000","21,978,345,000","22,037,216,000","21,567,236,000","21,686,287,000","21,606,859,000","21,507,733,000","21,117,314,000","21,248,106,000","18,913,133,000","18,642,028,000","16,054,279,000","16,270,718,000","15,081,314,000","14,583,573,000","13,712,119,000","10,737,351,000","10,889,955,000","9,822,671,000","9,567,087,000","9,657,147,000","9,722,947,000","9,476,572,000","9,238,502,000","9,608,822,000","9,218,733,000","8,850,400,000","8,957,332,000","8,838,599,000","8,799,197,000","9,072,364,000","6,787,909,000","6,793,734,000","6,464,733,000","6,372,343,000","6,170,524,000","6,184,914,000","6,326,699,000","4,586,769,000","4,455,716,000","4,531,951,000","3,571,613,000","3,585,982,000","3,493,972,000","3,446,816,000","3,479,747,000","2,697,228,000","2,713,314,000","2,434,344,000","2,449,553,000","2,398,683,000","2,078,532,000","1,983,277,000","1,879,386,000","1,822,256,000","1,690,109,000","1,360,356,000","1,289,637,000","1,262,325,000","1,231,983,000","1,165,780,000","1,169,731,000","703,073,000","693,079,000","591,796,000","598,455,000","608,700,000","444,400,000","442,800,000","461,900,000","436,300,000","336,400,000","335,400,000"
TotalLiabilitiesNetMinorityInterest,"31,766,762,000","31,406,734,000","30,166,678,000","29,789,587,000","29,336,572,000","27,928,606,000","27,162,722,000","27,018,527,000","25,887,925,000","26,214,873,000","17,966,011,000","18,247,326,000","18,244,451,000","18,640,578,000","18,616,886,000","18,635,288,000","18,596,169,000","18,763,138,000","18,361,905,000","18,560,355,000","18,788,337,000","18,688,761,000","17,809,232,000","18,251,726,000","18,479,285,000","18,574,306,000","18,155,997,000","18,329,002,000","18,304,998,000","18,262,907,000","17,934,364,000","18,127,512,000","16,072,379,000","15,855,210,000","13,665,167,000","13,925,436,000","12,931,859,000","12,494,184,000","11,673,943,000","9,093,534,000","9,280,422,000","8,255,406,000","8,025,748,000","8,145,499,000","8,242,449,000","8,024,233,000","7,808,932,000","8,204,688,000","7,840,826,000","7,499,155,000","7,630,297,000","7,539,856,000","7,518,649,000","7,817,258,000","5,558,729,000","5,576,129,000","5,318,668,000","5,244,912,000","5,059,279,000","5,103,338,000","5,260,130,000","3,922,358,000","3,805,563,000","3,896,578,000","3,096,156,000","3,121,265,000","3,047,237,000","3,010,513,000","3,054,018,000","2,421,581,000","2,444,049,000","2,206,118,000","2,223,626,000","2,179,095,000","1,864,053,000","1,783,687,000","1,686,122,000","1,634,517,000","1,507,537,000","1,235,976,000","1,169,856,000","1,146,600,000","1,115,980,000","1,070,700,000","1,075,846,000","638,454,000","632,775,000","534,664,000","542,697,000","553,400,000","401,500,000","400,600,000","419,600,000","394,900,000","308,600,000","308,900,000"
TotalEquityGrossMinorityInterest,"6,504,424,000","6,427,236,000","6,345,441,000","6,310,337,000","6,221,846,000","6,130,669,000","6,034,877,000","5,948,122,000","5,855,574,000","5,970,835,000","4,126,806,000","4,127,895,000","4,109,790,000","4,052,824,000","3,995,697,000","3,935,452,000","3,876,145,000","3,824,154,000","3,781,358,000","3,736,188,000","3,689,082,000","3,642,311,000","3,594,812,000","3,544,584,000","3,499,060,000","3,462,910,000","3,411,239,000","3,357,285,000","3,301,861,000","3,244,826,000","3,182,950,000","3,120,594,000","2,840,754,000","2,786,818,000","2,389,112,000","2,345,282,000","2,149,455,000","2,089,389,000","2,038,176,000","1,643,817,000","1,609,533,000","1,567,265,000","1,541,339,000","1,511,648,000","1,480,498,000","1,452,339,000","1,429,570,000","1,404,134,000","1,377,907,000","1,351,245,000","1,327,035,000","1,298,743,000","1,280,548,000","1,255,106,000","1,229,180,000","1,217,605,000","1,146,065,000","1,127,431,000","1,111,245,000","1,081,576,000","1,066,569,000","664,411,000","650,153,000","635,373,000","475,457,000","464,717,000","446,735,000","436,303,000","425,729,000","275,647,000","269,265,000","228,226,000","225,927,000","219,588,000","214,479,000","199,590,000","193,264,000","187,739,000","182,572,000","124,380,000","119,781,000","115,725,000","116,003,000","95,080,000","93,885,000","64,619,000","60,304,000","57,132,000","55,758,000","55,300,000","42,900,000","42,200,000","42,300,000","41,400,000","27,800,000","26,500,000"
	StockholdersEquity,"6,504,424,000","6,427,236,000","6,345,441,000","6,310,337,000","6,221,846,000","6,130,669,000","6,034,877,000","5,948,122,000","5,855,574,000","5,970,835,000","4,126,806,000","4,127,895,000","4,109,790,000","4,052,824,000","3,995,697,000","3,935,452,000","3,876,145,000","3,824,154,000","3,781,358,000","3,736,188,000","3,689,082,000","3,642,311,000","3,594,812,000","3,544,584,000","3,499,060,000","3,462,910,000","3,411,239,000","3,357,285,000","3,301,861,000","3,244,826,000","3,182,950,000","3,120,594,000","2,840,754,000","2,786,818,000","2,389,112,000","2,345,282,000","2,149,455,000","2,089,389,000","2,038,176,000","1,643,817,000","1,609,533,000","1,567,265,000","1,541,339,000","1,511,648,000","1,480,498,000","1,452,339,000","1,429,570,000","1,404,134,000","1,377,907,000","1,351,245,000","1,327,035,000","1,298,743,000","1,280,548,000","1,255,106,000","1,229,180,000","1,217,605,000","1,146,065,000","1,127,431,000","1,111,245,000","1,081,576,000","1,066,569,000","664,411,000","650,153,000","635,373,000","475,457,000","464,717,000","446,735,000","436,303,000","425,729,000","275,647,000","269,265,000","228,226,000","225,927,000","219,588,000","168,979,000","166,590,000","160,264,000","154,739,000","149,572,000","97,380,000","92,781,000","88,725,000","89,003,000","83,080,000","81,885,000","52,619,000","60,304,000","57,132,000","55,758,000","55,300,000","42,900,000","42,200,000","42,300,000","41,400,000","27,800,000","26,500,000"
		CapitalStock,"92,160,000","92,171,000","92,161,000","92,935,000","92,929,000","92,571,000","92,562,000","92,660,000","92,651,000","94,746,000","68,397,000","69,261,000","69,846,000","69,847,000","69,838,000","69,838,000","69,819,000","69,491,000","69,484,000","69,488,000","69,480,000","69,491,000","69,477,000","69,480,000","69,580,000","70,059,000","70,078,000","70,077,000","70,061,000","69,817,000","69,793,000","69,782,000","66,298,000","66,085,000","60,420,000","60,352,000","57,051,000","56,484,000","56,095,000","47,511,000","47,334,000","46,947,000","46,930,000","46,926,000","46,819,000","46,721,000","46,690,000","46,659,000","46,613,000","46,578,000","46,190,000","46,146,000","46,137,000","46,117,000","46,109,000","46,096,000","44,316,000","44,188,000","44,147,000","43,848,000","43,803,000","32,830,000","32,824,000","32,801,000","27,906,000","27,858,000","27,600,000","27,573,000","27,513,000","22,418,000","22,416,000","21,027,000","20,982,000","20,967,000","19,001,000","18,979,000","18,951,000","18,903,000","18,893,000","16,277,000","8,124,000","8,109,000","8,103,000","8,099,000","8,091,000","5,275,000","17,255,000","17,232,000","17,221,000","17,200,000","5,200,000",,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000","12,000,000","12,000,000","12,000,000",,,,,,
			CommonStock,"92,160,000","92,171,000","92,161,000","92,935,000","92,929,000","92,571,000","92,562,000","92,660,000","92,651,000","94,746,000","68,397,000","69,261,000","69,846,000","69,847,000","69,838,000","69,838,000","69,819,000","69,491,000","69,484,000","69,488,000","69,480,000","69,491,000","69,477,000","69,480,000","69,580,000","70,059,000","70,078,000","70,077,000","70,061,000","69,817,000","69,793,000","69,782,000","66,298,000","66,085,000","60,420,000","60,352,000","57,051,000","56,484,000","56,095,000","47,511,000","47,334,000","46,947,000","46,930,000","46,926,000","46,819,000","46,721,000","46,690,000","46,659,000","46,613,000","46,578,000","46,190,000","46,146,000","46,137,000","46,117,000","46,109,000","46,096,000","44,316,000","44,188,000","44,147,000","43,848,000","43,803,000","32,830,000","32,824,000","32,801,000","27,906,000","27,858,000","27,600,000","27,573,000","27,513,000","22,418,000","22,416,000","21,027,000","20,982,000","20,967,000","19,001,000","18,979,000","18,951,000","18,903,000","18,893,000","16,277,000","8,124,000","8,109,000","8,103,000","8,099,000","8,091,000","5,275,000","5,255,000","5,232,000","5,221,000","5,200,000","5,200,000",,,,,
		AdditionalPaidInCapital,"3,597,957,000","3,595,023,000","3,591,949,000","3,640,266,000","3,637,188,000","3,634,140,000","3,631,213,000","3,632,847,000","3,629,893,000","3,734,519,000","1,959,960,000","2,012,665,000","2,048,156,000","2,045,351,000","2,042,778,000","2,040,032,000","2,037,498,000","2,035,219,000","2,033,379,000","2,031,684,000","2,029,950,000","2,028,129,000","2,025,722,000","2,023,179,000","2,024,849,000","2,036,378,000","2,033,737,000","2,030,732,000","2,027,754,000","2,025,235,000","2,022,586,000","2,019,453,000","1,801,659,000","1,798,862,000","1,453,263,000","1,451,064,000","1,297,891,000","1,274,290,000","1,257,541,000","906,545,000","898,962,000","883,575,000","882,620,000","881,509,000","879,016,000","876,050,000","874,779,000","873,555,000","872,102,000","870,460,000","869,451,000","868,431,000","868,054,000","867,380,000","866,871,000","866,201,000","811,172,000","809,026,000","807,760,000","798,698,000","800,062,000","425,557,000","425,300,000","424,699,000","281,338,000","280,525,000","272,972,000","272,459,000","271,916,000","134,288,000","134,160,000","102,830,000","102,642,000","102,594,000","60,491,000","60,545,000","60,464,000","60,312,000","60,273,000","16,953,000","25,005,000","24,955,000","24,933,000","25,380,000","25,533,000","16,049,000","15,981,000","15,994,000","15,957,000","15,900,000","16,400,000",,,,,
		RetainedEarnings,"2,812,636,000","2,738,233,000","2,659,370,000","2,576,035,000","2,490,963,000","2,403,189,000","2,311,451,000","2,224,011,000","2,135,733,000","2,140,968,000","2,098,411,000","2,044,696,000","1,991,081,000","1,937,316,000","1,882,618,000","1,825,237,000","1,768,783,000","1,719,557,000","1,677,432,000","1,633,150,000","1,588,222,000","1,543,280,000","1,498,111,000","1,450,302,000","1,403,102,000","1,355,040,000","1,305,569,000","1,254,057,000","1,201,211,000","1,146,652,000","1,087,437,000","1,027,607,000","968,839,000","917,595,000","870,454,000","828,153,000","787,285,000","750,236,000","714,103,000","678,857,000","651,142,000","623,878,000","596,615,000","568,449,000","541,563,000","515,871,000","491,243,000","466,309,000","441,788,000","418,008,000","394,654,000","371,674,000","351,504,000","332,363,000","316,014,000","306,326,000","288,647,000","273,407,000","261,846,000","242,959,000","224,894,000","209,581,000","196,668,000","183,581,000","170,960,000","160,883,000","151,035,000","140,840,000","130,903,000","122,647,000","115,157,000","107,890,000","101,101,000","94,610,000","88,721,000","83,433,000","78,123,000","72,917,000","67,575,000","62,959,000","59,060,000","55,462,000","52,283,000","49,361,000","46,602,000","31,028,000","29,442,000","27,898,000","26,387,000","24,900,000","23,200,000","21,400,000","20,600,000","19,500,000","18,600,000","17,700,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,"0",,"0","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","607,000","37,000","37,000","37,000","37,000","37,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000",,,,,,,
