name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
TotalRevenue,"3,044,621,000","808,595,000","794,654,000","778,460,000","662,912,000","596,524,000","574,679,000","575,179,000","479,140,000","426,311,000","424,770,000","445,016,000","459,774,000","515,336,000","467,771,000","546,585,000","528,836,000","571,227,000","581,204,000","587,283,000","568,749,000","578,753,000","653,558,000","684,312,000","630,269,000","612,303,000","592,557,000","551,377,000","514,497,000","485,389,000","506,881,000","525,149,000","565,995,000","565,165,000","524,228,000","422,825,000","361,701,000"
	OperatingRevenue,"3,044,621,000","808,595,000","794,654,000","778,460,000","662,912,000","596,524,000","574,679,000","575,179,000","479,140,000","426,311,000","424,770,000","445,016,000","459,774,000","515,336,000","467,771,000","546,585,000","528,836,000","571,227,000","581,204,000","587,283,000","568,749,000","578,753,000","653,558,000","684,312,000","630,269,000","612,303,000","592,557,000","551,377,000","514,497,000","485,389,000","506,881,000","525,149,000","565,995,000","565,165,000","524,228,000","422,825,000","361,701,000"
CostOfRevenue,"1,935,389,000","521,181,000","513,184,000","479,539,000","421,485,000","414,054,000","411,447,000","413,289,000","353,772,000","341,677,000","335,980,000","354,752,000","364,696,000","415,979,000","373,535,000","437,828,000","415,498,000","461,905,000","455,099,000","448,306,000","422,191,000","434,959,000","484,952,000","498,903,000","458,892,000","448,678,000","425,053,000","402,353,000","375,205,000","362,551,000","372,844,000","396,554,000","422,544,000","408,202,000","390,552,000","324,364,000","283,498,000"
GrossProfit,"1,109,232,000","287,414,000","281,470,000","298,921,000","241,427,000","182,470,000","163,232,000","161,890,000","125,368,000","84,634,000","88,790,000","90,264,000","95,078,000","99,357,000","94,236,000","108,757,000","113,338,000","109,322,000","126,105,000","138,977,000","146,558,000","143,794,000","168,606,000","185,409,000","171,377,000","163,625,000","167,504,000","149,024,000","139,292,000","122,838,000","134,037,000","128,595,000","143,451,000","156,963,000","133,676,000","98,461,000","78,203,000"
OperatingExpense,"463,010,000","134,534,000","122,523,000","108,182,000","97,771,000","101,788,000","94,251,000","86,634,000","77,325,000","76,504,000","70,121,000","88,524,000","90,403,000","99,356,000","92,921,000","104,492,000","108,022,000","124,944,000","107,099,000","113,833,000","107,217,000","129,827,000","104,063,000","110,873,000","112,275,000","95,825,000","92,272,000","88,281,000","80,309,000","84,105,000","70,423,000","69,228,000","68,791,000","71,290,000","71,101,000","47,999,000","43,108,000"
	SellingGeneralAndAdministration,"434,273,000","125,583,000","115,045,000","101,742,000","91,903,000","95,105,000","88,768,000","81,272,000","72,315,000","71,256,000","64,418,000","82,971,000","83,909,000","92,295,000","86,418,000","97,282,000","101,054,000","117,394,000","100,224,000","106,386,000","99,426,000","121,209,000","95,893,000","102,723,000","104,444,000","92,164,000","88,591,000","85,466,000","77,954,000","81,630,000","68,105,000","68,154,000","65,140,000","63,580,000","69,259,000","46,069,000","40,606,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,728,000",,"26,625,000","30,532,000","34,717,000","21,623,000","20,959,000"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,728,000",,"26,625,000","30,532,000","34,717,000","21,623,000","20,959,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,377,000",,"38,515,000","33,048,000","34,542,000","24,446,000","19,647,000"
	ResearchAndDevelopment,"28,737,000","8,951,000","7,478,000","6,440,000","5,868,000","6,683,000","5,483,000","5,362,000","5,010,000","5,248,000","5,703,000","5,553,000","6,494,000","7,061,000","6,503,000","7,210,000","6,968,000","7,550,000","6,875,000","7,447,000","7,791,000","8,618,000","8,170,000","8,150,000","7,831,000","3,661,000","3,681,000","2,815,000","2,355,000","2,475,000","2,318,000","1,074,000","3,651,000","7,710,000","1,842,000","1,930,000","2,502,000"
OperatingIncome,"646,222,000","152,880,000","158,947,000","190,739,000","143,656,000","80,682,000","68,981,000","75,256,000","48,043,000","8,130,000","18,669,000","1,740,000","4,675,000","1,000","1,315,000","4,265,000","5,316,000","-15,622,000","19,006,000","25,144,000","39,341,000","13,967,000","64,543,000","74,536,000","59,102,000","67,800,000","75,232,000","60,743,000","58,983,000","38,733,000","63,614,000","59,367,000","74,660,000","85,673,000","62,575,000","50,462,000","35,095,000"
