name,ttm,04/30/2022,01/31/2022
MarketCap,"5,525,985,123","8,638,208,692","12,891,899,992"
EnterpriseValue,"4,188,271,123","7,300,993,692","12,693,072,992"
PsRatio,"15.52","12.223","37.367"
PbRatio,"4.415","6.745",
EnterprisesValueRevenueRatio,"11.806","72.361","131.503"
EnterprisesValueEBITDARatio,"-11.988","-94.163","-56.103"
