name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,03/31/1999
OperatingCashFlow,"72,892,000","43,673,000","-7,459,000","15,800,000","20,878,000","65,326,000","19,829,000","41,114,000","57,518,000","26,735,000","19,152,000","17,897,000","14,478,000","32,734,000","15,338,000","6,947,000","20,523,000","18,008,000","9,983,000","12,505,000","14,066,000","6,683,000","-315,000","6,941,000","11,057,000","7,667,000","2,114,000","9,459,000","7,740,000","10,098,000","975,000","8,263,000","5,677,000","10,621,000","8,267,000","6,376,000","12,937,000","14,780,000","537,000","8,278,000","10,741,000","20,708,000","1,504,000","2,860,000","11,758,000","18,748,000","1,317,000","7,663,000","5,660,000","14,129,000","1,026,000","7,256,000","6,727,000","5,304,000","1,087,000","1,058,000","1,949,000","1,402,000","3,376,000","653,000","2,205,000","1,720,000","2,982,000","-349,000","-190,000","3,402,000","271,000","1,557,000","1,048,000","337,000","3,873,000","369,000","-1,323,000","-587,000","103,000","99,000","359,000","1,187,000","63,000","1,523,000","223,000","647,000","37,000","337,000","196,000","81,000","-407,823","513,571","69,252","-197,000","859,000"
	CashFlowFromContinuingOperatingActivities,"72,892,000","43,673,000","-7,459,000","15,800,000","20,878,000","65,326,000","19,829,000","41,114,000","57,518,000","26,735,000","19,152,000","17,897,000","14,478,000","32,734,000","15,338,000","6,947,000","20,523,000","18,008,000","9,983,000","12,505,000","14,066,000","6,683,000","-146,000","7,140,000","11,354,000","7,642,000","2,298,000","9,861,000","8,350,000","12,611,000","2,777,000","8,263,000","5,677,000","10,621,000","8,267,000","6,376,000","12,937,000","14,780,000","537,000","8,278,000","10,741,000","20,708,000","1,504,000","2,860,000","11,758,000","18,748,000","1,317,000","7,663,000","5,660,000","14,129,000","1,026,000","7,256,000","6,727,000","5,304,000","1,087,000","1,058,000","1,949,000","1,402,000","3,376,000","653,000","2,205,000","1,720,000","2,982,000","-349,000","-190,000","3,402,000","271,000","1,557,000","1,048,000","337,000","3,873,000","369,000","-1,323,000","-587,000","103,000","99,000","359,000","1,187,000","63,000","1,523,000","223,000","647,000","37,000","337,000","196,000","81,000","-407,823","513,571","69,252","-197,000","859,000"
		NetIncomeFromContinuingOperations,"164,749,000","41,781,000","34,023,000","41,982,000","46,963,000","41,063,000","27,994,000","34,453,000","21,935,000","18,477,000","19,881,000","15,902,000","21,383,000","20,750,000","15,653,000","13,781,000","14,133,000","12,222,000","7,306,000","6,686,000","7,584,000","6,145,000","4,113,000","6,065,000","3,397,000","4,260,000","3,902,000","5,402,000","5,847,000","4,416,000","4,487,000","4,855,000","5,720,000","5,967,000","5,290,000","5,673,000","7,073,000","5,933,000",,,,"3,990,000",,,"5,944,000","6,358,000","3,422,000","5,750,000","5,538,000","4,901,000","3,045,000","3,434,000","2,999,000","2,485,000","949,000","1,549,000","1,572,000","1,365,000","602,000","953,000","860,000","1,422,000","443,000","1,488,000","1,457,000","1,694,000","849,000","618,000","753,000","507,000","35,000","391,000","674,000","647,000","435,000","520,000","591,000","864,000","144,000","1,543,000","674,000","262,000","21,000","134,000","161,000","272,000","613,126","162,645","239,229","288,000","-769,000"
		OperatingGainsLosses,,,,,,,"184,000",,,,"0","-8,000","-57,000","82,000","-69,000","91,000","-242,000","271,000","10,000","16,000","-55,000","205,000","140,000","172,000","-55,000","44,000","-319,000","50,000","10,000","-118,000","166,000","-701,000","-45,000","-220,000","603,000","-115,000","-129,000","-8,000","64,000","59,000","-31,000","27,000","152,000","67,000","103,000","-115,000","131,000","59,000","1,000","14,000","548,000","16,000","88,000","-21,000","-802,000","431,000","-160,000","36,000","47,000","-80,000","77,000","46,000","-17,000","130,000","-178,000","309,000","361,000","-33,000","100,000","81,000","76,000","38,000","-68,000","52,000","145,000","15,000","22,000","24,000","54,000","41,000","0","24,000",,,,,,,,,
			GainLossOnSaleOfPPE,,,"2,000",,,,"184,000","28,000",,,"0","0","17,000","0","-2,000","0","-164,000","214,000","1,000","0","142,000","-49,000","1,000","75,000",,,"22,000","33,000","26,000","0","-12,000","15,000","0","-32,000","340,000","24,000","46,000","15,000","58,000","15,000","4,000","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"-74,000","82,000","-67,000","91,000","-78,000","57,000","9,000","16,000","-197,000","254,000","139,000","97,000","33,000","44,000","-341,000","17,000","-16,000","-118,000","178,000","-716,000","-45,000","-188,000","263,000","-139,000","-175,000","-23,000","6,000","44,000","-35,000","-13,000","152,000","67,000","103,000","-115,000","131,000",,,,"-2,000","16,000","88,000","-21,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"8,132,000","2,444,000","-463,000","2,635,000","2,627,000","2,013,000","2,011,000","1,778,000","1,822,000","1,659,000","1,261,000","1,207,000","1,089,000","1,067,000","916,000","830,000","1,145,000","1,544,000","1,005,000","1,088,000","1,040,000","1,076,000","1,194,000","1,215,000","1,387,000","1,609,000","1,690,000","1,740,000","1,808,000","1,877,000","720,000","2,255,000","2,542,000","2,535,000","3,470,000","2,691,000","2,591,000","2,630,000","2,986,000","3,029,000","2,809,000","2,381,000","2,551,000","2,131,000","2,014,000","1,648,000","1,555,000","1,487,000","1,419,000","1,398,000","1,435,000","1,296,000","1,307,000","1,229,000","1,157,000","1,174,000","1,164,000","1,079,000","935,000","881,000","953,000","702,000","606,000","528,000","503,000","759,000","356,000","478,000","469,000","438,000","400,000","369,000","238,000","303,000","312,000","156,000","108,000","101,000","150,000","68,000","51,000","52,000","71,000","27,000","55,000","58,000","31,202","80,471","57,327","50,000","117,000"
			DepreciationAndAmortization,"8,132,000","2,444,000","-463,000","2,635,000","2,627,000","2,013,000","2,011,000","1,778,000","1,822,000","1,659,000","1,261,000","1,207,000","1,089,000","1,067,000","916,000","830,000","1,145,000","1,544,000","1,005,000","1,088,000","1,040,000","1,076,000","1,194,000","1,215,000","1,387,000","1,609,000","1,690,000","1,740,000","1,808,000","1,877,000","720,000","2,255,000","2,542,000","2,535,000","3,470,000","2,691,000","2,591,000","2,630,000","2,986,000","3,029,000","2,809,000","2,381,000","2,551,000","2,131,000","2,014,000","1,648,000","1,555,000","1,487,000","1,419,000","1,398,000","1,435,000","1,296,000","1,307,000","1,229,000","1,157,000","1,174,000","1,164,000","1,079,000","935,000","881,000","953,000","702,000","606,000","528,000","503,000","759,000","356,000","478,000","469,000","438,000","400,000","369,000","238,000","303,000","312,000","156,000","108,000","101,000","150,000","68,000","51,000","52,000","71,000","27,000","55,000","58,000","31,202","80,471","57,327","50,000","117,000"
		DeferredTax,,,"-3,715,000","0","0","0","1,336,000","29,000","-801,000","37,000","505,000","718,000","1,007,000","-632,000","-659,000","-992,000","-931,000","-105,000","368,000","-291,000","-458,000","-242,000","365,000","-167,000","-2,287,000","-740,000","-269,000","668,000","-351,000","-154,000","1,555,000","-239,000","-762,000","-268,000","-841,000","505,000","5,000","-557,000","-897,000","176,000","-727,000","111,000","1,183,000","4,623,000","-371,000","580,000","-314,000","249,000","-110,000","105,000",,"-109,000","-110,000","-110,000",,,,"18,000","-99,000","-116,000","-122,000","-53,000","-85,000","-26,000","-84,000","-453,000","405,000","-32,000","-37,000","-35,000","-143,000","130,000","253,000","246,000","107,000","126,000","368,000","537,000","32,000","-809,000",,,,,,,,,,,
			DeferredIncomeTax,,,"-3,715,000","0","0","0","1,336,000","29,000","-801,000","37,000","505,000","718,000","1,007,000","-632,000","-659,000","-992,000","-931,000","-105,000","368,000","-291,000","-458,000","-242,000","365,000","-167,000","-2,287,000","-740,000","-269,000","668,000","-351,000","-154,000","1,555,000","-239,000","-762,000","-268,000","-841,000","505,000","5,000","-557,000","-897,000","176,000","-727,000","111,000","1,183,000","4,623,000","-371,000","580,000","-314,000","249,000","-110,000","105,000",,"-109,000","-110,000","-110,000",,,,"18,000","-99,000","-116,000","-122,000","-53,000","-85,000","-26,000","-84,000","-453,000","405,000","-32,000","-37,000","-35,000","-143,000","130,000","253,000","246,000","107,000","126,000","368,000","537,000","32,000","-809,000",,,,,,,,,,,
