name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,09/30/2006,03/31/2006,09/30/2005
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,"-25,269,000","-22,821,000","-22,832,000","-20,836,000","-19,804,000","-26,590,000","-29,580,000","-14,789,000","-16,049,000","-17,960,000","-22,760,000","-14,820,000","-27,859,000","-25,604,000","-17,533,000","-19,870,000","-36,368,000","-17,749,000","-21,977,000","-12,361,000","-12,224,000",,,,,,,,"-9,016,000","-21,355,000","-21,004,000","-22,329,000","-25,411,000","-27,670,000","-20,471,000","-29,875,000","-28,224,000","-27,116,000","-21,893,000","-22,083,000","-55,733,000","-62,959,000","-34,964,000","-43,516,000","-20,510,000","-47,688,000","-22,275,000","-7,224,000","-2,866,000","-20,181,000","-21,115,000","-19,419,000"
			PurchaseOfPPE,,,,,,,,,,,,,,"-25,269,000","-22,821,000","-22,832,000","-20,836,000","-19,804,000","-26,590,000","-29,580,000","-14,789,000","-16,049,000","-17,960,000","-22,760,000","-14,820,000","-27,859,000","-25,604,000","-17,533,000","-19,870,000","-36,368,000","-17,749,000","-21,977,000","-12,361,000","-12,224,000",,,,,,,,"-9,174,000","-21,355,000","-21,004,000","-22,329,000","-25,411,000","-27,670,000","-20,471,000","-29,875,000","-28,224,000","-27,116,000","-21,893,000","-22,083,000","-55,733,000","-63,638,000","-49,769,000","-45,970,000","-27,580,000","-51,239,000","-27,099,000","-10,894,000","-7,394,000","-20,181,000","-21,115,000","-19,419,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,000",,,,,,,,"11,645,000",,,,,"679,000","14,805,000","2,454,000","7,070,000","3,551,000","4,824,000","3,670,000","4,528,000",,,
		NetBusinessPurchaseAndSale,,,,,,,"0",,,,"-3,872,000","-21,360,000","0","0","1,000","0","-1,000","-334,915,000","-61,725,000","0","2,851,000","36,910,000","-948,000","-769,731,000","-186,334,000","-7,062,000","0","632,000","-193,461,000","0","-7,453,000",,,,"-559,855,000","0",,,"-4,000","-195,000",,,"0","0",,,,,,,"0","0",,,"-4,644,000","-17,000",,,"-2,863,000",,,,,,"-2,436,000"
			PurchaseOfBusiness,,,,,,,"0",,,,"-3,872,000","-21,360,000","0","0","1,000","0","-1,000","-334,915,000","-61,725,000","0","0","-524,000","-948,000","-769,731,000","-186,334,000","-7,062,000","0","632,000","-193,461,000","0","-7,453,000",,,,,,,,"0","0",,,"0","0",,,,,,,"0","0",,,,,,,,,,,,,"-2,436,000"
			SaleOfBusiness,,,,,,,,,,,,,,,"0",,,,"0","0","2,851,000","37,434,000",,,,,,,,,,,,,"0","0",,,"-4,000","-195,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"2,364,000","-10,253,000","5,901,000","1,524,000","5,192,000","4,200,000","4,704,000","2,060,000","4,607,000","1,282,000","13,126,000","3,012,000","382,000","136,000","778,000","-61,000","334,000","1,506,000","61,000","20,000","-225,000","4,603,000","12,132,000","53,059,000","356,000","15,286,000","154,000","10,105,000","410,000","4,735,000","5,819,000","-8,682,000","4,863,000","55,000","193,000",,,,,,,,"961,000","459,000","119,000","12,081,000","173,000","273,000","4,808,000","39,869,000","22,157,000","7,045,000","8,312,000","467,000","-1,000",,,,"-214,000","820,000","-761,000","-634,000","1,616,000","643,000","6,763,000"
FinancingCashFlow,"-466,030,000","67,567,000","-412,096,000","-62,003,000","-59,498,000","-354,423,000","-61,272,000","-211,877,000","-462,196,000","877,514,000","-538,394,000","-221,395,000","-135,928,000","71,707,000","-455,079,000","-163,301,000","-41,201,000","459,084,000","-218,170,000","-312,387,000","-59,722,000","4,511,000","-368,871,000","189,244,000","375,997,000","314,684,000","-253,422,000","-170,297,000","222,947,000","333,754,000","-316,466,000","250,083,000","-67,573,000","110,191,000","235,176,000","-179,974,000","-73,248,000","111,803,000","-366,883,000","-134,575,000","-113,758,000","102,144,000","-187,011,000","-15,709,000","-21,784,000","134,985,000","48,468,000","30,970,000","45,530,000","30,717,000","-198,239,000","-178,763,000","-55,442,000","78,270,000","-145,514,000","-4,757,000","59,273,000","-13,740,000","-75,640,000","-97,035,000","-67,945,000","-2,759,000","-125,193,000","-136,899,000","-798,059,000"
	CashFlowFromContinuingFinancingActivities,"-466,030,000","67,567,000","-412,096,000","-62,003,000","-59,498,000","-354,423,000","-61,272,000","-211,877,000","-462,196,000","877,514,000","-538,394,000","-221,395,000","-135,928,000","71,707,000","-455,079,000","-163,301,000","-41,201,000","459,084,000","-218,170,000","-312,387,000","-59,722,000","4,511,000","-368,871,000","189,244,000","375,997,000","314,684,000","-253,422,000","-170,297,000","222,947,000","333,754,000","-316,466,000","250,083,000","-67,573,000","110,191,000","235,176,000","-179,974,000","-73,248,000","111,803,000","-366,883,000","-134,575,000","-113,758,000","102,144,000","-187,011,000","-15,709,000","-21,784,000","134,985,000","48,468,000","30,970,000","45,530,000","30,717,000","-198,239,000","-178,763,000","-55,442,000","78,270,000","-145,514,000","-4,757,000","59,273,000","-13,740,000","-75,640,000","-97,035,000","-67,945,000","-2,759,000","-125,193,000","-136,899,000","-798,059,000"
		NetIssuancePaymentsOfDebt,"-177,291,000","148,991,000","-309,627,000","-9,147,000","-7,508,000","-299,170,000","-4,776,000","-158,418,000","-395,584,000","1,131,102,000","-476,948,000","-167,950,000","-81,755,000","126,923,000","-391,456,000","-108,197,000","14,207,000","519,604,000","-52,504,000","-256,025,000","40,183,000","359,298,000","-313,801,000","231,546,000","418,828,000","736,640,000","-166,968,000","178,033,000","286,452,000","376,863,000","-283,308,000","288,912,000","-34,577,000","138,567,000","257,529,000","-153,483,000","-49,124,000","107,050,000","-495,914,000","-12,208,000","-117,352,000","102,666,000","-180,464,000","12,663,000","-98,410,000","80,062,000","-205,318,000","28,766,000","43,949,000","30,757,000","-199,019,000","-178,909,000","-55,168,000","78,590,000","-146,124,000","12,909,000","43,958,000","-5,811,000","-75,963,000","-70,757,000","-52,669,000","-3,323,000","2,330,084,000","-42,367,000","-16,741,000"
