name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016
TotalAssets,"277,658,000,000","292,262,000,000","284,579,000,000","285,982,000,000","276,832,000,000","275,397,000,000","262,496,000,000","254,110,000,000","240,781,000,000","249,870,000,000","244,646,000,000","238,597,000,000","232,819,000,000","220,797,000,000","234,451,000,000","231,012,000,000","232,294,000,000","235,648,000,000","230,825,000,000","226,416,000,000","216,587,000,000"
TotalLiabilitiesNetMinorityInterest,"268,175,000,000","279,167,000,000","271,407,000,000","272,678,000,000","264,564,000,000","258,220,000,000","243,644,000,000","234,976,000,000","219,141,000,000","234,744,000,000","228,168,000,000","222,209,000,000","218,137,000,000","205,365,000,000","220,580,000,000","216,149,000,000","215,694,000,000","219,066,000,000","215,604,000,000","211,163,000,000","202,085,000,000"
TotalEquityGrossMinorityInterest,"9,483,000,000","13,095,000,000","13,172,000,000","13,304,000,000","12,268,000,000","17,177,000,000","18,852,000,000","19,134,000,000","21,640,000,000","15,126,000,000","16,478,000,000","16,388,000,000","14,682,000,000","15,432,000,000","13,871,000,000","14,863,000,000","16,600,000,000","16,582,000,000","15,221,000,000","15,253,000,000","14,502,000,000"
	StockholdersEquity,"7,954,000,000","11,519,000,000","11,680,000,000","11,732,000,000","10,693,000,000","15,576,000,000","17,300,000,000","17,594,000,000","20,086,000,000","13,535,000,000","14,936,000,000","14,843,000,000","13,143,000,000","13,866,000,000","12,411,000,000","13,376,000,000","13,565,000,000","13,485,000,000","12,211,000,000","12,213,000,000","11,361,000,000"
		CapitalStock,"1,566,000,000","1,566,000,000","1,567,000,000","1,567,000,000","1,567,000,000","1,274,000,000","1,274,000,000","780,000,000","780,000,000","780,000,000","5,000,000","5,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","0","0","0"
			PreferredStock,"1,562,000,000","1,562,000,000","1,562,000,000","1,562,000,000","1,562,000,000","1,269,000,000","1,269,000,000","775,000,000","775,000,000","775,000,000",,,,,,,,,,,
			CommonStock,"4,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","0","0","0"
		AdditionalPaidInCapital,"1,933,000,000","1,919,000,000","1,917,000,000","1,980,000,000","1,928,000,000","1,985,000,000","1,953,000,000","1,938,000,000","1,930,000,000","1,920,000,000","1,897,000,000","1,901,000,000","1,881,000,000","1,908,000,000","2,025,000,000","2,067,000,000","2,050,000,000","1,298,000,000","1,013,000,000","970,000,000","948,000,000"
		RetainedEarnings,"9,312,000,000","8,880,000,000","8,857,000,000","8,739,000,000","8,758,000,000","10,699,000,000","12,032,000,000","12,995,000,000","17,112,000,000","11,827,000,000","12,835,000,000","13,293,000,000","13,004,000,000","13,989,000,000","12,031,000,000","12,613,000,000","12,455,000,000","12,289,000,000","11,548,000,000","11,596,000,000","11,356,000,000"
		TreasuryStock,"3,070,000,000","2,850,000,000","2,537,000,000","2,537,000,000","2,300,000,000","2,245,000,000","2,147,000,000","2,047,000,000","2,025,000,000","1,832,000,000","1,269,000,000","1,232,000,000","1,234,000,000","640,000,000","56,000,000",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-1,787,000,000","2,004,000,000","1,876,000,000","1,983,000,000","740,000,000","3,863,000,000","4,188,000,000","3,928,000,000","2,289,000,000","840,000,000","1,468,000,000","876,000,000","-513,000,000","-1,396,000,000","-1,595,000,000","-1,310,000,000","-946,000,000","-108,000,000","-350,000,000","-353,000,000","-943,000,000"
		OtherEquityInterest,,,,,"9,953,000,000","11,713,000,000",,,,,,,,,,,,,,,
	MinorityInterest,"1,529,000,000","1,576,000,000","1,492,000,000","1,572,000,000","1,575,000,000","1,601,000,000","1,552,000,000","1,540,000,000","1,554,000,000","1,591,000,000","1,542,000,000","1,545,000,000","1,539,000,000","1,566,000,000","1,460,000,000","1,487,000,000","3,035,000,000","3,097,000,000","3,010,000,000","3,040,000,000","3,141,000,000"
TotalCapitalization,"12,976,000,000","16,549,000,000","16,708,000,000","16,316,000,000","14,853,000,000","20,004,000,000","21,414,000,000","21,707,000,000","24,198,000,000","17,646,000,000","19,347,000,000","19,252,000,000","17,552,000,000","18,275,000,000","16,819,000,000","17,783,000,000","16,444,000,000","16,567,000,000","15,757,000,000","15,544,000,000","14,240,000,000"
PreferredStockEquity,"1,562,000,000","1,562,000,000","1,562,000,000","1,562,000,000","1,562,000,000","1,269,000,000","1,269,000,000","775,000,000","775,000,000","775,000,000",,,,,,,,,,,
CommonStockEquity,"6,392,000,000","9,957,000,000","10,118,000,000","10,170,000,000","9,131,000,000","14,307,000,000","16,031,000,000","16,819,000,000","19,311,000,000","12,760,000,000","14,936,000,000","14,843,000,000","13,143,000,000","13,866,000,000","12,411,000,000","13,376,000,000","13,565,000,000","13,485,000,000","12,211,000,000","12,213,000,000","11,361,000,000"
NetTangibleAssets,"3,231,000,000","6,791,000,000","6,946,000,000","6,993,000,000","5,949,000,000","10,839,000,000","12,555,000,000","12,838,000,000","15,326,000,000","8,784,000,000","10,171,000,000","10,067,000,000","8,374,000,000","9,086,000,000","7,620,000,000","8,574,000,000","8,752,000,000","8,661,000,000","7,371,000,000","7,361,000,000","6,118,000,000"
InvestedCapital,"11,618,000,000","15,079,000,000","15,147,000,000","14,836,000,000","13,476,000,000","18,735,000,000","20,145,000,000","20,932,000,000","23,528,000,000","16,871,000,000","19,730,000,000","19,695,000,000","18,092,000,000","18,821,000,000","17,217,000,000","18,298,000,000","18,468,000,000","19,515,000,000","17,138,000,000","16,878,000,000","15,870,000,000"
TangibleBookValue,"1,669,000,000","5,229,000,000","5,384,000,000","5,431,000,000","4,387,000,000","9,570,000,000","11,286,000,000","12,063,000,000","14,551,000,000","8,009,000,000","10,171,000,000","10,067,000,000","8,374,000,000","9,086,000,000","7,620,000,000","8,574,000,000","8,752,000,000","8,661,000,000","7,371,000,000","7,361,000,000","6,118,000,000"
TotalDebt,"5,226,000,000","5,122,000,000","5,029,000,000","4,666,000,000","4,345,000,000","4,428,000,000","4,114,000,000","4,113,000,000","4,217,000,000","4,111,000,000","4,794,000,000","4,852,000,000","4,949,000,000","4,955,000,000","4,806,000,000","4,922,000,000","4,903,000,000","6,030,000,000","4,927,000,000","4,665,000,000","4,509,000,000"
