name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
OperatingCashFlow,"-22,665,000","69,326,000","17,518,000","-208,142,000","98,633,000","75,168,000","-28,892,000","114,400,000","107,053,000","-24,227,000","64,654,000","-9,640,000","33,250,000","-22,633,000","71,303,000","-54,194,000","11,489,000","-31,190,000","13,495,000","-26,705,000","-16,045,000","-23,275,000","7,677,000","-13,952,000","39,416,000","1,056,000","13,037,000","-48,986,000","-16,934,000","-29,276,000","-25,964,000","-40,042,000","-64,566,000","-2,103,000","-33,538,000","-15,258,000","-33,736,000","8,558,000","-30,674,000","7,208,000","-15,854,000","-7,675,000","-9,395,000","-16,047,000","-11,146,000","2,627,000","5,685,000","-24,949,000","-13,403,000","-4,635,000","43,464,000","-15,834,000","-12,788,000","53,639,000","22,702,000","16,674,000","10,747,000","98,752,000","128,489,000","11,285,000","9,241,000","53,196,000","77,997,000","-44,729,000","-39,875,000","-97,405,000","50,791,000","-26,401,000","-113,221,000","-3,808,000","-17,298,000","10,414,000","-54,288,000","-16,747,000","20,367,000","-6,769,000","-67,423,000","15,085,000","52,735,000","17,730,000","31,708,000","14,320,000","58,164,000","8,728,000","-5,330,000","-15,765,000","51,390,000","18,606,000","3,607,000","-21,099,000","14,900,000","8,500,000","-23,500,000","-27,500,000","37,100,000","7,800,000","-20,200,000","-15,300,000","9,300,000","13,300,000","-10,300,000","-8,900,000","21,300,000","0","2,800,000","-10,600,000","27,000,000","10,500,000","-13,300,000","-9,600,000","11,000,000","-5,800,000","-4,300,000","-20,700,000","17,400,000"
	CashFlowFromContinuingOperatingActivities,"-22,665,000","69,326,000","17,518,000","-208,142,000","98,633,000","75,168,000","-28,892,000","114,400,000","107,053,000","-24,227,000","64,654,000","-9,640,000","33,250,000","-22,633,000","71,303,000","-54,194,000","11,489,000","-31,190,000","13,495,000","-26,705,000","-16,045,000","-23,275,000","7,677,000","-13,952,000","39,416,000","1,056,000","13,037,000","-48,986,000","-16,934,000","-29,276,000","-25,964,000","-40,042,000","-64,566,000","-2,103,000","-33,538,000","-15,258,000","-33,736,000","8,558,000","-30,674,000","7,208,000","-15,854,000","-7,675,000","-9,395,000","-16,047,000","-11,146,000","2,627,000","5,685,000","-24,949,000","-13,403,000","-4,635,000","43,464,000","-15,834,000","-12,788,000","53,639,000","22,702,000","16,674,000","10,747,000","98,752,000","128,489,000","11,285,000","9,241,000","53,196,000","77,997,000","-44,729,000","-39,875,000","-97,405,000","50,791,000","-26,401,000","-113,221,000","-3,808,000","-17,298,000","10,414,000","-54,288,000","-16,747,000","20,367,000","-6,769,000","-67,423,000","15,085,000","52,735,000","17,730,000","31,708,000","14,320,000","58,164,000","8,728,000","-5,330,000","-15,765,000","51,390,000","18,606,000","3,607,000","-21,099,000","14,900,000","8,500,000","-23,500,000","-27,500,000","37,100,000","7,800,000","-20,200,000","-15,300,000","9,300,000","13,300,000","-10,300,000","-8,900,000","21,300,000","0","2,800,000","-10,600,000","27,000,000","10,500,000","-13,300,000","-9,600,000","11,000,000","-5,800,000","-4,300,000","-20,700,000","17,400,000"
		NetIncomeFromContinuingOperations,"403,841,000","91,839,000","113,383,000","91,012,000","107,607,000","84,866,000","80,083,000","73,537,000","54,508,000","31,746,000","41,780,000","37,838,000","30,246,000","17,723,000","32,407,000","29,282,000","27,911,000","18,063,000","15,882,000","22,327,000","16,989,000","16,883,000","20,562,000","10,942,000","15,916,000","9,189,000","13,275,000","15,570,000","13,350,000","9,568,000","10,986,000","13,617,000","13,554,000","12,632,000","14,261,000","125,311,000","7,264,000","4,587,000","5,015,000","8,314,000","3,204,000","-3,186,000","-2,976,000","-4,718,000","-9,144,000","-17,039,000",,"-2,070,000","-4,807,000","-8,335,000","6,996,000","-21,074,000","-19,902,000","-28,129,000","-75,360,000","-58,655,000","-91,663,000","-19,770,000","-68,460,000","-21,717,000","-40,179,000","2,230,000","-10,969,000","15,185,000","18,281,000","16,378,000","41,315,000","25,079,000","17,645,000","16,746,000","24,549,000","22,567,000","24,881,000","19,537,000","24,950,000","19,381,000","19,525,000","17,874,000","15,894,000","17,901,000","16,898,000","15,919,000","14,765,000","15,012,000","13,261,000","12,244,000","12,452,000","12,381,000","11,332,000","8,279,000","11,200,000","12,200,000","10,500,000","7,700,000","8,400,000","8,200,000","6,600,000","4,500,000","5,100,000","4,600,000","4,600,000","3,100,000","4,500,000","4,300,000","4,000,000","1,300,000","4,100,000","2,500,000","2,500,000","800,000","3,400,000","3,400,000","3,600,000","1,200,000","5,600,000"
		OperatingGainsLosses,"-569,000","160,000","-3,213,000","2,090,000","394,000","-412,000","-192,000","-252,000","-3,000","898,000","-641,000","-52,000","-187,000","121,000","-1,268,000","-44,000","86,000","-310,000","-341,000","-71,000","-110,000","-17,000","-227,000","-24,000","-82,000","-307,000","2,633,000","-36,000","-14,000","-198,000","-285,000","-22,000","22,000","-62,000","-28,000",,,"26,000",,"-1,220,000","-1,000","2,000",,,"1,000","45,000","-1,291,000","13,988,000","-14,146,000","10,000","1,422,000","-4,308,000","-3,934,000","10,490,000","-280,558,000","304,336,000","-60,977,000","55,476,000","1,565,000","78,000","-27,088,000","28,010,000","68,000","70,000","-889,000","925,000","-20,000","321,000","5,000","1,440,000","1,036,000","813,000","-20,000","1,950,000","-485,000","-348,000","1,671,000","-944,000","1,953,000","222,000","644,000","-973,000","52,000","-49,000","13,000","-4,000","112,000","294,000","-281,000","40,000","200,000","300,000",,,"-400,000","2,100,000","0","100,000","-2,100,000","0","0","100,000",,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-2,650,000","176,000","-3,255,000","0","429,000","-252,000",,,,,"-448,000","0","0","0",,,,,,,,,,,,,,,,,,,,,,,"-26,000","26,000",,,"-1,000","2,000","0","-29,000","-6,000","35,000","5,000","0","1,000","6,000","9,000","1,000","0","941,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"41,000","-16,000","42,000","50,000","-35,000","-160,000","-159,000","-252,000","-3,000","-52,000","-193,000","-52,000","-187,000","121,000","-44,000","-44,000","86,000","-310,000","-341,000","-71,000","-110,000","-17,000","-227,000","-24,000","-82,000","-307,000","-250,000","-36,000","-14,000","-198,000","-285,000","-22,000","22,000","-62,000","-28,000",,,,,,,"0","0","-17,000","7,000","10,000","-120,000","-161,000","2,000","4,000","24,000","-3,000","6,000","-13,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"14,411,000","3,544,000","3,731,000","3,660,000","3,476,000","3,464,000","3,918,000","3,949,000","3,597,000","3,599,000","3,471,000","3,412,000","3,214,000","3,141,000","3,096,000","2,983,000","2,794,000","2,867,000","2,832,000","2,713,000","2,425,000","2,729,000","2,614,000","2,690,000","2,528,000","2,372,000","2,070,000","1,859,000","1,923,000","1,770,000","1,669,000","1,527,000","1,628,000","1,126,000","1,196,000","1,211,000","1,249,000","1,317,000","-399,000","2,776,000","2,044,000","1,942,000","1,889,000","1,897,000","1,887,000","1,901,000","1,962,000","1,889,000","1,943,000","1,962,000","2,083,000","1,933,000","1,907,000","1,948,000","2,323,000","1,789,000","1,921,000","1,721,000","2,220,000","1,905,000","1,943,000","1,925,000","1,922,000","1,675,000","1,589,000","1,545,000","1,441,000","1,353,000","960,000","744,000","664,000","580,000","607,000","597,000","633,000","624,000","564,000","561,000","581,000","557,000","540,000","561,000","597,000","517,000","449,000","446,000","546,000","517,000","525,000","535,000","600,000","500,000","600,000","500,000","600,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","300,000","300,000","400,000","400,000","500,000","400,000","500,000","400,000","400,000","500,000","300,000","400,000","400,000"
			DepreciationAndAmortization,"14,411,000","3,544,000","3,731,000","3,660,000","3,476,000","3,464,000","3,918,000","3,949,000","3,597,000","3,599,000","3,471,000","3,412,000","3,214,000","3,141,000","3,096,000","2,983,000","2,794,000","2,867,000","2,832,000","2,713,000","2,425,000","2,729,000","2,614,000","2,690,000","2,528,000","2,372,000","2,070,000","1,859,000","1,923,000","1,770,000","1,669,000","1,527,000","1,628,000","1,126,000","1,196,000","1,211,000","1,249,000","1,317,000","-399,000","2,776,000","2,044,000","1,942,000","1,889,000","1,897,000","1,887,000","1,901,000","1,962,000","1,889,000","1,943,000","1,962,000","2,083,000","1,933,000","1,907,000","1,948,000","2,323,000","1,789,000","1,921,000","1,721,000","2,220,000","1,905,000","1,943,000","1,925,000","1,922,000","1,675,000","1,589,000","1,545,000","1,441,000","1,353,000","960,000","744,000","664,000","580,000","607,000","597,000","633,000","624,000","564,000","561,000","581,000","557,000","540,000","561,000","597,000","517,000","449,000","446,000","546,000","517,000","525,000","535,000","600,000","500,000","600,000","500,000","600,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","300,000","300,000","400,000","400,000","500,000","400,000","500,000","400,000","400,000","500,000","300,000","400,000","400,000"
				Depreciation,"12,702,000","3,244,000","3,197,000","3,137,000","3,124,000","3,233,000","3,338,000","3,261,000","3,002,000","3,035,000","3,036,000","2,957,000","2,857,000","2,841,000","2,892,000","2,786,000","2,708,000","2,570,000","2,552,000","2,470,000","2,327,000","2,281,000","2,224,000","2,179,000","2,116,000","2,033,000","1,789,000","1,682,000","1,632,000","1,509,000","1,442,000","1,341,000","1,266,000","1,126,000","1,196,000","1,211,000","1,249,000","1,317,000","2,218,000","2,132,000","1,453,000","1,355,000","1,295,000","1,302,000","1,265,000","1,252,000","1,335,000","1,304,000","1,270,000","1,285,000","1,357,000","1,288,000","1,279,000","1,320,000","1,935,000","1,404,000","1,535,000","1,323,000","1,821,000","1,522,000","1,344,000","1,225,000","1,221,000","977,000","888,000","850,000","751,000","665,000","667,000","622,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"1,709,000","300,000","534,000","523,000","352,000","231,000","580,000","688,000","595,000","564,000","435,000","455,000","357,000","300,000","204,000","197,000","86,000","297,000","280,000","243,000","98,000","448,000","390,000","511,000","412,000","339,000","281,000","177,000","291,000","261,000","227,000","186,000",,,,,,,"-2,617,000","644,000","591,000","587,000","594,000","595,000","622,000","649,000","627,000","585,000","673,000","677,000","726,000","645,000","628,000","628,000","388,000","385,000","386,000","398,000","399,000","383,000","599,000","700,000","701,000","698,000","701,000","695,000","690,000","688,000","293,000","122,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
