name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,12/31/2004
TotalAssets,"2,780,400,000","2,959,000,000","2,867,500,000","2,915,200,000","2,900,100,000","2,883,200,000","2,616,300,000","2,466,100,000","2,278,700,000","2,327,300,000","2,333,800,000","2,321,300,000","2,153,700,000","2,229,400,000","1,173,623,000","1,138,891,000","1,068,467,000","1,070,206,000","1,024,202,000","970,483,000","951,639,000","970,111,000","932,026,000","1,056,466,000","1,035,897,000","1,043,592,000","976,548,000","943,323,000","917,845,000","945,262,000","869,291,000","837,249,000","823,251,000","626,630,000","595,464,000","555,614,000","538,385,000","564,230,000","540,025,000","527,140,000","514,687,000","546,864,000","512,962,000","493,984,000","471,277,000","500,319,000","366,237,000","345,747,000","342,791,000","344,689,000","316,802,000","326,385,000","303,782,000","290,788,000","287,396,000","277,919,000","273,641,000","273,508,000","226,751,000","206,996,000","203,893,000","238,255,000","130,831,000","100,332,000","69,056,000"
	CurrentAssets,"1,100,300,000","1,272,100,000","1,111,500,000","1,162,100,000","1,181,100,000","1,195,900,000","958,800,000","795,900,000","626,600,000","686,200,000","700,000,000","692,700,000","528,500,000","620,800,000","563,148,000","541,308,000","476,649,000","485,389,000","556,034,000","509,741,000","489,166,000","510,218,000","479,995,000","528,047,000","528,160,000","538,612,000","473,490,000","435,488,000","405,811,000","432,175,000","383,632,000","345,449,000","327,203,000","273,115,000","234,015,000","248,159,000","237,079,000","263,347,000","252,935,000","243,215,000","239,542,000","254,418,000","236,765,000","223,844,000","216,203,000","243,493,000","210,836,000","194,446,000","191,536,000","193,814,000","195,417,000","203,722,000","163,921,000","152,679,000","151,974,000","140,028,000","139,629,000","144,310,000","107,363,000","99,610,000","103,690,000","147,337,000","57,192,000","59,116,000","41,695,000"
		CashCashEquivalentsAndShortTermInvestments,"435,800,000","576,100,000","403,800,000","447,500,000","547,800,000","621,300,000","415,000,000","268,800,000","181,500,000","167,800,000","139,200,000","177,400,000","137,200,000","112,200,000","339,358,000","190,237,000","163,606,000","178,292,000","340,991,000","315,627,000","270,170,000","271,513,000","298,932,000","333,395,000","341,016,000","312,795,000","308,718,000","214,841,000","216,515,000","280,499,000","242,249,000","168,130,000","160,215,000","179,338,000","172,561,000","156,243,000","130,238,000","141,666,000","197,901,000","161,843,000","150,425,000","145,867,000","128,845,000","127,142,000","143,263,000","171,048,000","151,229,000","102,193,000","116,384,000","102,924,000","118,777,000","102,508,000","61,380,000","91,473,000","104,688,000","84,007,000","92,747,000","105,730,000","24,266,000","33,980,000","67,645,000","76,418,000","20,096,000","36,294,000","6,821,000"
			CashAndCashEquivalents,"435,800,000","576,100,000","403,800,000","447,500,000","547,800,000","621,300,000","415,000,000","268,800,000","181,500,000","167,800,000","139,200,000","177,400,000","137,200,000","112,200,000","339,358,000","190,237,000","163,606,000","178,292,000","340,991,000","315,627,000","270,170,000","271,513,000","298,932,000","333,395,000","341,016,000","312,795,000","308,718,000","214,841,000","216,515,000","280,499,000","242,249,000","168,130,000","160,215,000","179,338,000","172,561,000","156,243,000","130,238,000","141,666,000","197,901,000","161,843,000","150,425,000","143,901,000","125,346,000","122,094,000","136,925,000","169,019,000","151,229,000","102,193,000","116,384,000","102,924,000","118,777,000","102,508,000","61,380,000","91,473,000","104,688,000","84,007,000","92,747,000","105,730,000","24,266,000","33,980,000","67,645,000","76,418,000","19,906,000","36,294,000","6,821,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,966,000","3,499,000","5,048,000","6,338,000","2,029,000",,,,,,,,,,,,,,,,,"190,000",,
		Receivables,"181,800,000","274,700,000","254,600,000","261,900,000","184,400,000","230,900,000","196,100,000","258,600,000","172,700,000","275,300,000","281,200,000","218,100,000","121,500,000","271,100,000","76,955,000","189,489,000","129,134,000","146,085,000","129,357,000","108,630,000","134,853,000","148,474,000","81,464,000","75,933,000","73,331,000","127,340,000","60,470,000","112,860,000","81,082,000","60,191,000","52,373,000","94,944,000","80,738,000","66,238,000","30,681,000","60,871,000","73,726,000","96,043,000","26,703,000","57,237,000","63,450,000","83,659,000","73,482,000","64,399,000","35,942,000","48,054,000","31,143,000","64,553,000","48,438,000","67,446,000","37,223,000","65,399,000","84,136,000","34,855,000","24,070,000","32,451,000","25,018,000","18,817,000","54,999,000","34,184,000","7,190,000","44,200,000","6,815,000","3,293,000","18,637,000"
			AccountsReceivable,"115,200,000","224,900,000","197,000,000","210,300,000","134,000,000","172,700,000","166,000,000","202,200,000","119,400,000","227,300,000","251,400,000","179,500,000","89,600,000","234,000,000","76,955,000","189,489,000","122,090,000","118,918,000","129,357,000","102,511,000","128,082,000","90,439,000","69,633,000","66,749,000","69,560,000","102,155,000","57,037,000","99,718,000","64,059,000","39,948,000","44,111,000","78,270,000","62,938,000","45,757,000","30,093,000","54,369,000","62,964,000","76,155,000","17,085,000","46,815,000","43,652,000","74,153,000","48,994,000","47,263,000","11,976,000","39,326,000","7,937,000","45,765,000","33,405,000","54,872,000","25,713,000","55,399,000","74,136,000","24,855,000","14,070,000","22,451,000","21,518,000","18,817,000","42,013,000","19,397,000","3,935,000","43,331,000","3,273,000","2,530,000","18,637,000"
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","10,000,000","10,000,000","3,500,000",,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,"10,200,000","4,600,000",,,,"8,600,000","0","0","7,044,000","2,432,000","0","6,119,000","6,771,000","9,996,000","11,831,000","9,184,000","3,771,000","6,573,000","3,433,000","13,142,000","17,023,000","1,357,000","8,262,000","16,674,000","17,800,000","5,651,000","588,000","6,502,000","10,762,000","0","9,618,000","10,422,000","19,798,000","9,506,000","24,488,000","17,136,000","23,966,000","8,728,000","13,206,000","8,788,000","5,033,000","2,574,000","1,510,000",,,,,,,,,,,,,,
			OtherReceivables,"66,600,000","49,800,000","57,600,000","51,600,000","50,400,000","58,200,000","30,100,000","56,400,000","43,100,000","43,400,000","29,800,000","38,600,000","31,900,000","28,500,000",,,,"24,735,000",,,,"48,039,000",,,,"18,612,000",,,,"18,886,000",,,,"14,830,000",,,,"19,888,000",,,,,,,,,,,,,,,,,,,,,"12,986,000","14,787,000","3,255,000","869,000","3,542,000","763,000",
		Inventory,"400,700,000","350,800,000","364,600,000","386,400,000","406,500,000","307,000,000","270,100,000","236,200,000","248,100,000","222,500,000","230,200,000","232,000,000","211,000,000","205,800,000","125,745,000","139,373,000","155,196,000","142,812,000","68,889,000","70,529,000","70,732,000","74,002,000","81,160,000","96,674,000","88,200,000","76,936,000","80,070,000","84,708,000","82,134,000","65,674,000","62,533,000","66,030,000","71,268,000","14,643,000","16,325,000","18,582,000","22,148,000","15,161,000","18,245,000","16,008,000","17,319,000","14,661,000","17,979,000","17,262,000","22,163,000","12,722,000","17,320,000","17,116,000","17,081,000","13,521,000","15,816,000","14,042,000","14,152,000","19,728,000","17,516,000","18,879,000","18,790,000","16,897,000","25,623,000","28,885,000","26,885,000","24,721,000","28,068,000","16,441,000","13,253,000"
			RawMaterials,"244,100,000","217,500,000","198,800,000","174,300,000","194,300,000","160,600,000","116,800,000","81,700,000","77,700,000","70,500,000","69,000,000","66,300,000","57,300,000","51,800,000","33,845,000","34,426,000","36,080,000","36,069,000","34,075,000","33,619,000","33,264,000","30,687,000","31,239,000","27,875,000","25,710,000","23,099,000","21,124,000","15,863,000","17,016,000","17,375,000","16,089,000","15,033,000","18,335,000","2,656,000","2,353,000","2,613,000","2,565,000","2,733,000","3,159,000","2,740,000","2,485,000","2,313,000","2,118,000","2,171,000","2,264,000","2,311,000","1,970,000","1,903,000","1,745,000","1,565,000","2,837,000","2,806,000","2,811,000","2,755,000","2,854,000","2,698,000","2,635,000","2,463,000","2,372,000","2,252,000","2,222,000","2,133,000","2,165,000","2,229,000","1,947,000"
