name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,12/31/2004
TotalAssets,"7,399,225,000","7,413,746,000","7,268,630,000","7,248,473,000","7,108,910,000","7,108,931,000","6,985,217,000","7,072,618,000","6,949,141,000","7,515,689,000","7,054,687,000","7,137,807,000","7,256,926,000","7,121,362,000","7,094,555,000","7,025,692,000","6,840,189,000","6,864,501,000","7,054,693,000","6,680,286,000","6,604,503,000","6,867,213,000","8,087,660,000","7,544,020,000","7,577,789,000","7,316,331,000","7,060,642,000","6,803,805,000","6,674,674,000","6,724,439,000","6,439,954,000","6,612,015,000","6,376,353,000","6,883,502,000","6,862,710,000","6,868,126,000","6,294,425,000","6,348,692,000","5,981,729,000","5,487,334,000","5,773,512,000","5,777,614,000","5,723,312,000","4,939,232,000","4,433,981,000","4,380,403,000","4,201,771,000","3,631,315,000","3,473,514,000","3,349,512,000","3,095,072,000","2,910,179,000","2,288,432,000","2,114,502,000","1,859,850,000","1,675,130,000","1,477,159,000","1,371,312,000","1,177,156,000","723,212,000","618,763,000","578,510,000","255,146,000","101,884,000","41,765,000"
	CurrentAssets,"2,994,993,000","3,191,243,000","3,046,325,000","3,155,476,000","3,136,890,000","3,014,535,000","2,800,493,000","2,731,176,000","2,747,843,000","3,599,834,000","3,043,490,000","3,412,246,000","3,662,826,000","3,859,523,000","3,886,089,000","3,986,040,000","3,770,299,000","3,832,772,000","3,966,494,000","3,436,912,000","3,330,238,000","3,786,620,000","3,465,418,000","3,076,621,000","3,274,157,000","3,345,586,000","3,251,329,000","3,156,206,000","3,149,703,000","3,190,466,000","3,253,026,000","3,170,269,000","3,036,037,000","3,792,764,000","3,596,566,000","3,601,279,000","3,109,926,000","2,832,324,000","2,710,036,000","2,464,424,000","2,900,403,000","2,613,261,000","2,430,468,000","1,836,231,000","1,394,255,000","1,584,460,000","1,614,841,000","1,615,870,000","1,404,533,000","1,351,271,000","1,203,392,000","1,244,487,000","1,239,704,000","1,077,401,000","962,376,000","838,573,000","798,251,000","802,509,000","795,785,000","424,087,000","387,489,000","388,522,000","89,947,000","26,553,000","12,281,000"
		CashCashEquivalentsAndShortTermInvestments,"1,549,454,000","1,826,043,000","1,922,065,000","1,765,393,000","1,535,614,000","1,747,068,000","1,630,873,000","1,546,780,000","1,508,695,000","2,164,247,000","1,540,551,000","2,029,129,000","2,117,214,000","2,547,266,000","2,729,932,000","3,134,912,000","2,878,474,000","2,988,913,000","2,718,617,000","2,229,085,000","2,445,687,000","1,955,146,000","2,090,204,000","1,667,439,000","1,880,500,000","1,830,280,000","1,809,517,000","1,775,161,000","1,484,582,000","1,991,086,000","1,115,398,000","1,348,867,000","1,379,227,000","1,764,174,000","1,531,884,000","1,285,272,000","1,011,746,000","1,003,872,000","716,994,000","743,693,000","663,587,000","671,765,000","762,910,000","464,443,000","555,510,000","933,578,000","833,416,000","796,475,000","714,174,000","784,735,000","523,661,000","589,874,000","797,108,000","792,260,000","715,150,000","633,004,000","680,664,000","636,950,000","681,794,000","315,007,000","325,338,000","308,415,000","31,693,000","17,033,000","3,771,000"
			CashAndCashEquivalents,"1,326,363,000","1,450,654,000","1,367,464,000","1,346,888,000","972,879,000","1,227,002,000","1,277,054,000","1,052,700,000","929,355,000","1,352,741,000","878,999,000","1,221,568,000","1,013,402,000","1,403,562,000","1,434,883,000","2,024,491,000","1,858,338,000","2,268,534,000","2,019,073,000","1,509,516,000","1,656,245,000","1,347,155,000","1,414,219,000","916,660,000","1,086,280,000","1,126,826,000","1,189,703,000","1,075,144,000","779,908,000","1,482,054,000","622,523,000","851,346,000","975,194,000","1,325,072,000","1,192,648,000","928,657,000","842,753,000","901,294,000","614,699,000","630,240,000","610,480,000","605,619,000","678,560,000","357,477,000","355,725,000","765,689,000","621,216,000","510,482,000","420,886,000","664,499,000","364,814,000","429,160,000","624,932,000","716,218,000","581,779,000","511,244,000","590,534,000","404,264,000","117,153,000","107,799,000","325,012,000","308,092,000","31,373,000","16,721,000","3,465,000"
				CashFinancial,"1,326,363,000","1,450,654,000","1,367,462,000","1,346,886,000","972,877,000","1,227,000,000","1,276,662,000","1,052,308,000","929,014,000","1,345,419,000","871,711,000","1,180,410,000","812,422,000","1,202,774,000","1,234,270,000","1,804,118,000","1,732,289,000","2,142,949,000","1,968,818,000","1,459,516,000","1,656,245,000","1,347,155,000","1,414,219,000","916,486,000","1,017,334,000","1,126,496,000","1,103,684,000","1,072,002,000","722,413,000","1,480,452,000","613,767,000","838,255,000","952,690,000","1,322,183,000","1,128,573,000","882,091,000","832,868,000","889,065,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"0","2,000","2,000","2,000","2,000","392,000","392,000","341,000","7,322,000","7,288,000","41,158,000","200,980,000","200,788,000","200,613,000","220,373,000","126,049,000","125,585,000","50,255,000","50,000,000",,"0",,"174,000","68,946,000","330,000","86,019,000","3,142,000","57,495,000","1,602,000","8,756,000","13,091,000","22,504,000","2,889,000","64,075,000","46,566,000","9,885,000","12,229,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"223,091,000","375,389,000","554,601,000","418,505,000","562,735,000","520,066,000","353,819,000","494,080,000","579,340,000","811,506,000","661,552,000","807,561,000","1,103,812,000","1,143,704,000","1,295,049,000","1,110,421,000","1,020,136,000","720,379,000","699,544,000","719,569,000","789,442,000","607,991,000","675,985,000","750,779,000","794,220,000","703,454,000","619,814,000","700,017,000","704,674,000","509,032,000","492,875,000","497,521,000","404,033,000","439,102,000","339,236,000","356,615,000","168,993,000","102,578,000","102,295,000","113,453,000","53,107,000","66,146,000","84,350,000","106,966,000","199,785,000","167,889,000","212,200,000","285,993,000","293,288,000","120,236,000","158,847,000","160,714,000","172,176,000","76,042,000","133,371,000","121,760,000","90,130,000","232,686,000","564,641,000","207,208,000","326,000","323,000","320,000","312,000","306,000"
		Receivables,"322,121,000","454,709,000","273,343,000","597,624,000","817,100,000","294,283,000","310,470,000","355,310,000","440,690,000","712,293,000","583,997,000","458,993,000","708,574,000","612,775,000","611,821,000","337,675,000","454,619,000","419,048,000","808,226,000","637,932,000","249,302,000","509,525,000","638,254,000","611,481,000","502,236,000","561,076,000","571,325,000","390,531,000","380,014,000","224,892,000","829,525,000","802,811,000","765,912,000","657,706,000","584,514,000","653,018,000","759,262,000","972,279,000","883,993,000","579,840,000","867,525,000","843,967,000","807,619,000","605,654,000","373,277,000","307,019,000","464,624,000","361,677,000","295,120,000","226,826,000","348,965,000","351,266,000","184,790,000","61,703,000","42,371,000","50,891,000","18,924,000","54,042,000","53,983,000","47,493,000","42,791,000","55,481,000","43,153,000","1,098,000","4,393,000"
			AccountsReceivable,"293,357,000","429,436,000","248,290,000","582,991,000","789,820,000","266,086,000","217,864,000","287,684,000","289,058,000","475,039,000","367,306,000","269,527,000","301,669,000","128,282,000","141,699,000","125,379,000","273,277,000","211,797,000","344,645,000","260,994,000","151,186,000","266,687,000","323,049,000","369,135,000","349,467,000","500,629,000","328,927,000","276,819,000","254,217,000","135,434,000","282,783,000","237,924,000","233,761,000","136,383,000","147,741,000","192,580,000","279,131,000","553,567,000","467,640,000","143,670,000","867,525,000","843,967,000","807,619,000","605,654,000","373,277,000","307,019,000","464,624,000","361,677,000","295,120,000","226,826,000","348,965,000","351,266,000","184,790,000","61,703,000","41,474,000","49,994,000","18,027,000","18,165,000","19,660,000","13,736,000","7,844,000","27,966,000","26,433,000","1,098,000","4,393,000"
				GrossAccountsReceivable,"293,836,000","430,100,000","249,771,000","585,507,000","795,923,000","269,095,000","221,196,000","291,018,000","293,612,000","476,425,000","369,295,000","270,862,000","303,062,000","129,644,000","142,934,000","126,472,000","275,604,000","213,776,000","347,209,000","261,014,000","151,206,000","266,687,000","323,049,000","369,135,000","349,467,000","500,629,000","328,929,000","276,850,000","254,247,000","142,542,000","290,260,000","246,021,000","241,931,000","148,693,000","157,650,000","202,109,000","291,433,000","568,070,000","480,575,000","155,670,000","877,838,000",,,,,,,,,,,,,,,,,,,,,,,,
