name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990
OperatingCashFlow,"-125,958,000","12,188,000","96,614,000","-105,234,000","-129,526,000","-13,946,000","157,278,000","135,637,000","193,532,000","43,913,000","179,460,000","54,011,000","81,095,000","32,254,000","188,548,000","84,107,000","6,874,000","-17,329,000","87,294,000","-43,678,000","-45,982,000","-84,766,000","44,943,000","-37,726,000","-28,802,000","-81,817,000","49,911,000","23,702,000","-38,757,000","-38,191,000","24,905,000","-61,503,000","-42,983,000","-131,667,000","-46,750,000","-20,005,000","-19,402,000","-119,000","-88,235,000","-27,345,000","-49,545,000","-55,362,000","-22,923,000","-18,478,000","-8,172,000","-24,563,000","-5,612,000","-20,682,000","14,908,000","43,937,000","26,640,000","-20,820,000","39,635,000","138,619,000","93,677,000","4,396,000","20,633,000","81,123,000","141,320,000","4,575,000","-83,838,000","-82,670,000","45,675,000","-13,677,000","-17,213,000","-36,749,000","148,821,000","1,600,000","-24,119,000","-54,059,000","82,283,000","-6,843,000","-23,931,000","8,662,000","28,961,000","-14,888,000","-42,036,000","-28,931,000","6,691,000","31,299,000","-8,058,000","-35,768,000","12,073,000","12,414,000","-16,099,000","-28,235,000","23,419,000","-6,604,914","5,397,991","-15,960,077","21,834,420","-18,811,759","-8,404,985","-31,004,863","10,390,931","4,494,105","-5,417,222","-14,663,694","14,328,225","-500,275","5,143,737","-12,295,471","2,200,000","100,000","300,000","-200,000","300,000","0","500,000","500,000","-700,000","-100,000","-100,000","-100,000","-11,300,000","2,200,000","2,900,000","2,700,000","4,300,000","8,900,000","600,000","4,900,000","-3,000,000","6,300,000","6,000,000","3,400,000","3,500,000"
	CashFlowFromContinuingOperatingActivities,"-125,958,000","12,188,000","96,614,000","-105,234,000","-129,526,000","-13,946,000","157,278,000","135,637,000","193,532,000","43,913,000","179,460,000","54,011,000","81,095,000","32,254,000","188,548,000","84,107,000","6,874,000","-17,329,000","87,294,000","-43,678,000","-45,982,000","-84,766,000","44,943,000","-37,726,000","-28,802,000","-81,817,000","49,911,000","23,702,000","-38,757,000","-38,191,000","24,905,000","-61,503,000","-42,983,000","-131,667,000","-46,750,000","-20,005,000","-19,402,000","-119,000","-88,235,000","-27,345,000","-49,545,000","-55,362,000","-22,923,000","-18,478,000","-8,172,000","-24,563,000","-5,612,000","-20,682,000","14,908,000","43,937,000","26,640,000","-20,820,000","39,635,000","138,619,000","93,677,000","4,396,000","20,633,000","81,123,000","141,320,000","4,575,000","-83,838,000","-82,670,000","45,675,000","-13,677,000","-17,213,000","-36,749,000","148,821,000","1,600,000","-24,119,000","-54,059,000","82,283,000","-6,843,000","-23,931,000","8,662,000","28,961,000","-14,888,000","-42,036,000","-28,931,000","6,691,000","31,299,000","-8,058,000","-35,768,000","12,073,000","12,414,000","-16,099,000","-28,235,000","23,419,000","-6,604,914","5,397,991","-15,960,077","21,834,420","-18,811,759","-8,404,985","-31,004,863","10,390,931","4,494,105","-5,417,222","-14,663,694","14,328,225","-500,275","5,143,737","-12,295,471","2,200,000","100,000","300,000","-200,000","300,000","0","500,000","500,000","-700,000","-100,000","-100,000","-100,000","-11,300,000","2,200,000","2,900,000","2,700,000","4,300,000","8,900,000","600,000","4,900,000","-3,000,000","6,300,000","6,000,000","3,400,000","3,500,000"
		NetIncomeFromContinuingOperations,"822,855,000","217,254,000","237,460,000","200,752,000","167,389,000","131,843,000","152,527,000","109,118,000","90,678,000","71,152,000","103,614,000","69,809,000","50,828,000","25,412,000","75,485,000","54,135,000","53,838,000","43,874,000","35,553,000","42,550,000","41,580,000","23,572,000","51,807,000","36,887,000","39,878,000","20,969,000","52,897,000","30,308,000","29,133,000","16,400,000","49,208,000","32,577,000","35,079,000","25,377,000","46,089,000","38,191,000","28,143,000","12,041,000","95,128,000","6,784,000","8,005,000","-4,754,000","-11,774,000","-3,235,000","562,000","-6,659,000","-895,000","1,219,000","4,166,000","2,660,000","43,286,000","-17,785,000","-73,602,000","-18,355,000","-79,149,000","-144,013,000","-23,468,000","-45,305,000","-128,839,000","-118,552,000","-56,576,000","15,116,000","9,024,000","59,539,000","77,055,000","79,736,000","101,977,000","70,253,000","59,239,000","24,196,000","51,812,000","35,600,000","24,637,000","26,919,000","31,566,000","25,755,000","21,312,000","15,773,000","23,996,000","22,437,000","14,938,000","8,566,000","15,889,000","14,887,000","12,494,000","7,389,000","11,909,000","10,509,107","8,573,010","4,770,883","8,052,332","4,027,176","4,540,803","2,325,042","7,586,618","4,268,002","6,696,469","5,451,698","6,912,061","5,078,975","1,958,068","288,338","-400,000","300,000","300,000","100,000","200,000","100,000","300,000","500,000","-3,100,000","400,000","-1,100,000","-700,000","-2,900,000","-4,000,000","-8,200,000","-10,800,000","-3,000,000","-15,400,000","-3,300,000","2,600,000","-4,500,000","4,400,000","4,300,000","3,800,000","2,900,000"
		OperatingGainsLosses,"13,345,000","-936,000","-1,779,000","-1,071,000","17,131,000","-750,000","-1,675,000","-1,130,000","-1,007,000","-684,000","2,624,000","-3,106,000","-3,654,000","-2,174,000","-5,173,000","-5,182,000","-3,368,000","-2,610,000","-5,434,000","-3,398,000","-4,029,000","-3,098,000","-7,384,000","-4,655,000","-4,368,000","-2,635,000","-4,019,000","-3,731,000","-2,588,000","-2,421,000","-3,505,000","-2,649,000","-2,236,000","-2,032,000","-3,250,000","-3,557,000","-270,000","-1,932,000","-9,725,000","148,000","5,287,000","-171,000","-30,000","158,000","240,000","280,000","616,000","4,979,000","-658,000","537,000","9,672,000","2,335,000","-5,887,000","-1,847,000","-1,526,000","1,041,000","4,183,000","16,796,000","34,434,000","17,902,000","2,015,000","1,807,000",,,"2,258,000","-5,261,000","-1,443,000","1,123,000","10,441,000","3,124,000","164,797,000","-103,795,000","-55,798,000","-5,020,000","-17,797,000","-64,632,000","-67,216,000","-64,818,000","1,045,000","-17,832,000","-22,401,000","-39,713,000","9,141,000","-23,333,000","-35,232,000","-24,460,000","6,273,000","-23,235,563","-13,494,217","-13,743,220","4,415,642","-35,764,875","-20,059,712","-22,939,063","-9,212,487","-3,984,531","-19,761,496","-9,618,751","-2,512,167","-2,063,936","897,186","-10,012,708",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,"642,000","849,000","2,177,000","2,753,000","4,512,000","3,996,000","4,244,000","5,064,000","3,590,000","3,244,000","4,927,000","3,698,000","3,432,000","3,280,000","5,520,000","4,096,000","3,866,000","3,477,000","3,204,000","3,677,000","2,734,000","3,035,000","2,829,000","2,665,000","2,164,000","3,955,000","2,217,000","3,560,000","3,514,000","3,722,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-4,843,000","-936,000","-1,779,000","-1,071,000","-1,057,000","-750,000","-1,675,000","-1,130,000","-1,007,000","-684,000","-3,011,000","-3,106,000","-3,654,000","-2,174,000","-5,173,000","-5,182,000","-3,368,000","-2,610,000","-5,434,000","-3,398,000","-4,029,000","-3,098,000","-7,384,000","-4,655,000","-4,368,000","-2,635,000","-4,019,000","-3,731,000","-2,588,000","-2,421,000","-3,505,000","-2,649,000","-2,236,000","-2,032,000","-3,250,000","-3,557,000","-3,366,000","-2,632,000","-9,725,000","148,000","-485,000","-171,000","-30,000","158,000","240,000","280,000","616,000","637,000","1,570,000","-803,000","-8,004,000","6,240,000","-852,000","-1,397,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"25,469,000","5,759,000","6,353,000","6,478,000","6,879,000","6,535,000","8,556,000","7,945,000","7,540,000","7,011,000","8,370,000","7,172,000","6,549,000","5,832,000","7,508,000","6,850,000","6,742,000","5,866,000","4,633,000","4,199,000","4,202,000","3,670,000","4,508,000","3,870,000","4,198,000","3,402,000","3,947,000","3,565,000","3,518,000","3,211,000","3,460,000","2,972,000","2,669,000","2,513,000","2,765,000","2,511,000","2,500,000","2,158,000","2,283,000","2,299,000","1,921,000","1,693,000","1,911,000","1,694,000","1,817,000","1,756,000","1,835,000","2,111,000","2,081,000","1,947,000","2,296,000","2,003,000","2,119,000","2,425,000","5,884,000","3,221,000","3,216,000","3,348,000","4,361,000","4,413,000","4,775,000","4,269,000","8,457,000","5,095,000","5,304,000","4,873,000","4,455,000","4,728,000","4,270,000","3,754,000","4,264,000","3,205,000","3,017,000","2,747,000","2,805,000","1,985,000","2,029,000","1,717,000","2,049,000","1,854,000","1,526,000","1,351,000","1,994,000","1,761,000","1,220,000","766,000","1,087,000","795,767","830,168","694,065","920,688","598,145","550,535","458,978","673,934","366,022","327,683","269,835","-865,166","812,688","197,472","287,087",,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"25,469,000","5,759,000","6,353,000","6,478,000","6,879,000","6,535,000","8,556,000","7,945,000","7,540,000","7,011,000","8,370,000","7,172,000","6,549,000","5,832,000","7,508,000","6,850,000","6,742,000","5,866,000","4,633,000","4,199,000","4,202,000","3,670,000","4,508,000","3,870,000","4,198,000","3,402,000","3,947,000","3,565,000","3,518,000","3,211,000","3,460,000","2,972,000","2,669,000","2,513,000","2,765,000","2,511,000","2,500,000","2,158,000","2,283,000","2,299,000","1,921,000","1,693,000","1,911,000","1,694,000","1,817,000","1,756,000","1,835,000","2,111,000","2,081,000","1,947,000","2,296,000","2,003,000","2,119,000","2,425,000","5,884,000","3,221,000","3,216,000","3,348,000","4,361,000","4,413,000","4,775,000","4,269,000","8,457,000","5,095,000","5,304,000","4,873,000","4,455,000","4,728,000","4,270,000","3,754,000","4,264,000","3,205,000","3,017,000","2,747,000","2,805,000","1,985,000","2,029,000","1,717,000","2,049,000","1,854,000","1,526,000","1,351,000","1,994,000","1,761,000","1,220,000","766,000","1,087,000","795,767","830,168","694,065","920,688","598,145","550,535","458,978","673,934","366,022","327,683","269,835","-865,166","812,688","197,472","287,087",,,,,,,,,,,,,,,,,,,,,,,,,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264,691","-866,170","811,862","235,817","195,407",,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,144","1,004","826","-38,345","91,680",,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,144","1,004","826","-38,345","91,680",,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-4,052,000","-1,557,000",,,"-70,265,000","-4,000",,,,,,,,,,,"0","0",,,"117,067,000","10,519,000",,,"-30,871,000","-48,921,000",,,,,,,"-7,350,000",,,,"848,000","0","0","-239,000","1,856,000","-269,000",,,"-183,000","1,901,000","-1,310,000","-497,000","-651,000","-1,359,000","-75,000","16,000","128,000","163,741","-116,939","-18,802","-127,198","1,810,727","3,338,837","1,214,000","3,435,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-4,052,000","-1,557,000",,,"-70,265,000","-4,000",,,,,,,,,,,"0","0",,,"117,067,000","10,519,000",,,"-30,871,000","-48,921,000",,,,,,,"-7,350,000",,,,"848,000","0","0","-239,000","1,856,000","-269,000",,,"-183,000","1,901,000","-1,310,000","-497,000","-651,000","-1,359,000","-75,000","16,000","128,000","163,741","-116,939","-18,802","-127,198","1,810,727","3,338,837","1,214,000","3,435,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436,000","417,000","863,000","293,000","13,871,000","1,047,000","590,000","664,000","4,925,000","680,000","304,000","542,000",,"10,635,000","66,380,000","10,468,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"20,677,000","5,975,000","5,634,000","5,845,000","3,223,000","5,367,000","4,271,000","6,130,000","3,157,000","6,437,000","3,888,000","5,657,000","4,201,000","5,861,000","3,433,000","4,761,000","3,767,000","5,209,000","2,158,000","4,113,000","2,490,000","3,295,000","2,699,000","3,729,000","2,555,000","4,758,000","3,363,000","3,953,000","3,835,000","4,630,000","3,176,000","3,771,000","2,853,000","2,411,000","2,443,000","3,099,000","2,097,000","1,844,000","2,224,000","2,822,000","1,620,000","1,653,000","2,195,000","2,114,000","1,388,000","1,713,000","1,296,000","1,566,000","1,239,000","1,257,000","1,692,000","2,219,000","1,229,000","1,064,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
