name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
OperatingCashFlow,"-689,711,000","-288,142,000","-291,470,000","-10,115,000","-99,989,000","38,360,000","88,081,000","4,567,000","86,070,000","-70,679,000","188,989,000","225,058,000","52,767,000","247,973,000","161,532,000","-238,434,000","110,964,000","-242,006,000","400,202,000","99,946,000","301,457,000","-53,421,000","181,998,000","-53,833,000","218,732,000","229,616,000","169,167,000","244,354,000","133,853,000","-60,335,000","-125,465,000","97,411,000","-177,426,000","-1,011,881,000","-290,632,000","-245,448,000","-267,865,000","-440,994,000","-610,829,000","-491,413,000","-402,426,000","73,739,000","12,332,000","-132,097,000","-213,209,000","-192,063,000","-163,989,000","-12,348,000","-87,294,000","-12,996,000","113,625,000","41,503,000","-48,448,000","-2,426,000","4,659,000","-27,785,000","-53,320,000","4,863,000","-102,990,000","-52,578,000","15,191,000","-8,104,000","-100,537,000","-50,440,000","-27,288,000","3,066,000","-7,683,000","1,411,000","-87,149,000","118,000","98,842,000","-96,540,000","0"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,739,000","12,332,000","-132,097,000","-213,209,000","-192,063,000","-163,989,000","-12,348,000","-87,294,000","-12,996,000","113,625,000","41,503,000","-48,448,000","-2,426,000","4,659,000","-27,785,000","-53,320,000","4,863,000","-102,990,000","-52,578,000","15,191,000","-8,104,000","-100,537,000","-50,440,000","-27,288,000","3,066,000","-7,683,000","1,411,000","-87,149,000","118,000","98,842,000","-96,540,000",
		NetIncomeFromContinuingOperations,"873,726,000","164,296,000","253,613,000","212,131,000","243,686,000","246,408,000","305,967,000","167,746,000","162,613,000","-185,699,000","-11,203,000","18,065,000","38,886,000","89,195,000","-67,389,000","83,795,000","114,304,000","51,859,000","121,727,000","11,973,000","51,168,000","19,492,000","100,880,000","81,366,000","95,157,000","75,508,000","-95,120,000","27,817,000","94,769,000","81,492,000","85,970,000","84,108,000","71,657,000","82,101,000","85,362,000","79,900,000","82,689,000","44,429,000","46,489,000","47,249,000","36,303,000","50,209,000","64,492,000","39,900,000","26,959,000","33,759,000","31,940,000","25,580,000","16,177,000","25,940,000",,,"-749,000","15,331,000","6,524,000","13,998,000","23,986,000","-1,259,000","-3,686,000","8,550,000","4,848,000","4,976,000","2,940,000","3,964,000","5,940,000","2,955,000","2,528,000","1,473,000","7,099,000","857,000","1,236,000","-441,000","-100,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,697,000","-29,631,000","-12,951,000","-8,930,000","-27,146,000","-10,449,000","-527,000","-1,680,000","2,000","26,819,000","18,696,000","53,315,000","-12,576,000","-16,000","-1,645,000","-2,174,000","-208,000","18,610,000","11,000","0","1,000","1,000","-1,951,000",,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-1,994,000","0",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,515,045,000","-432,842,000","-573,041,000","-207,238,000","-301,924,000","-233,648,000","-201,755,000","-119,064,000","-61,363,000","135,455,000","192,103,000","216,400,000","68,838,000","154,788,000","96,956,000","-189,387,000","-12,673,000","-288,020,000","259,756,000","144,322,000","145,308,000","-82,415,000","165,281,000","-226,860,000","101,458,000","155,921,000","240,886,000","159,421,000","-14,572,000","-96,744,000","-284,644,000","2,696,000","-242,955,000","-998,662,000","-402,781,000","-364,724,000","-334,625,000","-476,817,000","-542,176,000","-615,993,000","-588,253,000","6,697,000","-29,631,000","-12,951,000","-634,768,000","-27,146,000",,,"4,757,000","2,000",,,"-111,313,000","0","-16,000","-1,645,000","-176,849,000","-208,000","18,610,000","11,000","-160,648,000","1,000","1,000","-1,951,000",,,,,,,,,"0"
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,000","180,000","181,000","186,000",,,"1,552,000","1,261,000","-423,000","-864,000","584,000","-207,000",,,,"7,000",
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,000","180,000","181,000","186,000",,,"1,552,000","1,261,000","-423,000","-864,000","584,000","-207,000",,,,"7,000",
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,000","180,000","181,000","186,000",,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,000","180,000","181,000","186,000",,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,680,000","2,406,000","2,088,000","1,737,000","1,494,000","1,144,000","990,000","1,870,000","1,321,000","1,283,000","823,000","219,000",,,,,,,,,,,,,,,"-131,000",,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,371,000","-4,058,000","1,743,000","-6,968,000",,,"-28,009,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-5,923,000","9,579,000","7,689,000","-13,846,000","-9,345,000","-9,318,000","-30,053,000","-32,317,000","-23,863,000","-11,756,000","-4,853,000","-8,573,000","-17,764,000","-7,384,000","1,386,000","-13,717,000","14,257,000","-7,120,000","9,840,000","10,548,000","50,913,000","-1,894,000","10,636,000","18,728,000","9,086,000","21,956,000","13,801,000","22,857,000","15,235,000","21,870,000","17,321,000","1,448,000","11,016,000","-16,302,000","3,658,000","-816,000","-18,081,000","-12,330,000","-20,253,000","-15,766,000",,,,,,,,"-4,305,000","-6,859,000","-9,195,000","209,000","-6,879,000","683,000","-4,580,000","44,771,000","-42,514,000","-9,009,000","14,043,000","-4,812,000","-1,590,000","-113,553,000","113,944,000","-531,000","-404,000","-108,000","10,095,000","-11,331,000","434,000","-94,910,000","13,000","-95,615,000","96,106,000",
		ChangeInWorkingCapital,"-42,469,000","-29,175,000","20,269,000","-1,162,000","-32,406,000","34,918,000","13,922,000","-11,798,000","8,683,000","-8,679,000","12,942,000","-834,000","-37,193,000","11,374,000","130,579,000","-119,125,000","-4,924,000","1,275,000","8,879,000","-66,897,000","54,068,000","11,396,000","-94,799,000","72,933,000","13,031,000","-23,769,000","9,600,000","34,259,000","38,421,000","-66,953,000","55,888,000","9,159,000","-17,144,000","-79,018,000","23,129,000","40,192,000","2,152,000","3,724,000","-94,889,000","93,097,000","169,193,000","14,153,000","-24,935,000","-161,134,000","425,532,000","-212,599,000","-182,558,000","-30,028,000","-109,379,000","-24,096,000","107,300,000","28,863,000","63,885,000","-14,131,000","-46,620,000","2,376,000","109,099,000","-7,893,000","-113,283,000","-59,735,000","284,544,000","-124,212,000","-104,499,000","-53,310,000","6,763,000","-8,633,000","405,000","-158,000","662,000","-752,000","193,228,000","-192,212,000","100,000"
			ChangeInReceivables,"-6,248,000","-1,180,000","-3,067,000","12,189,000","-10,973,000","-28,000","-2,776,000","-998,000","-3,102,000","4,348,000","2,720,000","12,983,000","-11,620,000","-9,969,000","125,029,000","-108,830,000","5,728,000","-12,530,000","4,424,000","-11,892,000","-142,000","20,073,000","-20,311,000","2,178,000","7,511,000","-2,213,000","-2,307,000","8,007,000","2,680,000","-3,527,000","842,000","1,296,000","-528,000","-7,803,000","7,212,000","3,795,000","-8,361,000","52,000","13,192,000","-17,140,000","3,589,000","-8,806,000","-479,000","229,000","1,813,000","-2,577,000","1,359,000","-4,355,000","-2,138,000","3,444,000","1,715,000","-812,000","2,452,000","-1,469,000","1,277,000","2,559,000","-3,864,000","1,856,000","-1,827,000","-847,000","-1,096,000","354,000","-973,000","-144,000","-2,027,000","96,000","15,000","-116,000","-112,000","-30,000","97,165,000","-97,229,000","0"
