name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,04/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"587,373,000","159,209,000","147,623,000","142,114,000","138,427,000","133,995,000","129,951,000","117,295,000","117,617,000","118,548,000","111,181,000","102,421,000","96,646,000","95,702,000","93,290,000","88,946,000","85,474,000","83,283,000","81,270,000","78,144,000","72,193,000","69,480,000","66,534,000","62,595,000","60,242,000","60,872,000","58,887,000","55,921,000","52,836,000","50,989,000","50,033,000","42,358,000","41,682,000","39,743,000","36,730,000","34,883,000","32,067,000","30,348,000","25,774,000","21,727,000","19,962,000","18,023,000","7,707,000","17,041,000","12,514,000","7,707,000","6,742,000","38,739,000","6,688,000","7,336,000","7,683,000","7,397,000","7,390,000","7,699,000","7,680,000"
	OperatingRevenue,"584,208,000","158,601,000","147,525,000","140,277,000","137,805,000","133,825,000","129,768,000","117,247,000","117,471,000","118,339,000","111,079,000","102,294,000","96,362,000","95,615,000","78,427,000","75,159,000","72,140,000","69,928,000","69,210,000","65,673,000","61,726,000","59,222,000","56,166,000","53,511,000","51,715,000","51,349,000","50,262,000","47,731,000","45,220,000","43,249,000","43,375,000","36,774,000","35,203,000","34,118,000","31,473,000","30,391,000","28,325,000","26,287,000","15,677,000","21,727,000","19,962,000","18,023,000","6,489,000","17,041,000","12,514,000","6,489,000","6,742,000","38,739,000","6,688,000","7,336,000","7,683,000","7,397,000","7,390,000","7,699,000","7,680,000"
CostOfRevenue,"112,759,000","31,775,000","28,886,000","26,742,000","25,356,000","27,002,000","26,203,000","20,817,000","20,392,000","21,947,000","20,556,000","18,157,000","16,955,000","19,511,000","18,286,000","17,112,000","16,124,000","17,499,000","15,389,000","15,401,000","13,635,000","13,276,000","13,232,000","11,258,000","11,759,000","12,655,000","11,362,000","10,949,000","10,071,000","10,246,000","9,103,000","7,694,000","8,606,000","7,985,000","6,793,000","6,308,000","5,579,000","5,343,000","8,449,000","1,345,000","1,353,000","1,762,000","2,067,000","1,350,000","968,000","2,067,000","1,022,000","6,785,000","831,000","590,000","1,155,000","1,560,000","1,125,000","1,238,000","1,419,000"
GrossProfit,"474,614,000","127,434,000","118,737,000","115,372,000","113,071,000","106,993,000","103,748,000","96,478,000","97,225,000","96,601,000","90,625,000","84,264,000","79,691,000","76,191,000","75,004,000","71,834,000","69,350,000","65,784,000","65,881,000","62,743,000","58,558,000","56,204,000","53,302,000","51,337,000","48,483,000","48,217,000","47,525,000","44,972,000","42,765,000","40,743,000","40,930,000","34,664,000","33,076,000","31,758,000","29,937,000","28,575,000","26,488,000","25,005,000","17,325,000","20,382,000","18,609,000","16,261,000","5,640,000","15,691,000","11,546,000","5,640,000","5,720,000","31,954,000","5,857,000","6,746,000","6,528,000","5,837,000","6,265,000","6,461,000","6,261,000"
OperatingExpense,"295,810,000","79,679,000","74,307,000","71,914,000","69,910,000","71,197,000","65,279,000","63,458,000","63,012,000","63,061,000","60,829,000","55,832,000","53,220,000","51,515,000","50,811,000","53,266,000","48,879,000","48,713,000","48,854,000","46,566,000","44,086,000","44,724,000","39,148,000","39,623,000","38,769,000","41,299,000","37,800,000","35,085,000","34,752,000","33,659,000","32,385,000","27,687,000","29,052,000","25,329,000","22,627,000","21,839,000","20,874,000","20,116,000","14,435,000","15,774,000","14,294,000","13,376,000","2,829,000","12,099,000","10,215,000","2,829,000","3,075,000","23,689,000","4,124,000","3,909,000","3,515,000","3,379,000","3,432,000","3,374,000","4,217,000"
	SellingGeneralAndAdministration,"48,152,000","12,313,000","10,593,000","12,668,000","12,578,000","12,790,000","10,756,000","9,537,000","9,406,000","10,373,000","9,223,000","8,924,000","8,587,000","9,212,000","8,415,000","8,911,000","7,978,000","8,748,000","8,259,000","8,380,000","7,939,000","8,771,000","7,022,000","7,603,000","7,751,000","11,019,000","7,297,000","6,429,000","7,495,000","7,530,000","6,934,000","5,704,000","8,283,000","5,475,000","4,482,000","4,376,000","4,477,000","4,506,000","4,587,000","3,656,000","3,308,000","2,998,000","484,000","2,453,000","2,274,000","484,000","284,000","8,352,000","214,000","192,000","337,000","272,000","331,000","251,000","224,000"
		GeneralAndAdministrativeExpense,"48,152,000","12,313,000","10,593,000","12,668,000","12,578,000","12,790,000","10,756,000","9,537,000","9,406,000","10,373,000","9,223,000","8,924,000","8,587,000","9,212,000","8,415,000","8,911,000","7,978,000","8,748,000","8,259,000","8,380,000","7,939,000","8,771,000","7,022,000","7,603,000","7,751,000","11,019,000","7,297,000","6,429,000","7,495,000","7,530,000","6,934,000","5,704,000","8,283,000","5,475,000","4,482,000","4,376,000","4,477,000","4,506,000","4,587,000",,,,"484,000",,,"484,000",,,,,,,,,
			OtherGandA,"48,152,000","12,313,000","10,593,000","12,668,000","12,578,000","12,790,000","10,756,000","9,537,000","9,406,000","10,373,000","9,223,000","8,924,000","8,587,000","9,212,000","8,415,000","8,911,000","7,978,000","8,748,000","8,259,000","8,380,000","7,939,000","8,771,000","7,022,000","7,603,000","7,751,000","11,019,000","7,297,000","6,429,000","7,495,000","7,530,000","6,934,000","5,704,000","8,283,000","5,475,000","4,482,000","4,376,000","4,477,000","4,506,000","4,587,000",,,,"484,000",,,"484,000",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"247,658,000","67,366,000","63,714,000","59,246,000","57,332,000","58,407,000","54,523,000","53,921,000","53,606,000","52,688,000","51,606,000","46,908,000","44,633,000","42,303,000","42,396,000","44,355,000","40,901,000","39,965,000","40,595,000","38,186,000","36,147,000","35,953,000","32,126,000","32,020,000","31,018,000","30,280,000","30,503,000","28,656,000","27,257,000","26,129,000","25,451,000","21,983,000","20,769,000","19,854,000","18,145,000","17,463,000","16,397,000","15,610,000","14,810,000","10,354,000","9,272,000","8,860,000","2,345,000","8,332,000","6,874,000","2,345,000","2,031,000","17,684,000","3,132,000","2,943,000","2,383,000","2,328,000","2,337,000","2,376,000","3,216,000"
		DepreciationAndAmortizationInIncomeStatement,"247,658,000","67,366,000","63,714,000","59,246,000","57,332,000","58,407,000","54,523,000","53,921,000","53,606,000","52,688,000","51,606,000","46,908,000","44,633,000","42,303,000","42,396,000","44,355,000","40,901,000","39,965,000","40,595,000","38,186,000","36,147,000","35,953,000","32,126,000","32,020,000","31,018,000","30,280,000","30,503,000","28,656,000","27,257,000","26,129,000","25,451,000","21,983,000","20,769,000","19,854,000","18,145,000","17,463,000","16,397,000","15,610,000","14,810,000","10,354,000","9,272,000","8,860,000","2,345,000","8,332,000","6,874,000","2,345,000","2,031,000","17,684,000","3,132,000","2,943,000","2,383,000","2,328,000","2,337,000","2,376,000","3,216,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,677,000","1,705,000","1,468,000",,"1,314,000","1,067,000",,"760,000",,"778,000","774,000","795,000","779,000","764,000","747,000","777,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,000","9,000","50,000",,,,,,,,,,,,,
OperatingIncome,"178,804,000","47,755,000","44,430,000","43,458,000","43,161,000","35,796,000","38,469,000","33,020,000","34,213,000","33,540,000","29,796,000","28,432,000","26,471,000","24,676,000","24,193,000","18,568,000","20,471,000","17,071,000","17,027,000","16,177,000","14,472,000","11,480,000","14,154,000","11,714,000","9,714,000","6,918,000","9,725,000","9,887,000","8,013,000","7,084,000","8,545,000","6,977,000","4,024,000","6,429,000","7,310,000","6,736,000","5,614,000","4,889,000","2,890,000","4,608,000","4,315,000","2,885,000","2,811,000","3,592,000","1,331,000","2,811,000","2,645,000","8,265,000","1,733,000","2,837,000","3,013,000","2,458,000","2,833,000","3,087,000","2,044,000"
NetNonOperatingInterestIncomeExpense,"-65,262,000","-17,225,000","-17,078,000","-15,716,000","-15,243,000","-15,326,000","-16,172,000","-15,763,000","-15,177,000","-14,785,000","-15,510,000","-14,041,000","-12,191,000","-12,818,000","-13,211,000","-12,695,000","-11,505,000","-11,386,000","-10,910,000","-10,444,000","-10,631,000","-10,472,000","-11,080,000","-10,501,000","-10,488,000","-10,844,000","-9,836,000","-9,315,000","-8,931,000","-8,007,000","-7,164,000","-6,459,000","-5,809,000","-5,662,000","-5,449,000","-5,367,000","-4,843,000","-4,647,000","-4,220,000","-3,569,000","-4,163,000","-4,168,000","-3,824,000","-4,427,000","-3,941,000","-3,824,000","-3,370,000","-4,294,000","-3,611,000","-3,402,000","-3,530,000","-3,899,000","-3,566,000","-3,452,000","-3,345,000"
	InterestIncomeNonOperating,"123,000","34,000","29,000","30,000","30,000","32,000","46,000","165,000","156,000","79,000","57,000","12,000","2,000","16,000","4,000","3,000",,,"2,000","2,000","3,000","5,000","2,000","3,000","2,000","3,000","2,000","2,000","2,000","3,000","4,000","3,000","4,000","4,000","4,000","3,000","3,000","3,000","2,000","9,000","4,000","4,000","1,000","6,000","9,000","1,000","1,000","12,000","2,000","1,000","1,000","13,000","47,000","5,000","1,000"
	InterestExpenseNonOperating,"65,385,000","17,259,000","17,107,000","15,746,000","15,273,000","15,358,000","16,218,000","15,928,000","15,333,000","14,864,000","15,567,000","14,053,000","12,193,000","12,834,000","13,215,000","12,698,000","11,505,000","11,386,000","10,912,000","10,446,000","10,634,000","10,477,000","11,082,000","10,504,000","10,490,000","10,847,000","9,838,000","9,317,000","8,933,000","8,010,000","7,168,000","6,462,000","5,813,000","5,666,000","5,453,000","5,370,000","4,846,000","4,650,000","4,222,000","3,578,000","4,167,000","4,172,000","3,825,000","4,433,000","3,950,000","3,825,000","3,371,000","4,306,000","3,613,000","3,403,000","3,531,000","3,912,000","3,613,000","3,457,000","3,346,000"
OtherIncomeExpense,"111,530,000","23,458,000","60,766,000","21,841,000","5,465,000","4,878,000","75,935,000","6,952,000","280,000","46,283,000","3,630,000","-3,201,000","-110,000","-4,469,000","36,274,000","3,003,000","5,998,000","19,464,000","2,807,000","16,106,000","-2,473,000","-939,000","31,586,000","-1,614,000","-9,698,000","15,727,000","-20,023,000","-5,252,000","-4,310,000","-504,000","-4,025,000","-267,000","-881,000","-746,000","-881,000","-1,075,000","-1,457,000","-660,000","1,893,000","-5,955,000","-1,821,000","-78,000","762,000","263,000","-3,378,000","762,000","586,000","1,015,000","-94,000","-346,000","-589,000","66,000","-2,586,000","307,000","493,000"
	GainOnSaleOfSecurity,"115,526,000","23,955,000","62,933,000","22,662,000","5,976,000","6,409,000","78,869,000","9,060,000","1,045,000","46,759,000","4,131,000","1,670,000","317,000","1,274,000","39,935,000","3,239,000","6,348,000","22,689,000","5,017,000","17,563,000","1,337,000","325,000","40,234,000","643,000","3,273,000","17,673,000","3,273,000","1,713,000",,,"646,000","2,104,000",,"50,000",,,,,,,,,"762,000",,,"762,000",,,,,,,,,
	SpecialIncomeCharges,"-1,473,000","0","-1,473,000","0","0","-679,000","-2,405,000","-1,672,000","-177,000","0","0","-4,413,000","0","-5,344,000","-3,248,000","-13,000",,"-2,934,000","-1,926,000","-1,399,000","-2,560,000","-1,070,000","-8,356,000","-1,978,000","-12,653,000","-1,686,000","-23,140,000","-6,739,000","-3,832,000","-318,000","-4,479,000","-2,190,000","-688,000","-559,000","-596,000","-986,000","-1,296,000","-575,000","2,017,000","-5,955,000","-1,821,000","-78,000","0","263,000","-3,378,000","0","586,000","1,015,000","-94,000","-346,000","-589,000","66,000","-2,586,000","307,000","493,000"
