name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997
MarketCap,"1,689,574,292","1,884,543,472","2,027,476,124","1,802,379,124","1,558,931,569","1,782,410,439","1,352,345,697","1,039,738,485","1,175,618,515","927,370,521","1,244,988,375","1,119,088,692","1,199,534,761","1,158,267,160","1,009,171,523","1,168,213,771","1,210,746,811","1,161,163,255","1,213,544,149","1,219,512,414","1,147,998,302","1,078,762,835","1,180,386,147","882,797,241","780,185,105","759,798,970","771,376,571","746,824,193","716,827,889","670,432,514","715,760,530","617,392,350","628,089,126","660,948,961","638,720,498","534,200,058","455,779,338","438,369,388","420,937,114","450,959,767","437,990,753","424,368,755","419,456,662","333,463,404","359,219,904","365,223,630","345,042,893","299,039,238","320,155,457","304,667,424","275,609,322","254,853,888","234,117,556","238,227,154","293,176,512","267,849,955","232,514,642","274,759,811","253,134,585","282,060,384","259,120,332","276,661,879","307,152,008","282,379,048","291,361,561","279,681,080","240,153,669","245,902,826","241,296,186","227,399,029","233,486,935","198,056,580","195,674,203","195,583,475","204,441,449","198,701,348","175,405,947","144,264,124","135,236,384","136,663,014","166,459,779","116,273,656","101,766,635","90,446,397","88,143,962","94,646,386","71,927,824","61,149,122","66,561,907","76,704,249","86,523,614","103,896,895","101,744,999","104,652,000","107,244,499","114,826,499","133,376,999","139,176,000","140,021,499","139,344,000"
PeRatio,"17.729","19.519","21.314","19.202","17.462","20.967","16.796","13.163","14.514","10.873","14.606","13.247","14.365","14.447","14.604","18.156","20.333","20.731","20.991","21.848","21.439","21.034","23.641","18.642","16.67","16.647","17.331","16.847","16.183","15.548","16.849","15.121","16.169","17.262","17.568","14.774","12.671","12.414","12.019","13.269","13.217","13.846","14.954","11.942","13.741","16.555","16.258","14.578","16.113","14.767","13.69","16.008","14.074","13.234","15.076","13.556","12.31","14.245","13.484","14.814","12.5","15.033","12.274","12.539","12.955","17.708","14.791","15.147","15.351","15.504","16.542","14.868","15.09","14.617","15.29","14.274","13.152","11.468","11.274","9.164","14.172","11.645","10.185","9.975","9.591","10.234","5.967","5.634","6.133","8.129","10.446","12.859","12.681","12.392","13.603","12.701","17.692","18.462","18.558","21.622"
ForwardPeRatio,"16.695","20.492","23.585","21.978","17.921","22.321","19.342","17.301","18.116","12.937","15.748","12.707","14.144","13.624",,"14.306","16","15.576","17.825","19.121","20.121","19.763","21.93","17.452","16.103","14.728","15.924","14.993",,"13.263","15.552","13.643","13.947","14.903","15.48","13.158","11.001","9.653","10.03","11.508","10.56","11.312","12.107",,"10.811","11.628","12.18","10.02","10.605",,,,,"11.793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,"1.362",,"1.43","1.601","1.557","1.783","1.911","2.012","1.978","2.193",,,,,,,"1.326","1.555","1.364","1.395","1.49","1.547","1.316","1.376","1.207","1.253","1.439","1.32","1.413","1.21",,"1.081","1.163","1.218","1.002","1.06",,,,,"1.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"8.155","8.9","9.675","8.756","7.707","8.937","7.168","5.586","6.352","4.992","6.648","6.025","6.496","6.403","5.835","6.896","7.327","7.249","7.832","8.13","7.919","7.667","8.645","6.656","6.017","5.935","6.129","5.955","5.724","5.397","5.824","5.133","5.362","5.79","5.783","4.92","4.224","4.055","3.926","3.96","3.825","3.709","3.63","2.899","3.1","3.164","3.006","2.574","2.659","2.563","2.174","2.683","2.552","2.694","3.427","3.261","2.985","3.669","3.503","3.988","2.791","3.98","1.128","2.074","2.142","5.195","3.796","3.887","3.903","3.814","4.031","3.464","3.445","3.373","3.496","3.424","3.051","2.575","2.468","0.665","2.394","2.311","2.022","1.966","1.938","2.096","1.614","0.681","0.741","1.71","1.962","2.394","2.44","2.603","2.772","3.112","4.159","4.34","4.363","23.548"
PbRatio,"2.774","2.625","2.968","2.661","2.392","2.663","2.124","1.675","1.938","1.551","2.131","1.98","2.194","2.206","2.025","2.401","2.559","2.479","2.624","2.707","2.626","2.527","2.764","2.108","1.918","1.934","1.995","1.988","1.933","1.856","2.034","1.797","1.892","2.053","2.031","1.737","1.479","1.464","1.414","1.561","1.553","1.547","1.554","1.241","1.385","1.455","1.397","1.218","1.345","1.311","1.22","1.539","1.48","1.535","1.956","1.747","1.54","1.819","1.731","2.065","1.92","2.125","2.419","2.346","2.421","2.384","2.174","2.226","2.225","2.202","2.294","2.006","2.106","2.076","2.271","2.238","2.004","1.676","1.612","1.665","2.201","1.581","1.384","1.3","1.291","1.457","1.201","1.078","1.174","1.388","1.597","1.92","1.877","1.889","1.943","2.208","2.626","2.812","2.899","2.958"
