name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"707,100,000","227,200,000","159,200,000","166,600,000","154,100,000","158,800,000","162,300,000","167,700,000","162,200,000","166,800,000","163,400,000","166,300,000","164,700,000","150,500,000","153,200,000","146,200,000","141,400,000","135,000,000","138,028,000","139,065,000","116,503,000","98,000,000","115,983,000","102,452,000","100,892,000","95,193,000","99,315,000","96,812,000","97,058,000","92,107,000","96,877,000","94,445,000","86,298,000","82,242,000","85,648,000","86,563,000","88,339,000","88,096,000","91,608,000","91,187,000","88,836,000","87,016,000","90,032,000","86,617,000","84,118,000","81,957,000","88,361,000","88,599,000","84,213,000","81,177,000","85,794,000","86,299,000","85,808,000","85,006,000","84,783,000","85,083,000","83,596,000","83,172,000","74,493,000","76,233,000","71,484,000","69,841,000","69,272,000","69,180,000","66,023,000","64,735,000","63,525,000","62,079,000","58,712,000","56,282,000","56,967,000","57,276,000","54,322,000","53,110,000","53,346,000","52,757,000","54,111,000","50,582,000"
	OperatingRevenue,"707,100,000","227,200,000","159,200,000","166,600,000","154,100,000","158,800,000","162,300,000","167,700,000","162,200,000","166,800,000","163,400,000","166,300,000","164,700,000","150,500,000","153,200,000","146,200,000","141,400,000","135,000,000","138,028,000","139,065,000","116,503,000","98,000,000","115,983,000","102,452,000","100,892,000","95,193,000","99,315,000","96,812,000","97,058,000","92,107,000","96,877,000","94,445,000","86,298,000","82,242,000","85,648,000","86,563,000","88,339,000","88,096,000","91,608,000","91,187,000","88,836,000","87,016,000","90,032,000","86,617,000","84,118,000","81,957,000","88,361,000","88,599,000","84,213,000","81,177,000","85,794,000","86,299,000","85,808,000","85,006,000","84,783,000","85,083,000","83,596,000","83,172,000","74,493,000","76,233,000","71,484,000","69,841,000","69,272,000","69,180,000","66,023,000","64,735,000","63,525,000","62,079,000","58,712,000","56,282,000","56,967,000","57,276,000","54,322,000","53,110,000","53,346,000","52,757,000","54,111,000","50,582,000"
PretaxIncome,"141,000,000","-41,300,000","66,500,000","60,700,000","55,100,000","65,500,000","61,700,000","63,000,000","47,100,000","37,500,000","68,900,000","64,400,000","48,800,000","53,000,000","52,200,000","53,500,000","53,600,000","47,000,000","49,430,000","40,966,000","33,749,000","32,577,000","37,755,000","37,976,000","39,197,000","30,331,000","35,085,000","30,212,000","33,740,000","31,420,000","35,106,000","29,226,000","32,379,000","32,904,000","31,863,000","36,984,000","32,944,000","30,911,000","25,776,000","24,623,000","19,537,000","18,326,000","20,060,000","17,576,000","14,526,000","13,999,000","16,038,000","12,589,000","9,287,000","16,532,000","17,142,000","18,423,000","20,020,000","25,231,000","27,551,000","24,258,000","28,614,000","27,654,000","23,438,000","29,777,000","27,023,000","25,196,000","41,741,000","25,851,000","24,728,000","24,788,000","22,498,000","23,562,000","19,704,000","18,261,000","17,865,000","17,028,000","19,479,000","14,978,000","14,817,000","18,565,000","16,057,000","13,580,000"
TaxProvision,"33,700,000","-7,900,000","15,400,000","13,600,000","12,600,000","14,100,000","14,800,000","14,700,000","10,400,000","8,200,000","16,500,000","15,300,000","10,900,000","11,400,000","11,800,000","12,100,000","11,900,000","10,300,000","15,162,000","13,707,000","11,881,000","9,451,000","12,990,000","12,783,000","13,643,000","10,207,000","11,654,000","10,050,000","11,518,000","10,440,000","12,330,000","10,071,000","11,302,000","11,511,000","11,088,000","13,172,000","11,439,000","10,867,000","8,931,000","8,468,000","6,527,000","6,112,000","6,795,000","5,655,000","4,672,000","4,493,000","5,200,000","3,860,000","2,628,000","5,402,000","5,621,000","6,105,000","6,684,000","8,543,000","9,501,000","8,362,000","9,988,000","9,578,000","8,167,000","10,528,000","9,398,000","8,700,000","15,149,000","9,105,000","8,591,000","8,654,000","7,896,000","8,288,000","6,824,000","6,302,000","5,820,000","5,942,000","6,907,000","5,260,000","4,967,000","6,735,000","5,822,000","4,743,000"
NetIncomeCommonStockholders,"107,300,000","-33,400,000","51,100,000","47,100,000","42,500,000","51,400,000","46,900,000","48,300,000","36,700,000","29,300,000","52,400,000","49,100,000","37,900,000","41,600,000","40,400,000","41,400,000","41,700,000","36,700,000","34,268,000","27,259,000","21,868,000","23,126,000","24,765,000","25,193,000","25,554,000","20,124,000","23,431,000","20,162,000","22,222,000","20,980,000","22,776,000","19,155,000","21,077,000","21,393,000","20,775,000","23,812,000","21,505,000","20,044,000","16,114,000","15,292,000","12,157,000","11,361,000","12,402,000","11,059,000","9,001,000","8,662,000","9,975,000","7,867,000","5,806,000","10,286,000","10,658,000","11,456,000","12,483,000","15,844,000","17,187,000","15,033,000","17,773,000","17,307,000","15,271,000","19,249,000","17,625,000","16,496,000","26,592,000","16,746,000","16,137,000","16,134,000","14,602,000","15,274,000","12,880,000","11,959,000","12,045,000","11,086,000","12,572,000","9,718,000","9,850,000","11,830,000","10,235,000","8,837,000"
	NetIncome,"107,300,000","-33,400,000","51,100,000","47,100,000","42,500,000","51,400,000","46,900,000","48,300,000","36,700,000","29,300,000","52,400,000","49,100,000","37,900,000","41,600,000","40,400,000","41,400,000","41,700,000","36,700,000","34,268,000","27,259,000","21,868,000","23,126,000","24,765,000","25,193,000","25,554,000","20,124,000","23,431,000","20,162,000","22,222,000","20,980,000","22,776,000","19,155,000","21,077,000","21,393,000","20,775,000","23,812,000","21,505,000","20,044,000","16,845,000","16,155,000","13,010,000","12,214,000","13,265,000","11,921,000","9,854,000","9,506,000","10,838,000","8,729,000","6,659,000","11,130,000","11,521,000","12,318,000","13,336,000","16,688,000","18,050,000","15,896,000","18,626,000","18,076,000","15,271,000","19,249,000","17,625,000","16,496,000","26,592,000","16,746,000","16,137,000","16,134,000","14,602,000","15,274,000","12,880,000","11,959,000","12,045,000","11,086,000","12,572,000","9,718,000","9,850,000","11,830,000","10,235,000","8,837,000"
		NetIncomeIncludingNoncontrollingInterests,"107,300,000","-33,400,000","51,100,000","47,100,000","42,500,000","51,400,000","46,900,000","48,300,000","36,700,000","29,300,000","52,400,000","49,100,000","37,900,000","41,600,000","40,400,000","41,400,000","41,700,000","36,700,000","34,268,000","27,259,000","21,868,000","23,126,000","24,765,000","25,193,000","25,554,000","20,124,000","23,431,000","20,162,000","22,222,000","20,980,000","22,776,000","19,155,000","21,077,000","21,393,000","20,775,000","23,812,000","21,505,000","20,044,000","16,845,000","16,155,000","13,010,000","12,214,000","13,265,000","11,921,000","9,854,000","9,506,000","10,838,000","8,729,000","6,659,000","11,130,000","11,521,000","12,318,000","13,336,000","16,688,000","18,050,000","15,896,000","18,626,000","18,076,000","15,271,000","19,249,000","17,625,000","16,496,000","26,592,000","16,746,000","16,137,000","16,134,000","14,602,000","15,274,000","12,880,000","11,959,000","12,045,000","11,086,000","12,572,000","9,718,000","9,850,000","11,830,000","10,235,000","8,837,000"
			NetIncomeContinuousOperations,"107,300,000","-33,400,000","51,100,000","47,100,000","42,500,000","51,400,000","46,900,000","48,300,000","36,700,000","29,300,000","52,400,000","49,100,000","37,900,000","41,600,000","40,400,000","41,400,000","41,700,000","36,700,000","34,268,000","27,259,000","21,868,000","23,126,000","24,765,000","25,193,000","25,554,000","20,124,000","23,431,000","20,162,000","22,222,000","20,980,000","22,776,000","19,155,000","21,077,000","21,393,000","20,775,000","23,812,000","21,505,000","20,044,000","16,845,000","16,155,000","13,010,000","12,214,000","13,265,000","11,921,000","9,854,000","9,506,000","10,838,000","8,729,000","6,659,000","11,130,000","11,521,000","12,318,000","13,336,000","16,688,000","18,050,000","15,896,000","18,626,000","18,076,000","15,271,000","19,249,000","17,625,000","16,496,000","26,592,000","16,746,000","16,137,000","16,134,000","14,602,000","15,274,000","12,880,000","11,959,000","12,045,000","11,086,000","12,572,000","9,718,000","9,850,000","11,830,000","10,235,000","8,837,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"731,000","863,000","853,000","853,000","863,000","862,000","853,000","844,000","863,000","862,000","853,000","844,000","863,000","862,000","853,000","844,000","863,000","863,000","853,000","769,000",,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"107,300,000","-33,400,000","51,100,000","47,100,000","42,500,000","51,400,000","46,900,000","48,300,000","36,700,000","29,300,000","52,400,000","49,100,000","37,900,000","41,600,000","40,400,000","41,400,000","41,700,000","36,700,000","34,268,000","27,259,000","21,868,000","23,126,000","24,765,000","25,193,000","25,554,000","20,124,000","23,431,000","20,162,000","22,222,000","20,980,000","22,776,000","19,155,000","21,077,000","21,393,000","20,775,000","23,812,000","21,505,000","20,044,000","16,114,000","15,292,000","12,157,000","11,361,000","12,402,000","11,059,000","9,001,000","8,662,000","9,975,000","7,867,000","5,806,000","10,286,000","10,658,000","11,456,000","12,483,000","15,844,000","17,187,000","15,033,000","17,773,000","17,307,000","15,271,000","19,249,000","17,625,000","16,496,000","26,592,000","16,746,000","16,137,000","16,134,000","14,602,000","15,274,000","12,880,000","11,959,000","12,045,000","11,086,000","12,572,000","9,718,000","9,850,000","11,830,000","10,235,000","8,837,000"
