name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
OperatingCashFlow,"-540,099,000","-49,677,000","-356,661,000","-50,518,000","-83,243,000","-24,951,000","-25,807,000","-67,982,000","-21,658,000","61,363,000","-35,728,000","-10,626,000","37,082,000","-24,562,000","-5,691,000","30,318,000","9,464,000","-143,157,000","123,882,000","-66,642,000","-40,104,000","55,766,000","-52,178,000","44,808,000","-31,574,000","-3,786,000","72,101,000","-104,240,000","-6,634,000","-92,619,000","-34,144,000","-20,316,000","-119,724,000","-16,734,000","-67,774,000","-17,737,000","-130,895,000","-24,300,000","20,016,000","12,208,000","14,729,000","1,916,000","14,150,646","7,600,480","11,279,557","4,125,335","7,884,722","2,056,121","6,562,388","101,079","3,492,468","1,529,042","2,753,434","269,663","3,817,169","2,373,392","3,240,170","1,481,960","2,349,154","406,504","2,273,608","375,651","1,823,560"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,208,000","14,729,000","1,916,000","14,150,646","7,600,480","11,279,557","4,125,335","7,884,722","2,056,121","6,562,388","101,079","3,492,468","1,529,042","2,753,434","269,663","3,817,169","2,373,392","3,240,170","1,481,960","2,349,154","406,504","2,273,608","375,651","1,823,560"
		NetIncomeFromContinuingOperations,"338,619,000","65,203,000","94,349,000","83,962,000","95,105,000","57,346,000","79,257,000","78,194,000","43,370,000","-171,438,000","16,014,000","33,900,000","38,254,000","41,401,000","9,505,000","68,739,000","55,452,000","34,517,000","61,442,000","34,897,000","42,833,000","31,450,000","47,992,000","43,183,000","30,912,000","16,812,000","7,542,000","20,668,000","40,803,000","35,424,000","21,994,000","21,569,000","29,951,000","27,234,000","21,167,000","28,055,000","24,004,000","23,629,000","24,486,000","31,966,000","24,153,000","23,839,000","21,563,995","14,436,074",,,"10,136,098","11,496,147","9,168,225","9,169,881","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,096","3,202,636",,,"1,330,897","1,779,474",
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,003,000","1,800,000","-8,138,000","-919,595","-1,469,210",,,"-57,918","1,532,356","-2,655,232","4,060,457","9,276,382","-158,340","-426,270","-894,224","3,633,123","-4,320,213","-99,154","-611,250",,,"150,000","-746,891",
			GainLossOnInvestmentSecurities,"-895,647,000","-95,600,000","-466,284,000","-158,642,000","-175,121,000","-91,935,000","-93,489,000","-159,230,000","-55,268,000","237,304,000","-48,415,000","-42,971,000","-7,277,000","-63,327,000","-14,601,000","-46,590,000","-46,697,000","-171,427,000","42,174,000","-105,226,000","-85,022,000","27,807,000","-100,894,000","2,911,000","-67,045,000","-10,173,000","66,115,000","-120,563,000","-45,547,000","-119,733,000","-56,073,000","-44,351,000","-152,285,000","-32,861,000","-84,488,000","-42,337,000","-159,652,000","-41,070,000","-50,919,000","-526,000","3,329,000","-8,138,000","-29,398,124","-1,469,210",,,"-19,697,332","1,532,356",,,"1,034,275","-158,340","-426,270","-894,224","7,594,215","-4,320,213","-99,154","-611,250",,,"150,000","-746,891",
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,130,653",,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,130,653",,,,,,,,,,,,,,,,,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,130,653",,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,028,000","573,000","1,049,000","2,733,110","89,492","1,761,904","1,150,407","45,373","629,792","-302,177","301,992","-1,530,292","-808,103","415,956","327,720",,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,028,000","573,000","1,049,000","2,733,110","89,492","1,761,904","1,150,407","45,373","629,792","-302,177","301,992","-1,530,292","-808,103","415,956","327,720",,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335,000","4,954,000","-4,487,000","181,674","174,154","160,758","145,645","150,539","123,605","98,180","97,688","89,610","122,881","101,531","100,523","196,864","90,640","90,640","47,940",,,"47,939","42,288",
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,728,000",,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"699,000","580,000","581,000","580,623","580,622","442,897","442,897","439,451","446,342","301,458","301,458","301,179","375,766","195,726","195,726","195,726",,,,,,,,
		OtherNonCashItems,"23,081,000","3,521,000","4,389,000","8,794,000","6,377,000","-1,736,000","-1,244,000","-677,000","-8,206,000","-8,644,000","-2,826,000","-5,601,000","876,000","1,959,000","1,599,000","851,000","1,301,000","-2,496,000","7,251,000","2,636,000","-706,000","1,003,000","-1,672,000","-3,405,000","-437,000","-3,624,000","-4,381,000","-3,483,000","-6,313,000","-1,223,000","-4,694,000","575,000","207,000","-2,035,000","-8,585,000","-906,000","-2,647,000","-1,646,000","45,159,000","-23,472,000","-26,223,000","-695,000","21,774,295","-5,091,243","-26,545,581","7,819,476","16,182,300","-10,094,496","-2,531,492","-11,192,616","912,636","-3,928,738","-2,171,726","3,139,929","-7,927,332","3,795,242","502,266","-858,950","-1,765,429","4,502,114","-642,909","-140,873","-4,438,947"
		ChangeInWorkingCapital,"-6,152,000","-22,801,000","10,885,000","15,368,000","-9,604,000","11,374,000","-10,331,000","13,731,000","-1,554,000","4,141,000","-501,000","4,046,000","5,229,000","-4,595,000","-2,194,000","7,318,000","-592,000","-3,751,000","13,015,000","1,051,000","2,791,000","-4,494,000","2,396,000","2,119,000","4,996,000","-6,801,000","2,825,000","-862,000","4,423,000","-7,087,000","4,629,000","1,891,000","2,403,000","-9,072,000","4,132,000","-2,549,000","7,400,000","-5,213,000","9,602,000","-2,351,000","4,164,000","-5,505,000","5,159,256","-1,119,409","3,472,219","-1,302,437","3,261,994","-2,077,625","2,483,426","-2,637,781","925,535","-1,111,566","899,080","-2,132,213","4,125,728","-181,706","-1,741,678","-298,416","855,423","-1,491,903","1,387,681","-558,347","1,357,947"
			ChangeInReceivables,"-21,331,000","-11,731,000","-4,835,000","4,378,000","-9,143,000","4,096,000","-8,062,000","5,035,000","1,712,000","5,914,000","2,393,000","-2,281,000","-314,000","-6,478,000","-1,106,000","2,390,000","-93,000","-3,467,000","4,928,000","-3,268,000","2,595,000","-2,175,000","-1,879,000","1,140,000","565,000","-2,390,000","273,000","-2,401,000","-346,000","-746,000","-2,206,000","642,000","-2,565,000","-2,557,000","-922,000","-1,904,000","247,000","2,666,000","3,841,000","-814,000","-100,000","-246,000","-1,216,010","127,261","-194,121","-1,206,211","-1,017,548","260,638",,,,,,,,,,"146,698","-338,406",,,"58,709","-75,392"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,342,000","3,861,000","-5,479,000","5,515,016","-1,747,170","3,453,100","-620,226","2,211,363","-2,338,263","2,852,510","-1,802,260","1,122,643","-1,312,225","834,513","-1,619,571","1,437,795","-304,730","783,318","-1,042,764","1,195,869","-1,224,043","1,298,781","-668,366","721,252"
				ChangeInPayable,"9,003,000","-11,448,000","12,336,000","9,767,000","-1,652,000","6,106,000","-2,841,000","8,191,000","-3,859,000","-2,971,000","-3,571,000","6,058,000","4,901,000","1,299,000","-1,764,000","4,121,000","-1,269,000","-1,676,000","7,667,000","3,493,000","-431,000","-2,916,000","3,330,000","697,000","3,701,000","-5,043,000","2,221,000","1,125,000","4,372,000","-6,968,000","5,864,000","378,000","4,515,000","-6,648,000","4,100,000","-1,703,000","6,273,000","-8,499,000","1,927,000","345,000","1,303,000","-2,821,000","3,241,077","1,048,971","598,575","1,712,097","482,272","-375,275","842,492","-26,139","304,180","-491,887","41,343","-828,276","674,769","458,296","32,718","-292,164",,,"506,132","-37,475",
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-237,000","63,000","490,000","726,184","181,387","-470,145","558,524","395,303","-868,632","842,492","-26,139","343,225","-491,887","41,343","-828,276","629,248","458,296","32,718","-292,164",,,"81,218","-37,475",
