name,ttm,04/30/2022,01/31/2022
MarketCap,"3,675,999,363","3,747,016,626","4,650,260,859"
EnterpriseValue,"3,203,287,363","3,232,923,626","4,573,378,859"
PsRatio,"13.704","5.892","21.444"
PbRatio,"7.584","7.516",
EnterprisesValueRevenueRatio,"11.968","41.718","64.931"
EnterprisesValueEBITDARatio,"-31.579","-83.573","-110.149"
