name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
TotalRevenue,"2,144,382,000","565,350,000","554,235,000","521,658,000","503,139,000","453,675,000","383,321,000","288,812,000","241,030,000","180,799,000","156,489,000","137,969,000","130,276,000","128,573,000","122,741,000","110,962,000","94,560,000","89,644,000","77,140,000","68,650,000","44,591,000","42,898,000","37,400,000","32,381,000","26,488,000","26,888,000","22,639,000","19,973,000","18,283,000","16,488,000","12,927,000","10,905,000","10,289,000","9,407,000"
	OperatingRevenue,"2,144,382,000","565,350,000","554,235,000","521,658,000","503,139,000","453,675,000","383,321,000","288,812,000","241,030,000","180,799,000","156,489,000","137,969,000","130,276,000","128,573,000","122,741,000","110,962,000","94,560,000","89,644,000","77,140,000","68,650,000","44,591,000","42,898,000","37,400,000","32,381,000","26,488,000","26,888,000","22,639,000","19,973,000","18,283,000","16,488,000","12,927,000","10,905,000","10,289,000","9,407,000"
CostOfRevenue,"691,324,000","187,025,000","174,985,000","169,041,000","160,273,000","145,959,000","122,942,000","104,725,000","90,780,000","72,382,000","55,355,000","42,799,000","41,634,000","44,677,000","40,028,000","34,167,000","27,684,000","26,856,000","22,716,000","16,742,000","10,026,000","12,139,000","10,025,000","7,112,000","6,891,000","7,943,000","6,478,000","4,488,000","4,793,000","5,281,000","3,769,000","2,151,000","2,027,000","1,982,000"
GrossProfit,"1,453,058,000","378,325,000","379,250,000","352,617,000","342,866,000","307,716,000","260,379,000","184,087,000","150,250,000","108,417,000","101,134,000","95,170,000","88,642,000","83,896,000","82,713,000","76,795,000","66,876,000","62,788,000","54,424,000","51,908,000","34,565,000","30,759,000","27,375,000","25,269,000","19,597,000","18,945,000","16,161,000","15,485,000","13,490,000","11,207,000","9,158,000","8,754,000","8,262,000","7,425,000"
OperatingExpense,"1,678,563,000","443,197,000","416,120,000","408,853,000","410,393,000","386,071,000","661,335,000","178,417,000","155,802,000","125,764,000","114,245,000","113,119,000","109,529,000","105,771,000","99,116,000","92,415,000","83,293,000","80,311,000","76,426,000","64,923,000","46,944,000","45,561,000","40,605,000","39,330,000","34,059,000","33,660,000","30,507,000","28,080,000","29,741,000","23,800,000","15,405,000","12,611,000","11,120,000","9,613,000"
	SellingGeneralAndAdministration,"1,142,762,000","296,852,000","290,921,000","276,696,000","278,293,000","259,404,000","531,678,000","135,527,000","122,880,000","96,797,000","88,112,000","87,756,000","83,016,000","79,695,000","75,548,000","68,539,000","60,368,000","58,590,000","57,962,000","47,764,000","35,752,000","35,435,000","31,393,000","30,039,000","26,900,000","26,927,000","24,801,000","22,648,000","25,615,000","19,991,000","12,346,000","10,001,000","8,502,000","8,007,000"
		GeneralAndAdministrativeExpense,"437,758,000","104,923,000","118,603,000","103,016,000","111,216,000","105,172,000","343,985,000","59,742,000","56,615,000","46,342,000","46,005,000","40,315,000","40,568,000","37,079,000","37,484,000","30,568,000","26,248,000","24,482,000","28,242,000","22,043,000","16,150,000","14,831,000","14,122,000","13,331,000","13,236,000","13,607,000","14,135,000","12,253,000","16,488,000","11,968,000","7,492,000","4,754,000","4,033,000","3,344,000"
			OtherGandA,"437,758,000","104,923,000","118,603,000","103,016,000","111,216,000","105,172,000","343,985,000","59,742,000","56,615,000","46,342,000","46,005,000","40,315,000","40,568,000","37,079,000","37,484,000","30,568,000","26,248,000","24,482,000","28,242,000","22,043,000","16,150,000","14,831,000","14,122,000","13,331,000","13,236,000","13,607,000","14,135,000","12,253,000","16,488,000","11,968,000","7,492,000","4,754,000","4,033,000","3,344,000"
		SellingAndMarketingExpense,"705,004,000","191,929,000","172,318,000","173,680,000","167,077,000","154,232,000","187,693,000","75,785,000","66,265,000","50,455,000","42,107,000","47,441,000","42,448,000","42,616,000","38,064,000","37,971,000","34,120,000","34,108,000","29,720,000","25,721,000","19,602,000","20,604,000","17,271,000","16,708,000","13,664,000","13,320,000","10,666,000","10,395,000","9,127,000","8,023,000","4,854,000","5,247,000","4,469,000","4,663,000"
	ResearchAndDevelopment,"321,288,000","87,412,000","72,867,000","80,250,000","80,759,000","78,008,000","92,697,000","29,958,000","23,029,000","19,257,000","16,246,000","15,746,000","16,665,000","15,987,000","13,544,000","13,577,000","14,348,000","12,904,000","10,446,000","9,964,000","7,537,000","6,512,000","5,894,000","5,867,000","4,829,000","5,225,000","4,160,000","3,941,000","3,203,000","2,906,000","2,357,000","1,960,000","2,064,000","1,192,000"
