name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
OperatingCashFlow,"14,008,000","1,754,000","7,538,000","3,689,000","1,027,000","-5,305,000","-1,696,000","-769,000","2,651,000","632,000","2,098,000","1,841,000","600,000","1,764,000","2,641,000","3,127,000","2,647,000","993,000","3,522,000","2,848,000","1,867,000","23,000","586,000","414,000","103,000","666,000","259,000","276,000","-357,000","163,000","-78,000","308,000","734,000","-3,000","294,000","264,000","53,000","-993,000","321,000","-158,000","-272,000","-770,000","413,000","216,000","-345,000","-646,000","160,000","726,228","-900,246","-650,982","1,886,400","1,173,367","-370,798","959,055","-780,399","-365,658","509,887","-78,990","309,261","252,222","262,342","-76,962","-277,063","55,123","-108,262","-153,258","-270,729","20,084","2,859","30,728","-264,742","-412,749","-236,218","-147,278","0","0","-9,453","0","0","-947,563","-979","-31,841","0","0","0","25,752","-377,803","-593,128","0","0","0","0","0","0","0","-513","513"
	CashFlowFromContinuingOperatingActivities,"14,008,000","1,754,000","7,538,000","3,689,000","1,027,000","-5,305,000","-1,696,000","-769,000","2,651,000","632,000",,,,,,,,,"3,522,000","2,848,000","1,867,000","23,000","586,000","414,000","103,000","666,000","259,000","276,000","-357,000","163,000","-78,000","308,000","734,000","-3,000","294,000","264,000","53,000","-993,000","321,000","-158,000","-272,000","-770,000","413,000","216,000","-345,000","-646,000","160,000","726,228","-900,246","-650,982","1,886,400","1,173,367","-370,798","959,055","-780,399","-365,658","509,887","-78,990","309,261","252,222","262,342","-76,962","-277,063","55,123","-108,262","-153,258","-270,729","20,084","2,859","30,728","-264,742","-412,749","-236,218","-147,278","0","0","-9,453","0","0","-947,563","-979","-31,841","0","0","0","25,752","-377,803","-593,128","0","0","0","0","0","0","0","-513","513"
		NetIncomeFromContinuingOperations,"19,186,000","1,377,000","8,894,000","6,107,000","2,808,000","-706,000","1,787,000","1,333,000","3,017,000","2,937,000",,,,,,,,,,,,,,,,,,,,,"503,000","269,000","-5,559,000","-1,444,000","-4,554,000","-749,000","-1,727,000","-310,000",,,,,"599,000",,,"-110,000","20,000","367,052","29,536","-66,588","264,258","458,640","708,622","950,792","-3,140,088","205,837","1,852,212","1,192,991","933,656","614,465","351,548","231,681","-227,619","-29,836","1,910","-64,825","-152,950","129,410","75,416","56,080","-322,914","-284,218","-181,754","-186,992","-11,676","-31,067","-28,348","-36,306","-49,897","-39,938","732","-52,166","-16,590","-19,801","-56,805","-652,425","-418,450","-555,055","0","0","-25,280","-30","-92","-91","-14,458","-1,080","-1,211"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","99,000","-93,000",,,,,,"0","0","0","0","233","1","17,766","0","25,070","-66,402","-130,198","-4,997","5,226",,,,,,,,,,,"493,310","21,228",,,"-2,974","42,937","-10,699","82,147",,,,,"20,000",,"38",,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","233","45,606","-27,839","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,528,000","729,000","597,000","595,000","607,000","487,000","530,000","505,000","285,000","252,000",,,,,,,,,,,,,,,,,,,,,"191,000","160,000","153,000","156,000","192,000","200,000","219,000","228,000","232,000","230,000","237,000","213,000","212,000","205,000","196,000","193,000","183,000","189,813","189,622","211,565","178,684","183,025","161,574","154,124","167,983","103,328","88,012","77,168","53,515","61,180","228,789","26,770","160,759","38,196","17,047","29,026","15,938","32,059","774","16,027","12,085","9,839","14,244","8,614",,,,,,,"27",,"3,405","3,405","3,405","5,953","2,556",,"0","0","0","30","92","91","92","91","92"
			DepreciationAndAmortization,"2,528,000","729,000","597,000","595,000","607,000","487,000","530,000","505,000","285,000","252,000",,,,,,,,,,,,,,,,,,,,,"191,000","160,000","153,000","156,000","192,000","200,000","219,000","228,000","232,000","230,000","237,000","213,000","212,000","205,000","196,000","193,000","183,000","189,813","189,622","211,565","178,684","183,025","161,574","154,124","167,983","103,328","88,012","77,168","53,515","61,180","228,789","26,770","160,759","38,196","17,047","29,026","15,938","32,059","774","16,027","12,085","9,839","14,244","8,614",,,,,,,"27",,"3,405","3,405","3,405","5,953","2,556",,"0","0","0","30","92","91","92","91","92"
				Depreciation,"2,274,000","500,000","572,000","595,000","607,000","487,000","530,000","505,000","285,000","252,000",,,,,,,,,,,,,,,,,,,,,"180,000","149,000","149,000","135,000","100,000","191,000","204,000","213,000","217,000","215,000","219,000","213,000","212,000","205,000","196,000","193,000","183,000","189,813","200,478","200,709","178,684","183,025","161,574","154,124","161,469","103,328","88,012","71,643","45,815","45,130","32,659","29,838","27,296","36,354","15,206","15,153",,,,,,,,,,,,,,,,,"3,405","3,405","3,405","5,953","2,556",,,,,,,,,,
				AmortizationCashFlow,"254,000","229,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000","11,000","4,000","21,000","92,000","9,000","15,000","15,000","15,000","15,000",,,,,,,,,,"10,856",,,,,"6,514","0","0","5,525","7,700","16,050","196,130","-3,068","133,463","1,842","1,841","13,873",,,,,,,,,,,,,,,,,,,,,,,"0","0","0","30","92","91","92","91","92"
					AmortizationOfIntangibles,"254,000","229,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000","11,000","4,000","21,000","92,000","9,000","15,000","15,000","15,000","15,000",,,,,,,,,,"10,856",,,,,"6,514","0","0","5,525","7,700","16,050","196,130","-3,068","133,463","1,842","1,841","13,873",,,,,,,,,,,,,,,,,,,,,,,"0","0","0","30","92","91","92","91","92"
