name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998
TotalRevenue,"2,643,455,000","727,003,000","684,956,000","643,398,000","588,098,000","557,394,000","477,880,000","437,789,000","346,883,000","448,976,000","527,979,000","504,177,000","496,198,000","502,535,000","486,172,000","506,793,000","478,362,000","488,364,000","460,770,000","455,468,000","414,917,000","419,587,000","394,195,000","414,954,000","392,933,000","417,161,000","358,879,000","291,339,000","279,335,000","282,153,000","258,871,000","264,717,000","260,325,000","260,798,000","250,937,000","246,237,000","237,587,000","238,607,000","210,272,000","204,799,000","196,023,000","207,558,000","194,623,000","209,988,000","214,590,000","205,776,000","194,109,000","193,204,000","183,162,000","176,905,000","152,900,000","146,556,000","123,288,000","114,426,000","144,493,000","199,737,000","217,472,000","220,450,000","212,091,000","206,824,000","196,277,000","189,760,000","173,508,000","164,787,000","161,146,000","152,924,000","136,817,000","132,932,000","129,095,000","131,031,000","123,622,000","113,541,000","108,183,000","103,720,000","86,685,000","81,965,000","78,333,000","82,357,000","80,663,000","85,658,000","89,788,000","77,231,000","93,268,000","108,949,000","114,443,000","149,362,000","157,171,000","173,621,000","173,623,000","157,543,000","122,100,000","116,300,000","104,800,000","100,100,000","91,100,000","90,900,000","90,900,000"
	OperatingRevenue,"2,626,718,000","721,139,000","680,741,000","639,443,000","585,395,000","555,151,000","475,360,000","435,439,000","344,097,000","440,469,000","515,325,000","492,389,000","484,549,000","490,756,000","474,504,000","495,205,000","465,568,000","475,364,000","447,581,000","443,018,000","401,254,000","406,065,000","381,918,000","401,917,000","375,621,000","399,960,000","344,158,000","280,600,000","267,394,000","271,717,000","249,545,000","255,702,000","251,188,000","251,712,000","242,184,000","237,968,000","228,437,000","227,902,000","202,004,000","204,799,000","196,023,000","207,558,000","194,623,000","209,988,000","214,590,000","205,776,000","194,109,000","193,204,000","183,162,000","176,905,000","152,900,000","146,556,000","123,288,000","114,426,000","144,493,000","199,737,000","217,472,000","220,450,000","212,091,000","206,824,000","196,277,000","189,760,000","173,508,000","164,787,000","161,146,000","152,924,000","136,817,000","132,932,000","129,095,000","131,031,000","123,622,000","113,541,000","108,183,000","120,104,000","81,362,000","76,650,000","78,333,000","82,357,000","80,663,000","85,658,000","89,788,000","77,231,000","93,268,000","108,949,000","114,443,000","149,362,000","157,171,000","173,621,000","173,623,000","157,543,000","122,100,000","116,300,000","104,800,000","100,100,000","91,100,000","90,900,000","90,900,000"
CostOfRevenue,"131,136,000","42,275,000","35,881,000","28,284,000","24,696,000","24,075,000","22,548,000","18,251,000","17,055,000","28,022,000","43,476,000","30,202,000","28,784,000","32,246,000","28,734,000","31,215,000","31,121,000","33,495,000","30,656,000","32,333,000","29,476,000","32,753,000","28,822,000","31,911,000","34,144,000","38,175,000","32,215,000","21,975,000","22,061,000","22,304,000","17,979,000","18,721,000","18,602,000","19,299,000","17,809,000","19,401,000","18,659,000","19,834,000","16,334,000","15,886,000","13,793,000","14,295,000","13,023,000","15,436,000","13,135,000","13,674,000","12,756,000","13,237,000","120,208,000","118,225,000","102,654,000","102,076,000","90,385,000","76,783,000","93,978,000","143,045,000","156,856,000","105,408,000","152,844,000","144,691,000","122,986,000","97,800,000","122,737,000",,,,,,,,,,,,,,,,,,,,,,,"392,605,000","-6,921,000","-6,867,000","-5,868,000","294,375,000","-3,800,000","-2,600,000","-2,400,000","2,600,000","3,600,000",,
GrossProfit,"2,512,319,000","684,728,000","649,075,000","615,114,000","563,402,000","533,319,000","455,332,000","419,538,000","329,828,000","420,954,000","484,503,000","473,975,000","467,414,000","470,289,000","457,438,000","475,578,000","447,241,000","454,869,000","430,114,000","423,135,000","385,441,000","386,834,000","365,373,000","383,043,000","358,789,000","378,986,000","326,664,000","269,364,000","257,274,000","259,849,000","240,892,000","245,996,000","241,723,000","241,499,000","233,128,000","226,836,000","218,928,000","218,773,000","193,938,000","188,913,000","182,230,000","193,263,000","181,600,000","194,552,000","201,455,000","192,102,000","181,353,000","179,967,000","62,954,000","58,680,000","50,246,000","44,480,000","32,903,000","37,643,000","50,515,000","56,692,000","60,616,000","115,042,000","59,247,000","62,133,000","73,291,000","91,960,000","50,771,000",,,,,,,,,,,,,,,,,,,,,,,"-243,243,000","164,092,000","180,488,000","179,491,000","-136,832,000","125,900,000","118,900,000","107,200,000","97,500,000","87,500,000",,
OperatingExpense,"2,042,245,000","545,975,000","522,785,000","511,338,000","462,147,000","447,067,000","389,339,000","368,959,000","346,136,000","358,261,000","434,815,000","412,106,000","407,080,000","408,014,000","394,755,000","404,591,000","502,360,000","391,588,000","381,492,000","372,093,000","344,424,000","347,721,000","331,030,000","336,495,000","329,753,000","371,708,000","310,154,000","240,351,000","224,370,000","231,757,000","208,383,000","211,580,000","213,244,000","217,019,000","205,826,000","203,671,000","198,585,000","200,460,000","180,791,000","170,649,000","165,221,000","177,911,000","164,506,000","169,145,000","175,513,000","165,856,000","160,861,000","158,062,000","43,682,000","44,971,000","44,227,000","39,488,000","39,672,000","42,829,000","44,928,000","35,204,000","36,862,000","94,864,000","38,067,000","36,751,000","48,178,000","72,609,000","29,363,000","143,639,000","140,798,000","132,287,000","118,102,000","114,846,000","110,351,000","112,407,000","106,518,000","98,071,000","93,600,000","92,430,000","80,439,000","76,807,000","76,711,000","81,215,000","80,480,000","85,316,000","88,478,000","84,464,000","95,717,000","108,774,000","117,366,000","-259,070,000","149,140,000","166,900,000","160,951,000","-155,437,000","111,400,000","107,400,000","96,900,000","74,100,000","77,500,000",,
	SellingGeneralAndAdministration,"1,978,724,000","529,835,000","506,681,000","495,705,000","446,503,000","431,290,000","373,604,000","353,661,000","331,101,000","343,305,000","419,952,000","399,391,000","394,303,000","396,015,000","383,014,000","393,573,000","490,629,000","379,881,000","369,267,000","359,646,000","332,215,000","335,431,000","319,256,000","324,743,000","318,309,000","360,421,000","299,824,000","233,171,000","216,947,000","224,523,000","201,569,000","204,801,000","206,474,000","209,704,000","199,493,000","197,091,000","192,641,000","194,583,000","175,703,000","166,352,000","161,479,000","174,261,000","160,983,000","165,670,000","172,144,000","162,536,000","157,622,000","154,918,000","40,714,000","41,922,000","41,472,000","36,628,000","36,843,000","39,883,000","42,004,000","32,323,000","34,030,000","92,124,000","35,255,000","34,212,000","45,828,000","70,543,000","26,806,000","141,271,000","138,509,000","129,882,000","115,925,000","112,627,000","108,150,000","110,693,000","104,177,000","95,931,000","91,358,000","107,033,000","72,349,000","68,847,000","73,924,000","77,346,000","76,480,000","81,255,000","84,247,000","84,464,000","95,717,000","108,774,000","117,366,000","-254,241,000","142,219,000","160,033,000","155,083,000","-159,970,000","107,600,000","104,800,000","94,500,000","71,800,000","77,500,000",,
		GeneralAndAdministrativeExpense,"1,978,724,000","529,835,000","506,681,000","495,705,000","446,503,000","431,290,000","373,604,000","353,661,000","331,101,000","343,305,000","419,952,000","399,391,000","394,303,000","396,015,000","383,014,000","393,573,000","490,629,000","379,881,000","369,267,000","359,646,000","332,215,000","335,431,000","319,256,000","324,743,000","318,309,000","360,421,000","299,824,000","233,171,000","216,947,000","224,523,000","201,569,000","204,801,000","206,474,000","209,704,000","199,493,000","197,091,000","192,641,000","194,583,000","175,703,000","166,352,000","161,479,000","174,261,000","160,983,000","165,670,000","172,144,000","162,536,000","157,622,000","154,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"1,741,452,000","467,706,000","445,870,000","431,640,000","396,236,000","380,350,000","326,333,000","307,185,000","284,012,000","283,519,000","348,597,000","337,382,000","328,496,000","331,665,000","321,835,000","335,835,000","321,905,000","317,871,000","310,751,000","301,043,000","273,954,000","275,493,000","262,438,000","270,609,000","262,967,000","286,852,000","242,429,000","188,608,000","179,456,000","182,886,000","164,802,000","174,656,000","169,106,000","170,595,000","162,228,000","161,296,000","152,770,000","154,487,000","139,788,000","133,035,000","128,036,000","139,593,000","125,741,000","131,481,000","137,371,000","133,554,000","126,088,000","127,555,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"237,272,000","62,129,000","60,811,000","64,065,000","50,267,000","50,940,000","47,271,000","46,476,000","47,089,000","59,786,000","71,355,000","62,009,000","65,807,000","64,350,000","61,179,000","57,738,000","168,724,000","62,010,000","58,516,000","58,603,000","58,261,000","59,938,000","56,818,000","54,134,000","55,342,000","73,569,000","57,395,000","44,563,000","37,491,000","41,637,000","36,767,000","30,145,000","37,368,000","39,109,000","37,265,000","35,795,000","39,871,000","40,096,000","35,915,000","33,317,000","33,443,000","34,668,000","35,242,000","34,189,000","34,773,000","28,982,000","31,534,000","27,363,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"63,521,000","16,140,000","16,104,000","15,633,000","15,644,000","15,777,000","15,735,000","15,298,000","15,035,000","14,956,000","14,863,000","12,715,000","12,777,000","11,999,000","11,741,000","11,018,000","11,731,000","11,707,000","12,225,000","12,447,000","12,209,000","12,290,000","11,774,000","11,752,000","11,444,000","11,287,000","10,330,000","7,180,000","7,423,000","7,234,000","6,814,000","6,779,000","6,770,000","7,315,000","6,333,000","6,580,000","5,944,000","5,877,000","5,088,000","4,297,000","3,742,000","3,650,000","3,523,000","3,475,000","3,369,000","3,320,000","3,239,000","3,144,000","2,968,000","3,049,000","2,755,000","2,860,000","2,829,000","2,946,000","2,924,000","2,881,000","2,832,000","2,740,000","2,812,000","2,539,000","2,350,000","2,066,000","2,557,000","2,368,000","2,289,000","2,405,000","2,177,000","2,219,000","2,201,000","1,714,000","2,341,000","2,140,000","2,242,000","2,197,000","2,546,000","2,500,000","2,787,000","3,869,000","4,000,000","4,061,000","4,231,000",,,,,"-4,829,000","6,921,000","6,867,000","5,868,000","4,533,000","3,800,000","2,600,000","2,400,000","2,300,000",,,
