name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
		OtherNonCashItems,"-76,570,000","-168,000","-1,153,000","-1,015,000","-74,234,000","254,000","-650,000","-518,000","3,002,000","-1,160,000","-310,000","-262,000","-153,000","884,000","220,000","-927,000","-411,000","303,000","195,000","-731,000","-713,000","-622,000","1,990,000","-80,000","-2,657,000","511,000","-957,000","-149,000","4,182,000","-4,856,000","-4,811,000","400,000","-8,437,000","2,057,000","7,065,000","-2,805,000","248,000","-41,796,000","-2,092,000","2,676,000","-348,000","-2,588,000","1,804,000","-554,000","983,000","-757,000","-15,411,000","2,320,000","7,817,000","-2,905,000","8,624,000","5,086,000","-12,751,000","-218,000","19,457,000","-30,748,000","6,421,000","5,001,000","9,051,000","65,343,000","-13,374,000","-9,157,000","-50,816,000","-40,940,000","-15,962,000","8,512,000","195,891,000",,,"75,536,000","-248,204,000","93,674,000","61,070,000","78,738,000","-419,911,000","68,038,000","58,685,000","66,173,000","-254,113,000","62,390,000","41,414,000","53,101,000",,,"-353,000","17,493,000","-17,524,000","8,358,000","-598,000","-2,197,000","17,400,000","-4,500,000","-800,000","1,100,000","140,300,000","16,800,000","-73,600,000","35,200,000","-49,000,000","-35,700,000","16,000,000","-60,200,000","-77,200,000","100,000","24,300,000","-35,400,000","-63,000,000","43,600,000","-4,900,000","-33,700,000","-15,400,000","17,700,000","-44,100,000","23,300,000","-21,200,000","-95,400,000","83,300,000","9,100,000","2,400,000","58,700,000","-21,000,000","-6,900,000","39,800,000","1,200,000","-13,400,000","-6,100,000"
		ChangeInWorkingCapital,"-18,528,000","-5,801,000","-39,346,000","33,781,000","-7,162,000","25,629,000","11,670,000","73,962,000","-9,027,000","-15,677,000","90,324,000","35,828,000","27,059,000","25,658,000","2,354,000","44,307,000","-31,211,000","38,917,000","8,527,000","28,768,000","-23,809,000","16,907,000","-22,865,000","17,165,000","-10,647,000","12,378,000","-46,266,000","13,867,000","-20,764,000","-11,257,000","-70,370,000","17,726,000","-44,119,000","-34,839,000","-42,337,000","-31,772,000","-52,815,000","-83,477,000","-108,041,000","-34,557,000","-68,496,000","-29,315,000","-73,252,000","-12,683,000","-36,327,000","-42,709,000","-53,564,000","-7,148,000","-29,142,000","-3,653,000","-28,041,000","-58,660,000","-58,539,000","-35,817,000","-77,742,000","6,234,000","-24,752,000","8,654,000","-30,139,000","1,415,000","-20,404,000","53,274,000","4,953,000","44,060,000","11,966,000","73,858,000","-162,379,000","264,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-152,600,000","4,000,000","75,200,000","-33,700,000","26,500,000","41,800,000","-18,400,000","67,000,000","102,000,000","4,400,000","-17,200,000","44,200,000","62,800,000","-37,000,000","4,400,000","47,000,000","15,800,000","-10,200,000","45,000,000","-19,400,000","17,200,000","103,000,000","-85,800,000","-200,000",,"-51,000,000","25,200,000","13,400,000","-37,800,000","3,400,000","22,000,000","12,600,000"
			ChangeInReceivables,"60,536,000","-19,834,000","47,723,000","-229,000","32,876,000","-9,165,000","36,499,000","-3,054,000","31,982,000","-22,442,000","34,404,000","-5,116,000","10,298,000","-27,660,000","22,221,000","-4,042,000","-32,001,000","-9,559,000","24,601,000","-27,569,000","-10,399,000","-1,238,000","-2,895,000","-12,882,000","-8,142,000","-2,849,000","8,734,000","-19,914,000","-10,721,000","-6,744,000","57,647,000","-14,620,000","-11,088,000","-16,698,000","34,002,000","-11,318,000","2,535,000","-13,098,000","80,006,000","-12,871,000","17,977,000","-10,090,000","47,569,000","-18,280,000","3,897,000","-2,678,000","12,830,000","-13,174,000","11,012,000","950,000","22,061,000","-16,962,000","9,721,000","-13,603,000","85,297,000","3,782,000","11,266,000","-7,293,000","67,130,000","-8,224,000","23,587,000","-10,181,000","45,454,000","-6,888,000","18,451,000","-7,159,000","16,340,000","-2,698,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-42,500,000","22,800,000","-8,900,000","-10,500,000","-12,600,000","-16,900,000","-7,800,000","-12,100,000","44,200,000","-31,700,000","-13,100,000","-600,000","27,800,000","-32,800,000","200,000","1,200,000","-1,800,000","-13,500,000","14,000,000","-14,300,000","32,000,000","-6,500,000","-2,900,000","-35,800,000",,"-7,000,000","300,000","-200,000","1,900,000","-700,000","-200,000","-600,000"
				ChangesInAccountReceivables,"60,536,000","-19,834,000","47,723,000","-229,000","32,876,000","-9,165,000","36,499,000","-3,054,000","31,982,000","-22,442,000","34,404,000","-5,116,000","10,298,000","-27,660,000","22,221,000","-4,042,000","-32,001,000","-9,559,000","24,601,000","-27,569,000","-10,399,000","-1,238,000","-2,895,000","-12,882,000","-8,142,000","-2,849,000","8,734,000","-19,914,000","-10,721,000","-6,744,000","57,647,000","-14,620,000","-11,088,000","-16,698,000","34,002,000","-11,318,000","2,535,000","-13,098,000","80,006,000","-12,871,000","17,977,000","-10,090,000","17,791,000","-18,280,000","3,897,000","-2,678,000","9,428,000","-13,174,000","11,012,000","950,000","9,802,000","-16,962,000","9,721,000","-13,603,000","4,801,000","3,782,000","11,266,000","-7,293,000","-8,876,000","43,687,000","12,704,000","-10,181,000","-128,750,000","-5,150,000","107,979,000","-7,159,000","-3,834,000","-2,698,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,400,000","33,500,000","-5,900,000","-24,200,000","-36,100,000","-33,400,000","2,900,000","-41,000,000","19,100,000","-29,000,000","4,700,000","-17,000,000","-1,800,000","-6,800,000","-800,000","-11,900,000","-6,200,000","-1,300,000","-6,000,000","-3,300,000","46,200,000","-19,400,000","-7,600,000","-32,100,000",,"6,700,000","-6,500,000","-1,800,000","1,500,000","1,900,000","-1,900,000","-1,100,000"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,304,000","-14,772,000","-5,852,000","-30,888,000","26,477,000","-18,400,000","49,322,000","-5,898,000","81,762,000","31,552,000","63,207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-56,000,000","-400,000","48,700,000","-3,900,000","34,900,000","37,800,000","-1,400,000","45,600,000","6,800,000","33,900,000","4,500,000","22,700,000","3,600,000","14,300,000","2,000,000","22,300,000","9,700,000","8,400,000","8,500,000","4,600,000","-23,400,000","58,000,000","-40,000,000","35,700,000",,"-18,500,000","12,300,000","6,900,000","-20,700,000","2,400,000","11,200,000","6,900,000"
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,304,000","-14,772,000","-5,852,000","-30,888,000","26,477,000","-18,400,000","49,322,000","-5,898,000","81,762,000","31,552,000","63,207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-56,000,000","-400,000","48,700,000","-3,900,000","34,900,000","37,800,000","-1,400,000","45,600,000","6,800,000","33,900,000","4,500,000","22,700,000","3,600,000","14,300,000","2,000,000","22,300,000","9,700,000","8,400,000","8,500,000","4,600,000","-23,400,000","58,000,000","-40,000,000","35,700,000",,"-18,500,000","12,300,000","6,900,000","-20,700,000","2,400,000","11,200,000","6,900,000"
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,700,000","3,500,000",,,"-4,100,000","2,400,000","-100,000","-500,000","-1,500,000","3,100,000","-700,000","100,000","-500,000","3,200,000","-2,700,000","500,000","-1,900,000","2,600,000","200,000",,,"1,600,000",,,,"2,300,000","-1,300,000","700,000","-400,000","800,000"
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,700,000","3,500,000",,,"-4,100,000","2,400,000","-100,000","-500,000","-1,500,000","3,100,000","-700,000","100,000","-500,000","3,200,000","-2,700,000","500,000","-1,900,000","2,600,000","200,000",,,"1,600,000",,,,"2,300,000","-1,300,000","700,000","-400,000","800,000"
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,690,000","-17,195,000","-3,992,000","-73,700,000","61,699,000","127,211,000","500,000","-95,426,000","81,762,000","34,529,000","63,207,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-56,000,000","-400,000","48,700,000","-3,900,000","34,900,000","37,800,000","-1,400,000","45,600,000","6,800,000","33,900,000","4,500,000","22,700,000","3,600,000","14,300,000","2,000,000","22,300,000","9,700,000","8,400,000","8,500,000","4,600,000","-23,400,000","58,000,000","-40,000,000","35,700,000",,"-18,500,000","12,300,000","6,900,000",,"2,400,000","11,200,000","6,900,000"
			ChangeInOtherCurrentAssets,"11,929,000","12,367,000","-8,645,000","10,531,000","-2,324,000","13,151,000","-424,000","9,443,000","-37,008,000","14,268,000","-9,929,000","-995,000","-1,110,000","-1,447,000","-2,245,000","-2,930,000","-5,285,000","6,254,000","-1,980,000","3,801,000","2,414,000","-5,027,000","-746,000","392,000","237,000","15,782,000","-15,649,000","11,100,000","-1,990,000","-3,919,000","3,101,000","39,840,000","-4,214,000","-1,803,000","43,598,000","8,049,000","-15,946,000","-26,119,000","-7,598,000","-3,997,000","3,284,000","-2,920,000","-3,477,000","5,639,000","-2,199,000","650,000","16,676,000","-861,000",,,,,,,,,,,"-20,615,000","47,799,000",,,"-146,618,000","-5,150,000",,,"-22,938,000","-2,698,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,100,000","-8,600,000","-8,900,000","-10,500,000","-12,600,000","-16,900,000","-7,800,000","-12,100,000","44,200,000","-31,700,000","-13,100,000","-600,000","27,800,000","-32,800,000","200,000","1,200,000","-1,800,000","-13,500,000","14,000,000","-14,300,000","32,000,000","-6,500,000","-2,900,000","-35,800,000",,"-7,000,000","300,000","-200,000",,"-700,000","-200,000","-600,000"
