name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TotalRevenue,"216,424,000","72,252,000","84,287,000","14,318,000","40,683,000","78,594,000","38,049,000","39,010,000","26,341,000","39,287,000","67,008,000","28,265,000","24,023,000","21,969,000","21,934,000","26,873,000","27,376,000","6,912,000","11,217,000","15,694,000","21,291,000","14,188,000","10,999,000","9,704,000","11,887,000","9,596,000","8,608,000","8,213,000","7,099,000","7,480,000","7,225,000","7,815,000","7,579,000","5,701,000","6,218,000","4,800,000","2,866,207","727,295","2,795,435","12,377,000","-105,087","1,652,500","1,917,367"
	OperatingRevenue,"216,424,000","72,252,000","84,287,000","14,318,000","40,683,000","78,594,000","38,049,000","39,010,000","26,341,000","39,287,000","67,008,000","28,265,000","24,023,000","21,969,000","21,934,000","26,873,000","27,376,000","6,912,000","11,217,000","15,694,000","21,291,000","14,188,000","10,999,000","9,704,000","11,887,000","9,596,000","8,608,000","8,213,000","7,099,000","7,480,000","7,225,000","7,815,000","7,579,000","5,701,000","6,218,000","4,800,000","2,866,207","727,295","2,795,435","12,377,000","-105,087","1,652,500","1,917,367"
OperatingExpense,"73,213,000","15,550,000","15,818,000","18,667,000","18,294,000","20,599,000","18,675,000","15,388,000","15,690,000","12,954,000","11,371,000","18,957,000","10,389,000","10,531,000","11,801,000","9,360,000","9,870,000","8,122,000","7,044,000","7,714,000","8,798,000","6,914,000","6,544,000","6,316,000","8,076,000","6,352,000","6,307,000","6,047,000","5,539,000","5,356,000","5,556,000","4,606,000","5,534,000","2,828,000","14,004,000","2,906,000","8,640,273","1,946,118","1,846,368","6,152,000","2,131,905","1,949,268","1,803,771"
	SellingGeneralAndAdministration,,,"5,093,000","4,964,000","4,966,000","4,884,000","3,665,000","3,918,000","3,853,000","3,409,000","3,875,000","3,737,000","3,739,000","3,092,000","4,116,000","3,051,000","3,535,000","2,801,000","3,068,000","2,367,000","3,139,000","2,188,000","2,164,000","1,991,000","2,322,000","1,934,000","1,690,000","1,706,000","1,561,000","1,505,000","2,871,000","1,433,000","2,549,000","1,153,000","1,051,000","866,000","1,237,407","689,689","583,947","1,907,000","907,310","461,481","625,612"
		GeneralAndAdministrativeExpense,,,"5,093,000","4,964,000","4,966,000","4,884,000","3,665,000","3,918,000","3,853,000","3,409,000","3,875,000","3,737,000","3,739,000","3,092,000","4,116,000","3,051,000","3,535,000","2,801,000","3,068,000","2,367,000","3,139,000","2,188,000","2,164,000","1,991,000","2,322,000","1,934,000","1,690,000","1,706,000","1,561,000","1,505,000","2,871,000","1,433,000","2,549,000","1,153,000","1,051,000","866,000","1,237,407","689,689","583,947","1,907,000","907,310","461,481","625,612"
	OtherOperatingExpenses,"612,000","621,000","-2,400,000","1,485,000","906,000","505,000","4,467,000","2,458,000","2,523,000","648,000","0","8,027,000",,,,,,,,,,,,,,,,,,,,,,,"11,000,000",,,,,,,,
PretaxIncome,"143,211,000","56,702,000","68,469,000","-4,349,000","22,389,000","57,995,000","19,374,000","23,622,000","10,651,000","26,333,000","55,637,000","9,308,000","13,634,000","11,438,000","10,133,000","17,513,000","17,506,000","-1,210,000","4,173,000","7,980,000","12,493,000","7,274,000","4,455,000","3,388,000","3,811,000","3,244,000","2,301,000","2,166,000","1,560,000","2,124,000","1,669,000","3,209,000","2,045,000","2,873,000","-7,786,000","1,894,000","-5,774,066","-1,218,823","949,067","6,225,000","-2,236,992","-296,768","113,596"
TaxProvision,"21,378,000","10,999,000","5,648,000","-1,250,000","5,981,000","6,779,000","-5,639,000","2,345,000","-1,407,000","1,923,000","9,395,000","132,000","839,000","-2,270,000","1,034,000","939,000","153,000","18,000","766,000","5,000","83,000","32,000","18,000","41,000","36,000","47,000","41,000","24,000","76,000","-23,000","189,000","607,000","-830,000","60,000","-251,000","0","0",,,"0","0",,
NetIncomeCommonStockholders,"120,901,000","45,346,000","62,420,000","-2,838,000","15,974,000","51,024,000","24,925,000","21,175,000","12,008,000","24,308,000","46,077,000","9,102,000","12,740,000","13,647,000","9,055,000","16,483,000","17,262,000","-1,223,000","3,384,000","7,933,000","12,340,000","7,199,000","4,408,000","3,329,000","3,747,000","3,169,000","2,246,000","2,119,000","1,470,000","2,122,000","1,462,000","2,564,000","2,828,000","2,753,000","-7,330,000","1,842,000","-4,971,643","-1,218,823","949,067","6,225,000","-2,236,992","-296,768","113,596"
	NetIncome,"120,901,000","45,346,000","62,420,000","-2,838,000","15,974,000","51,024,000","24,925,000","21,175,000","12,008,000","24,308,000","46,077,000","9,102,000","12,740,000","13,647,000","9,055,000","16,483,000","17,262,000","-1,223,000","3,384,000","7,933,000","12,340,000","7,199,000","4,408,000","3,329,000","3,747,000","3,169,000","2,246,000","2,119,000","1,470,000","2,122,000","1,462,000","2,564,000","2,828,000","2,753,000","-7,330,000","1,842,000","-4,971,643","-1,218,823","949,067","6,225,000","-2,236,992","-296,768","113,596"
