name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
OperatingCashFlow,"55,456,000","20,366,000","-5,167,000","22,433,000","17,824,000","13,788,000","18,751,000","21,167,000","13,141,000","12,471,000","9,997,000","18,095,000","893,000","9,598,000","8,147,000","13,078,000","8,089,000","9,456,000","9,069,000","7,294,000","5,288,000","5,398,000","7,087,000","5,732,000","1,868,000","7,479,000","5,166,000","7,018,000","-1,657,000","2,520,000","3,872,000","3,201,000","1,534,000","5,763,000"
	CashFlowFromContinuingOperatingActivities,"55,456,000","20,366,000","-5,167,000","22,433,000","17,824,000","13,788,000","18,751,000","21,167,000","13,141,000","12,471,000","9,997,000","18,095,000","893,000","9,598,000","8,147,000","13,078,000","8,089,000","9,456,000","9,069,000","7,294,000","5,288,000","5,398,000","7,087,000","5,732,000","1,868,000","7,479,000","5,166,000","7,018,000","-1,657,000","2,520,000","3,872,000","3,201,000","1,534,000","5,763,000"
		NetIncomeFromContinuingOperations,"38,174,000","8,676,000","6,896,000","11,290,000","11,312,000","13,160,000","-6,410,000","10,081,000","11,539,000","8,096,000","3,047,000","5,905,000","4,918,000","6,606,000","2,419,000","6,293,000","6,839,000","6,168,000","10,497,000","5,012,000","5,265,000","6,530,000","4,312,000","2,753,000","4,079,000","4,290,000","3,795,000","3,173,000","584,000","2,554,000","1,501,000","1,993,000","2,508,000","2,984,000"
		OperatingGainsLosses,,"1,258,000","70,000",,,,"13,819,000","-1,231,000",,,,,,,,,,,,,,,,,,"8,000","14,000","2,000","0","4,000","0","0","0","-95,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,"-8,000","8,000","14,000","2,000","0","4,000","0","0","0","-95,000"
		DepreciationAmortizationDepletion,"8,375,000","2,227,000","2,564,000","2,061,000","1,523,000","1,795,000","2,231,000","2,334,000","1,398,000","1,555,000","1,465,000","1,408,000","1,335,000","1,276,000","1,150,000","1,134,000","1,079,000","950,000","969,000","881,000","771,000","755,000","821,000","746,000","727,000","714,000","738,000","636,000","645,000","663,000","672,000","690,000","727,000","815,000"
			DepreciationAndAmortization,"8,375,000","2,227,000","2,564,000","2,061,000","1,523,000","1,795,000","2,231,000","2,334,000","1,398,000","1,555,000","1,465,000","1,408,000","1,335,000","1,276,000","1,150,000","1,134,000","1,079,000","950,000","969,000","881,000","771,000","755,000","821,000","746,000","727,000","714,000","738,000","636,000","645,000","663,000","672,000","690,000","727,000","815,000"
		DeferredTax,"1,566,000","-490,000","786,000","1,231,000","39,000","897,000","-381,000","-1,343,000","217,000","1,503,000","129,000","132,000","-429,000","-258,000","-776,000","-121,000","-195,000","38,000","-3,240,000","-116,000","-218,000","69,000","-646,000","63,000","-138,000","7,000","-386,000","-222,000","-304,000","-134,000","-255,000","-339,000","-427,000","-509,000"
			DeferredIncomeTax,"1,566,000","-490,000","786,000","1,231,000","39,000","897,000","-381,000","-1,343,000","217,000","1,503,000","129,000","132,000","-429,000","-258,000","-776,000","-121,000","-195,000","38,000","-3,240,000","-116,000","-218,000","69,000","-646,000","63,000","-138,000","7,000","-386,000","-222,000","-304,000","-134,000","-255,000","-339,000","-427,000","-509,000"
		StockBasedCompensation,"9,506,000","2,191,000","2,808,000","2,051,000","2,456,000","2,316,000","2,251,000","3,007,000","1,969,000","1,331,000","2,165,000","2,043,000","1,928,000","838,000","1,713,000","756,000","742,000","514,000","957,000","353,000","286,000","255,000","839,000","139,000","100,000","153,000","663,000","150,000","153,000","189,000","638,000","112,000","107,000","103,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-144,000","-352,000","-275,000","-392,000","-56,000","65,000","-728,000","-94,000","-304,000","-80,000","-284,000","-81,000"
		OtherNonCashItems,"1,416,000","373,000","345,000","345,000","353,000","358,000","339,000","413,000","404,000","411,000","407,000","404,000","399,000","376,000","1,718,000","90,000","90,000","85,000","73,000","73,000","73,000","73,000","80,000","288,000","31,000","38,000","31,000","32,000","218,000","49,000","43,000","49,000","47,000","46,000"
		ChangeInWorkingCapital,"-1,342,000","6,131,000","-18,636,000","9,022,000","2,141,000","-4,738,000","6,902,000","7,906,000","-370,000","-425,000","2,784,000","8,203,000","-7,258,000","760,000","1,923,000","4,926,000","-466,000","1,701,000","-187,000","1,091,000","-889,000","-2,284,000","1,825,000","2,095,000","-2,648,000","2,661,000","367,000","3,182,000","-2,225,000","-711,000","1,577,000","776,000","-1,144,000","2,500,000"
			ChangeInReceivables,"-506,000","608,000","-1,012,000","-198,000","96,000","-1,021,000","449,000","202,000","-440,000","35,000","684,000","-311,000","-723,000","846,000","-1,846,000","566,000","-624,000","707,000","74,000","-823,000","-559,000","-60,000","-670,000","52,000","-25,000","848,000","-1,000,000","193,000","-499,000","302,000","-406,000","102,000","-75,000","-237,000"
				ChangesInAccountReceivables,"-506,000","608,000","-1,012,000","-198,000","96,000","-1,021,000","449,000","202,000","-440,000","35,000","684,000","-311,000","-723,000","846,000","-1,846,000","566,000","-624,000","707,000","74,000","-823,000","-559,000","-60,000","-670,000","52,000","-25,000","848,000","-1,000,000","193,000","-499,000","302,000","-406,000","102,000","-75,000","-237,000"
			ChangeInPrepaidAssets,"-1,492,000","263,000","-1,970,000","1,528,000","-1,313,000","-904,000","421,000","1,320,000","-1,554,000","902,000","1,302,000","-301,000","-1,785,000","1,107,000","102,000","-69,000","-538,000","327,000","448,000","-383,000","-644,000","76,000","-73,000","122,000","-749,000","529,000","781,000","1,194,000","-1,745,000","-446,000","-199,000","-684,000","1,000","76,000"
			ChangeInPayablesAndAccruedExpense,"5,234,000","-2,931,000","1,956,000","3,007,000","3,202,000","-8,433,000","5,672,000","-3,490,000","5,695,000","-6,370,000","4,100,000","2,489,000","977,000","-4,480,000","6,409,000","-322,000","1,612,000","-703,000","-545,000","1,950,000","98,000","-2,379,000","2,687,000","1,276,000","-1,904,000","1,589,000","335,000","1,873,000","-759,000","-280,000","1,963,000","827,000","-1,827,000","1,718,000"
				ChangeInPayable,"5,234,000","-2,931,000","1,956,000","3,007,000","3,202,000","-8,433,000","5,672,000","-3,490,000","5,695,000","-6,370,000","4,100,000","2,489,000","977,000","-4,480,000","6,409,000","-322,000","1,612,000","-703,000","-545,000","1,950,000","98,000","-2,379,000","2,687,000","1,276,000","-1,904,000","1,589,000","335,000","1,873,000","-759,000","-280,000","1,963,000","827,000","-1,827,000","1,718,000"
