name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
OperatingCashFlow,"159,647,000","-97,560,000","179,934,000","6,485,000","70,788,000","-38,560,000","214,513,000","78,835,000","47,783,000","-83,472,000","118,840,000","9,700,000","45,831,000","-26,945,000","92,050,000","14,778,000","11,205,000","-63,380,000","67,967,000","18,044,000","-14,804,000"
	CashFlowFromContinuingOperatingActivities,"159,647,000","-97,560,000","179,934,000","6,485,000","70,788,000","-38,560,000","214,513,000","78,835,000","47,783,000","-83,472,000","118,840,000","9,700,000","45,831,000","-26,945,000","92,050,000","14,778,000","11,205,000","-63,380,000","67,967,000","18,044,000","-14,804,000"
		NetIncomeFromContinuingOperations,"141,129,000","8,566,000","123,481,000","-8,744,000","17,826,000","17,221,000","132,292,000","18,411,000","-56,980,000","-52,321,000","70,775,000","-29,600,000","-14,009,000","-22,824,000","61,667,000","-1,720,000","-26,989,000","-32,592,000","45,697,000","-14,905,000","-14,539,000"
		OperatingGainsLosses,"2,206,000","1,773,000","494,000","1,118,000","-1,179,000","586,000","-1,633,000","-2,652,000","-1,071,000","1,504,000","-1,924,000","2,605,000","-870,000","982,000","1,318,000","640,000","2,549,000","-1,633,000","-615,000","-1,069,000","-1,955,000"
			NetForeignCurrencyExchangeGainLoss,"2,206,000","1,773,000","494,000","1,118,000","-1,179,000","586,000","-1,633,000","-2,652,000","-1,071,000","1,504,000","-1,924,000","2,605,000","-870,000","982,000","1,318,000","640,000","2,549,000","-1,633,000","-615,000","-1,069,000","-1,955,000"
		DepreciationAmortizationDepletion,"35,949,000","9,575,000","9,217,000","8,093,000","9,064,000","8,743,000","7,982,000","8,734,000","8,861,000","9,726,000","9,105,000","9,012,000","8,439,000","9,097,000","9,867,000","10,711,000","9,760,000","9,341,000","9,546,000","10,567,000","8,901,000"
			DepreciationAndAmortization,"35,949,000","9,575,000","9,217,000","8,093,000","9,064,000","8,743,000","7,982,000","8,734,000","8,861,000","9,726,000","9,105,000","9,012,000","8,439,000","9,097,000","9,867,000","10,711,000","9,760,000","9,341,000","9,546,000","10,567,000","8,901,000"
				Depreciation,"35,653,000",,,,,,,,,,"9,105,000","9,012,000","8,439,000","9,097,000","9,867,000","10,711,000","9,760,000","9,341,000","9,546,000","10,567,000","8,901,000"
		DeferredTax,"-8,313,000","-143,000","14,000","-8,425,000","241,000","-158,000","12,000","-391,000","-250,000","23,000","51,000","-139,000","-570,000","215,000","226,000","35,000","-29,000","81,000","65,000","-150,000","57,000"
			DeferredIncomeTax,"-8,313,000","-143,000","14,000","-8,425,000","241,000","-158,000","12,000","-391,000","-250,000","23,000","51,000","-139,000","-570,000","215,000","226,000","35,000","-29,000","81,000","65,000","-150,000","57,000"
		AssetImpairmentCharge,,,,"763,000",,,,"127,000",,,,,,,,,,,,,
		StockBasedCompensation,"69,604,000","21,225,000","17,459,000","15,372,000","15,548,000","16,363,000","14,844,000","15,972,000","15,040,000","13,394,000","13,204,000","13,050,000","13,407,000","11,086,000","9,032,000","9,248,000","10,332,000","9,528,000","9,537,000","9,589,000","9,537,000"
		OtherNonCashItems,"5,964,000","3,218,000","1,139,000","698,000","909,000","1,394,000","-1,050,000","1,339,000","1,382,000","1,518,000","1,471,000","751,000","355,000","1,132,000","475,000","1,037,000","302,000","155,000","182,000","220,000","-124,000"
		ChangeInWorkingCapital,"-90,444,000","-141,774,000","28,130,000","-2,390,000","25,590,000","-82,709,000","62,066,000","37,295,000","66,754,000","-57,316,000","26,158,000","14,021,000","39,079,000","-26,633,000","9,465,000","-5,173,000","15,280,000","-48,260,000","3,555,000","13,792,000","-16,681,000"
			ChangeInReceivables,"-45,223,000","66,214,000","-79,000,000","-31,851,000","-586,000","43,390,000","-56,650,000","-3,825,000","-9,926,000","94,755,000","-31,411,000","-12,964,000","-27,047,000","57,257,000","-49,324,000","-20,846,000","-17,740,000","30,311,000","-18,230,000","4,246,000","-11,968,000"
				ChangesInAccountReceivables,"-45,223,000","66,214,000","-79,000,000","-31,851,000","-586,000","43,390,000","-56,650,000","-3,825,000","-9,926,000","94,755,000","-31,411,000","-12,964,000","-27,047,000","57,257,000","-49,324,000","-20,846,000","-17,740,000","30,311,000","-18,230,000","4,246,000","-11,968,000"
			ChangeInInventory,"-133,695,000","-64,353,000","-21,800,000","-40,244,000","-7,298,000","-53,864,000","93,495,000","-91,613,000","23,378,000","-1,098,000","107,343,000","-101,479,000","-17,131,000","5,193,000","81,621,000","-80,028,000","-28,058,000","18,023,000","9,956,000","-74,472,000","-1,513,000"
			ChangeInPayablesAndAccruedExpense,"114,359,000","-133,484,000","185,127,000","53,400,000","9,316,000","-69,756,000","33,271,000","137,697,000","28,933,000","-151,654,000","-39,416,000","119,558,000","77,547,000","-89,814,000","-21,413,000","90,830,000","51,335,000","-97,376,000","21,684,000","75,597,000","-6,869,000"
			ChangeInOtherCurrentAssets,"-14,109,000","-10,168,000","4,086,000","-12,279,000","4,252,000","-14,652,000","-7,330,000","-1,349,000","5,290,000","2,163,000","-11,853,000","-2,171,000","-1,000","-2,341,000","-3,092,000","2,761,000","-2,806,000","-1,521,000","-574,000","-299,000","4,461,000"
			ChangeInOtherCurrentLiabilities,"-5,431,000","-5,669,000","2,321,000","-3,234,000","1,151,000","-8,136,000","9,128,000","2,087,000","-3,179,000","-457,000","11,184,000","3,051,000","-2,302,000","-5,137,000","11,525,000","1,024,000","763,000","-3,832,000","2,535,000","1,376,000","-896,000"
			ChangeInOtherWorkingCapital,"-6,345,000","5,686,000","-62,604,000","31,818,000","18,755,000","20,309,000","-9,848,000","-5,702,000","22,258,000","-1,025,000","-9,689,000","8,026,000","8,013,000","8,209,000","-9,852,000","1,086,000","11,786,000","6,135,000","-11,816,000","7,344,000","104,000"
