name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2010
TotalRevenue,"3,997,513,000","736,244,000","1,210,012,000","1,033,193,000","1,018,064,000","720,966,000","1,060,827,000","832,464,000","770,106,000","597,050,000","1,141,274,000","748,395,000","698,714,000","494,632,000","1,132,697,000","775,071,000","771,303,000","583,676,000","1,128,520,000","717,735,000","570,626,000","393,391,000","773,753,000","582,029,000","625,222,000","424,138,000","880,243,000","648,141,000","495,517,000","377,258,000","635,001,000","477,920,000","87,336,000","72,812,000","120,441,000","58,539,000","51,087,000","27,888,000","56,029,000","10,060,000","7,808,000","4,653,000","18,987,000"
	OperatingRevenue,"3,994,913,000","735,600,000","1,209,362,000","1,032,547,000","1,017,404,000","720,303,000","1,060,185,000","831,830,000","769,458,000","596,432,000","1,140,657,000","747,777,000","698,077,000","494,034,000","1,126,328,000","774,473,000","770,704,000","583,078,000","1,127,939,000","717,151,000","570,026,000","392,823,000","773,229,000","581,423,000","624,618,000","423,558,000","875,337,000","647,228,000","494,728,000","376,265,000","634,173,000","477,351,000","87,336,000","72,812,000","120,441,000","58,539,000","51,087,000","27,888,000","56,029,000","10,060,000","7,808,000","4,653,000","18,987,000"
CostOfRevenue,"2,979,641,000","536,443,000","915,091,000","760,533,000","767,574,000","546,916,000","807,088,000","648,004,000","603,093,000","474,163,000","890,142,000","578,939,000","580,873,000","423,352,000","896,711,000","609,412,000","605,651,000","451,142,000","880,375,000","534,001,000","454,962,000","319,132,000","617,231,000","464,129,000","447,251,000","325,336,000","675,601,000","510,994,000","353,306,000","302,215,000","504,408,000","387,717,000","66,655,000","56,432,000","92,747,000","45,340,000","41,713,000","23,074,000","44,743,000","8,879,000","6,853,000","4,137,000","17,803,000"
GrossProfit,"1,017,872,000","199,801,000","294,921,000","272,660,000","250,490,000","174,050,000","253,739,000","184,460,000","167,013,000","122,887,000","251,132,000","169,456,000","117,841,000","71,280,000","235,986,000","165,659,000","165,652,000","132,534,000","248,145,000","183,734,000","115,664,000","74,259,000","156,522,000","117,900,000","177,971,000","98,802,000","204,642,000","137,147,000","142,211,000","75,043,000","130,593,000","90,203,000","20,681,000","16,380,000","27,694,000","13,199,000","9,374,000","4,814,000","11,286,000","1,181,000","955,000","516,000","1,184,000"
OperatingExpense,"380,835,000","81,341,000","102,890,000","99,166,000","97,438,000","82,433,000","103,779,000","81,661,000","83,372,000","83,098,000","104,827,000","87,194,000","84,546,000","78,176,000","103,403,000","83,553,000","82,816,000","75,699,000","81,900,000","66,710,000","66,609,000","61,909,000","71,460,000","63,577,000","63,300,000","55,283,000","74,130,000","57,391,000","54,525,000","52,027,000","56,306,000","49,900,000","9,761,000","8,378,000","8,806,000","6,195,000","5,899,000","4,643,000","4,902,000","2,565,000","2,270,000","1,671,000","2,283,000"
	SellingGeneralAndAdministration,"378,263,000","80,695,000","102,451,000","98,365,000","96,752,000","81,809,000","103,155,000","81,037,000","82,748,000","82,474,000","104,219,000","86,585,000","83,919,000","77,586,000","102,010,000","82,963,000","82,227,000","75,097,000","81,328,000","66,135,000","66,018,000","61,349,000","70,937,000","63,002,000","62,717,000","54,717,000","71,494,000","56,821,000","53,933,000","51,465,000","55,737,000","49,344,000","9,761,000","8,378,000","8,806,000","6,195,000","5,899,000","4,643,000","4,902,000","2,565,000","2,270,000","1,671,000","2,283,000"
		GeneralAndAdministrativeExpense,"207,270,000","48,456,000","54,061,000","53,490,000","51,263,000","41,349,000","52,590,000","36,323,000","37,554,000","39,837,000","42,959,000","38,751,000","36,854,000","38,597,000","43,624,000","38,109,000","36,483,000","36,814,000","36,471,000","32,956,000","33,688,000","34,649,000","33,655,000","31,150,000","30,269,000","28,396,000","34,235,000","26,783,000","28,299,000","28,179,000","25,233,000","20,951,000","6,875,000","5,892,000","5,488,000","4,148,000","4,108,000","3,313,000","2,617,000","1,504,000","1,473,000","1,178,000","1,875,000"
			OtherGandA,"207,270,000","48,456,000","54,061,000","53,490,000","51,263,000","41,349,000","52,590,000","36,323,000","37,554,000","39,837,000","42,959,000","38,751,000","36,854,000","38,597,000","43,624,000","38,109,000","36,483,000","36,814,000","36,471,000","32,956,000","33,688,000","34,649,000","33,655,000","31,150,000","30,269,000","28,396,000","34,235,000","26,783,000","28,299,000","28,179,000","25,233,000","20,951,000","6,875,000","5,892,000","5,488,000","4,148,000","4,108,000","3,313,000","2,617,000","1,504,000","1,473,000","1,178,000","1,875,000"
		SellingAndMarketingExpense,"170,993,000","32,239,000","48,390,000","44,875,000","45,489,000","40,460,000","50,565,000","44,714,000","45,194,000","42,637,000","61,260,000","47,834,000","47,065,000","38,989,000","58,386,000","44,854,000","45,744,000","38,283,000","44,857,000","33,179,000","32,330,000","26,700,000","37,282,000","31,852,000","32,448,000","26,321,000","37,259,000","30,038,000","25,634,000","23,286,000","30,504,000","28,393,000","2,886,000","2,486,000","3,318,000","2,047,000","1,791,000","1,330,000","2,285,000","1,061,000","797,000","493,000","408,000"
	OtherOperatingExpenses,"2,572,000","646,000","439,000","801,000","686,000","624,000","624,000","624,000","624,000","624,000","608,000","609,000","627,000","590,000","1,393,000","590,000","589,000","602,000","572,000","575,000","591,000","560,000","523,000","575,000","583,000","566,000","2,636,000","570,000","592,000","562,000","569,000","556,000",,,,,,,,,,,
OperatingIncome,"637,037,000","118,460,000","192,031,000","173,494,000","153,052,000","91,617,000","149,960,000","102,799,000","83,641,000","39,789,000","146,305,000","82,262,000","33,295,000","-6,896,000","132,583,000","82,106,000","82,836,000","56,835,000","166,245,000","117,024,000","49,055,000","12,350,000","85,062,000","54,323,000","114,671,000","43,519,000","130,512,000","79,756,000","87,686,000","23,016,000","74,287,000","40,303,000","10,920,000","8,002,000","18,888,000","7,004,000","3,475,000","171,000","6,384,000","-1,384,000","-1,315,000","-1,155,000","-1,099,000"
