name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012
TotalRevenue,"8,743,300,000","2,228,600,000","2,224,100,000","2,105,300,000","2,185,300,000","2,072,000,000","2,131,800,000","2,168,100,000","2,102,800,000","2,033,200,000","2,298,700,000","2,380,200,000","2,566,700,000","1,099,500,000","1,057,729,000","1,150,405,000","1,239,856,000","1,120,517,000","1,120,432,000","1,128,775,000","1,174,090,000","1,137,285,000","1,178,906,000","1,293,948,000","1,306,788,000","1,143,979,000","1,142,541,000","972,597,000","867,290,000","825,400,000","827,895,000","1,000,427,000","1,066,256,000","935,036,000","846,558,000","888,011,000","940,859,000","804,689,000","848,211,000","894,019,000","835,915,000"
	OperatingRevenue,"8,743,300,000","2,228,600,000","2,224,100,000","2,105,300,000","2,185,300,000","2,072,000,000","2,131,800,000","2,168,100,000","2,102,800,000","2,033,200,000","2,298,700,000","2,380,200,000","2,566,700,000","1,099,500,000","1,057,729,000","1,150,405,000","1,239,856,000","1,120,517,000","1,120,432,000","1,128,775,000","1,174,090,000","1,137,285,000","1,178,906,000","1,293,948,000","1,306,788,000","1,143,979,000","1,142,541,000","972,597,000","867,290,000","825,400,000","827,895,000","1,000,427,000","1,066,256,000","935,036,000","846,558,000","888,011,000","940,859,000","804,689,000","848,211,000","894,019,000","835,915,000"
CostOfRevenue,"6,094,900,000","1,592,300,000","1,538,300,000","1,452,300,000","1,512,000,000","1,399,800,000","1,416,800,000","1,432,600,000","1,446,700,000","1,392,000,000","1,562,500,000","1,770,300,000","1,906,700,000","687,700,000","676,029,000","726,531,000","768,546,000","709,117,000","705,778,000","699,145,000","701,306,000","682,459,000","689,018,000","751,097,000","753,029,000","696,888,000","743,511,000","633,706,000","552,595,000","532,196,000","542,475,000","637,940,000","654,605,000","597,325,000","554,716,000","577,812,000","607,035,000","539,615,000","570,831,000","591,192,000","573,017,000"
GrossProfit,"2,648,400,000","636,300,000","685,800,000","653,000,000","673,300,000","672,200,000","715,000,000","735,500,000","656,100,000","641,200,000","736,200,000","609,900,000","660,000,000","411,800,000","381,700,000","423,874,000","471,310,000","411,400,000","414,654,000","429,630,000","472,784,000","454,826,000","489,888,000","542,851,000","553,759,000","447,091,000","399,030,000","338,891,000","314,695,000","293,204,000","285,420,000","362,487,000","411,651,000","337,711,000","291,842,000","310,199,000","333,824,000","265,074,000","277,380,000","302,827,000","262,898,000"
OperatingExpense,"2,508,600,000","597,400,000","643,300,000","635,100,000","632,800,000","618,900,000","591,200,000","639,400,000","624,600,000","649,300,000","690,000,000","641,200,000","822,800,000","308,700,000","293,084,000","284,579,000","299,404,000","302,224,000","303,738,000","297,440,000","321,237,000","328,087,000","336,223,000","343,904,000","362,282,000","335,003,000","353,152,000","289,207,000","203,403,000","198,193,000","203,745,000","197,058,000","198,458,000","189,196,000","222,301,000","198,137,000","200,942,000","182,212,000","199,655,000","189,933,000","190,551,000"
	SellingGeneralAndAdministration,"1,227,200,000","286,000,000","324,600,000","314,300,000","302,300,000","292,700,000","272,000,000","296,700,000","290,900,000","311,100,000","305,100,000","305,800,000","480,900,000","199,200,000","184,714,000","173,990,000","185,197,000","185,131,000","190,697,000","184,671,000","207,369,000","211,554,000","215,130,000","220,835,000","234,333,000","209,197,000","227,101,000","203,820,000","130,797,000","125,671,000","129,376,000","121,417,000","121,070,000","113,028,000","147,457,000","122,424,000","123,411,000","108,982,000","123,473,000","114,831,000","117,089,000"
	ResearchAndDevelopment,"682,400,000","170,700,000","167,600,000","167,800,000","176,300,000","171,500,000","162,200,000","184,600,000","176,100,000","180,400,000","179,000,000","171,500,000","177,800,000","50,200,000","43,260,000","44,807,000","47,765,000","49,864,000","44,942,000","44,498,000","46,887,000","48,895,000","48,161,000","48,430,000","51,934,000","52,190,000","49,146,000","31,100,000","27,982,000","27,736,000","29,543,000","30,806,000","33,082,000","31,870,000","30,878,000","31,757,000","33,846,000","29,950,000","32,901,000","30,969,000","29,336,000"
	DepreciationAmortizationDepletionIncomeStatement,"599,000,000","140,700,000","151,100,000","153,000,000","154,200,000","154,700,000","157,000,000","158,100,000","157,600,000","157,800,000","205,900,000","163,900,000","164,100,000","59,300,000","65,110,000","65,782,000","66,442,000","67,229,000","68,099,000","68,271,000","66,981,000","67,638,000","72,932,000","74,639,000","76,015,000","73,616,000","76,905,000","54,287,000","44,624,000","44,786,000","44,826,000","44,835,000","44,306,000","44,298,000","43,966,000","43,956,000","43,685,000","43,280,000","43,281,000","44,133,000","44,126,000"
		DepreciationAndAmortizationInIncomeStatement,"599,000,000","140,700,000","151,100,000","153,000,000","154,200,000","154,700,000","157,000,000","158,100,000","157,600,000","157,800,000","205,900,000","163,900,000","164,100,000","59,300,000","65,110,000","65,782,000","66,442,000","67,229,000","68,099,000","68,271,000","66,981,000","67,638,000","72,932,000","74,639,000","76,015,000","73,616,000","76,905,000","54,287,000","44,624,000","44,786,000","44,826,000","44,835,000","44,306,000","44,298,000","43,966,000","43,956,000","43,685,000","43,280,000","43,281,000","44,133,000","44,126,000"
			Amortization,"599,000,000","140,700,000","151,100,000","153,000,000","154,200,000","154,700,000","157,000,000","158,100,000","157,600,000","157,800,000","205,900,000","163,900,000","164,100,000","59,300,000","65,110,000","65,782,000","66,442,000","67,229,000","68,099,000","68,271,000","66,981,000","67,638,000","72,932,000","74,639,000","76,015,000","73,616,000","76,905,000","54,287,000","44,624,000","44,786,000","44,826,000","44,835,000","44,306,000","44,298,000","43,966,000","43,956,000","43,685,000","43,280,000","43,281,000","44,133,000","44,126,000"
