name,ttm,03/31/2022
MarketCap,"946,089,393","932,186,481"
EnterpriseValue,"932,565,650","941,336,948"
PsRatio,"1.758","1.901"
PbRatio,"22.931","60.372"
EnterprisesValueRevenueRatio,"1.763","5.776"
EnterprisesValueEBITDARatio,"-14.995","-73.862"
