name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,07/31/2011
TotalAssets,"11,100,000,000","10,400,500,000","10,426,400,000","10,241,600,000","9,562,100,000","9,488,400,000","8,726,500,000","9,065,400,000","6,501,800,000","7,184,100,000","6,824,800,000","6,592,200,000","6,261,800,000","5,707,500,000","5,801,500,000","5,823,000,000","3,908,300,000","3,627,500,000","3,486,500,000","3,438,300,000","3,250,100,000","3,174,600,000","3,006,500,000","2,761,200,000","2,507,000,000","2,316,600,000","2,094,400,000","1,965,178,000","1,784,432,000","1,672,784,000","1,540,356,000","1,478,466,000","880,387,000","689,026,000","639,943,000","585,606,000","538,777,000","490,149,000","444,297,000","407,804,000","166,489,000","136,657,000","91,172,000"
	CurrentAssets,"5,697,600,000","4,868,600,000","4,839,100,000","4,647,300,000","4,140,900,000","4,275,800,000","4,300,900,000","5,129,200,000","3,014,000,000","3,978,200,000","3,649,800,000","3,664,800,000","3,717,500,000","3,487,500,000","3,815,200,000","4,132,000,000","2,205,500,000","2,210,200,000","2,039,500,000","1,976,300,000","1,895,200,000","1,880,400,000","1,865,900,000","1,719,100,000","1,446,200,000","1,307,100,000","1,039,900,000","1,074,030,000","1,040,509,000","861,504,000","933,567,000","958,326,000","516,445,000","555,287,000","552,332,000","529,699,000","472,724,000","426,674,000","394,739,000","381,657,000","141,616,000","115,650,000","76,840,000"
		CashCashEquivalentsAndShortTermInvestments,"3,874,600,000","3,340,300,000","3,461,400,000","2,901,100,000","2,945,400,000","3,171,200,000","3,217,600,000","3,747,800,000","2,038,800,000","3,133,900,000","2,861,200,000","2,803,100,000","3,048,100,000","2,830,000,000","3,203,800,000","3,403,400,000","1,621,200,000","1,635,700,000","1,503,200,000","1,375,000,000","1,372,000,000","1,354,400,000","1,390,000,000","1,285,600,000","1,087,500,000","964,600,000","761,300,000","788,979,000","822,973,000","675,057,000","771,499,000","772,502,000","367,970,000","438,212,000","436,733,000","419,621,000","361,697,000","337,444,000","321,557,000","322,642,000","90,283,000","82,822,000","40,517,000"
			CashAndCashEquivalents,"2,419,900,000","1,922,700,000","2,272,900,000","1,874,200,000","1,886,100,000","2,113,200,000","2,142,000,000","2,958,000,000","1,484,700,000","2,000,000,000","1,263,700,000","961,400,000","1,314,900,000","1,127,800,000","1,784,400,000","2,506,900,000","949,000,000","915,000,000","842,600,000","744,300,000","692,000,000","761,400,000","839,400,000","734,400,000","550,000,000","413,200,000","275,800,000","375,814,000","454,123,000","342,983,000","543,747,000","653,812,000","234,790,000","261,867,000","266,182,000","310,614,000","213,664,000","187,924,000","174,473,000","322,642,000","90,283,000","82,822,000","40,517,000"
				CashFinancial,,,,,,,,,"722,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,"762,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,454,700,000","1,417,600,000","1,188,500,000","1,026,900,000","1,059,300,000","1,058,000,000","1,075,600,000","789,800,000","554,100,000","1,133,900,000","1,597,500,000","1,841,700,000","1,733,200,000","1,702,200,000","1,419,400,000","896,500,000","672,200,000","720,700,000","660,600,000","630,700,000","680,000,000","593,000,000","550,600,000","551,200,000","537,500,000","551,400,000","485,500,000","413,165,000","368,850,000","332,074,000","227,752,000","118,690,000","133,180,000","176,345,000","170,551,000","109,007,000","148,033,000","149,520,000","147,084,000",,,,
		Receivables,"1,240,600,000","952,200,000","812,100,000","1,240,400,000","766,800,000","669,200,000","675,500,000","1,037,100,000","668,800,000","540,300,000","499,200,000","582,400,000","407,500,000","415,000,000","382,300,000","467,300,000","361,800,000","365,100,000","350,800,000","432,100,000","364,100,000","386,100,000","346,500,000","348,700,000","267,600,000","254,400,000","196,400,000","212,366,000","150,523,000","135,251,000","116,224,000","135,518,000","114,789,000","86,090,000","91,439,000","87,461,000","91,489,000","68,586,000","56,369,000","45,642,000","38,796,000","24,073,000","29,677,000"
			AccountsReceivable,"1,240,600,000","952,200,000","812,100,000","1,240,400,000","766,800,000","669,200,000","675,500,000","1,037,100,000","668,800,000","540,300,000","499,200,000","582,400,000","407,500,000","415,000,000","382,300,000","467,300,000","361,800,000","365,100,000","350,800,000","432,100,000","364,100,000","386,100,000","346,500,000","348,700,000","267,600,000","254,400,000","196,400,000","212,366,000","150,523,000","135,251,000","116,224,000","135,518,000","114,789,000","86,090,000","91,439,000","87,461,000","91,489,000","68,586,000","56,369,000","45,642,000","38,796,000","24,073,000","29,677,000"
				GrossAccountsReceivable,"1,250,200,000","965,200,000","825,600,000","1,251,600,000","776,600,000","678,600,000","684,500,000","1,039,400,000","670,600,000","541,500,000","500,200,000","583,200,000","408,300,000","416,200,000","383,500,000","468,500,000","362,900,000","366,100,000","351,800,000","432,800,000","364,800,000","386,600,000","349,000,000","351,100,000","268,300,000","255,200,000","197,200,000","213,089,000","151,378,000","136,106,000","117,207,000","135,989,000","115,482,000","86,556,000","91,925,000","87,512,000","91,568,000","68,743,000","56,546,000","45,806,000","38,850,000","24,127,000","29,708,000"
				AllowanceForDoubtfulAccountsReceivable,"-9,600,000","-13,000,000","-13,500,000","-11,200,000","-9,800,000","-9,400,000","-9,000,000","-2,300,000","-1,800,000","-1,200,000","-1,000,000","-800,000","-800,000","-1,200,000","-1,200,000","-1,200,000","-1,100,000","-1,000,000","-1,000,000","-700,000","-700,000","-500,000","-2,500,000","-2,400,000","-700,000","-800,000","-800,000","-723,000","-855,000","-855,000","-983,000","-471,000","-693,000","-466,000","-486,000","-51,000","-79,000","-157,000","-177,000","-164,000","-54,000","-54,000","-31,000"
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177,000",,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-177,000",,,,
