name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"936,322,707","2,400,722,490","1,913,953,769","370,286,603"
EnterpriseValue,"936,581,215","2,400,780,690","1,914,011,969","370,344,803"
PbRatio,"3.328"
EnterprisesValueEBITDARatio,"-283.381","-1,254.379","-1,555.733","-2,313.614"
