name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
TotalRevenue,"530,515,000","141,337,000","136,856,000","128,141,000","124,181,000","113,619,000","106,153,000","96,748,000","87,531,000","83,196,000","78,596,000","78,786,000","74,256,000","68,924,000","67,342,000","64,113,000","62,681,000","59,218,000","54,759,000","52,262,000"
	OperatingRevenue,"530,515,000","141,337,000","136,856,000","128,141,000","124,181,000","113,619,000","106,153,000","96,748,000","87,531,000","83,196,000","78,596,000","78,786,000","74,256,000","68,924,000","67,342,000","64,113,000","62,681,000","59,218,000","54,759,000","52,262,000"
CostOfRevenue,"142,983,000","37,916,000","37,051,000","34,933,000","33,083,000","30,441,000","28,778,000","26,596,000","25,408,000","23,485,000","22,937,000","22,494,000","21,588,000","21,125,000","20,880,000","20,504,000","20,457,000","19,617,000","17,596,000","16,894,000"
GrossProfit,"387,532,000","103,421,000","99,805,000","93,208,000","91,098,000","83,178,000","77,375,000","70,152,000","62,123,000","59,711,000","55,659,000","56,292,000","52,668,000","47,799,000","46,462,000","43,609,000","42,224,000","39,601,000","37,163,000","35,368,000"
OperatingExpense,"457,704,000","127,073,000","121,613,000","101,525,000","107,493,000","90,875,000","76,719,000","73,181,000","73,107,000","68,762,000","64,111,000","59,264,000","55,143,000","52,632,000","49,160,000","46,943,000","41,895,000","45,610,000","42,114,000","35,165,000"
	SellingGeneralAndAdministration,"320,023,000","86,783,000","85,793,000","69,275,000","78,172,000","63,135,000","53,075,000","51,624,000","51,542,000","48,502,000","46,590,000","41,841,000","38,592,000","36,195,000","33,143,000","30,674,000","27,633,000","30,849,000","27,636,000","22,578,000"
		GeneralAndAdministrativeExpense,"118,691,000","29,141,000","31,112,000","26,083,000","32,355,000","23,531,000","18,545,000","18,047,000","17,102,000","17,824,000","21,018,000","16,519,000","14,113,000","15,677,000","15,234,000","11,707,000","11,219,000","11,176,000","11,919,000","8,952,000"
			OtherGandA,"118,691,000","29,141,000","31,112,000","26,083,000","32,355,000","23,531,000","18,545,000","18,047,000","17,102,000","17,824,000","21,018,000","16,519,000","14,113,000","15,677,000","15,234,000","11,707,000","11,219,000","11,176,000","11,919,000","8,952,000"
		SellingAndMarketingExpense,"201,332,000","57,642,000","54,681,000","43,192,000","45,817,000","39,604,000","34,530,000","33,577,000","34,440,000","30,678,000","25,572,000","25,322,000","24,479,000","20,518,000","17,909,000","18,967,000","16,414,000","19,673,000","15,717,000","13,626,000"
	ResearchAndDevelopment,"130,631,000","38,161,000","33,473,000","30,873,000","28,124,000","26,613,000","22,743,000","20,833,000","20,547,000","19,348,000","16,322,000","16,209,000","15,696,000","15,800,000","14,808,000","14,377,000","12,812,000","13,491,000","13,085,000","11,514,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,"589,000",,,"331,000","199,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,"589,000",,,"331,000","199,000"
			Amortization,,,,,,,,,,,,,,,,"589,000",,,"331,000","199,000"
	ProvisionForDoubtfulAccounts,"7,050,000","2,129,000","2,347,000","1,377,000","1,197,000","1,127,000","901,000","724,000","1,018,000","912,000","1,199,000","1,214,000","855,000","637,000","1,209,000","1,892,000","1,450,000","1,270,000","1,393,000","1,073,000"
	OtherOperatingExpenses,,,,,,"1,127,000","901,000","724,000","1,018,000","912,000","1,199,000","1,214,000","855,000","637,000","1,209,000","1,892,000","1,450,000","1,270,000","1,393,000","1,073,000"
OperatingIncome,"-70,172,000","-23,652,000","-21,808,000","-8,317,000","-16,395,000","-7,697,000","656,000","-3,029,000","-10,984,000","-9,051,000","-8,452,000","-2,972,000","-2,475,000","-4,833,000","-2,698,000","-3,334,000","329,000","-6,009,000","-4,951,000","203,000"
NetNonOperatingInterestIncomeExpense,"-3,106,000","-1,125,000","-1,125,000","-746,000","-110,000","-199,000","-138,000","-152,000","-258,000","-230,000","-259,000","-317,000","-357,000","-373,000","-364,000","-589,000","-556,000","-529,000","-331,000","-199,000"
