name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
OperatingCashFlow,"-29,622,000","-29,604,000","2,663,000","-6,246,000","3,565,000","1,253,000","4,468,000","-3,451,000","-5,985,000","-11,966,000","3,977,000","-2,275,000","4,034,000","-7,953,000","8,427,000","-1,616,000","3,544,000","-10,047,000","6,682,000","3,715,000","7,675,000","-3,785,000","4,741,000","1,603,000","-308,000","-4,044,000","3,889,000","-614,000","1,380,000","-6,014,000","468,000","-1,262,000","-2,520,000","-972,000","2,419,000","-235,000","1,872,000","-543,000","3,691,000","-267,000","-851,000","-4,873,000","585,000","-3,481,000","-767,000","-1,505,000","-428,000","-1,011,000","-3,928,000","-2,692,000","3,176,000","-146,000","-9,000","-2,980,000","-1,530,000","2,869,000","3,511,000","-510,000","5,034,000","5,097,000","5,696,000","1,063,000","14,574,000","7,673,000","-11,893,000","2,112,000","7,570,000","6,323,000","4,880,000","1,615,000","3,943,000","2,819,000","1,457,000","1,025,000","1,520,000","685,000"
	CashFlowFromContinuingOperatingActivities,"-29,622,000","-29,604,000","2,663,000","-6,246,000","3,565,000","1,253,000","4,468,000","-3,451,000","-5,985,000","-11,966,000","3,977,000","-2,275,000","4,034,000","-7,953,000","8,427,000","-1,616,000","3,544,000","-10,047,000","6,682,000","3,715,000","7,675,000","-3,785,000","4,741,000","1,603,000","-308,000","-4,044,000","3,889,000","-614,000","1,380,000","-6,014,000","468,000","-1,262,000","-2,520,000","-972,000","2,419,000","-235,000","1,872,000","-543,000","3,691,000","-267,000","-851,000","-4,873,000","585,000","-3,481,000","-767,000","-1,505,000","-428,000","-1,011,000","-3,928,000","-2,692,000","3,176,000","-146,000","-9,000","-2,980,000","-1,530,000","2,869,000","3,511,000","-510,000","5,034,000","5,097,000","5,696,000","1,063,000","14,574,000","7,673,000","-11,893,000","2,112,000","7,570,000","6,323,000","4,880,000","1,615,000","3,943,000","2,819,000","1,457,000","1,025,000","1,520,000","685,000"
		NetIncomeFromContinuingOperations,"-12,721,000","-15,142,000","-3,935,000","-1,390,000","7,746,000","-359,000","2,188,000","-2,257,000","-11,394,000","-12,414,000","-2,088,000","-2,628,000","588,000","-8,220,000","-26,293,000","-873,000","-1,572,000","-2,032,000","22,880,000","6,188,000","1,947,000","-1,022,000","4,213,000","1,644,000","-1,229,000","-2,051,000","2,050,000","-957,000","-1,889,000","-3,644,000","-1,625,000","-2,636,000","-2,741,000","-3,610,000","-278,000","-1,668,000","-638,000","-2,163,000","1,077,000",,,,,,"-2,456,000","-3,855,000","-1,280,000","-3,459,000","-3,761,000","-2,018,000","7,000","-13,494,000","-2,364,000","-1,828,000","-235,000","-2,753,000","661,000","-542,000","3,624,000","3,091,000","2,034,000","1,755,000","7,115,000","2,950,000","-9,049,000","1,107,000","5,810,000","3,801,000","2,704,000","1,486,000","2,070,000","878,000","591,000","221,000","1,385,000","1,068,000"
		OperatingGainsLosses,"-7,112,000","14,000","45,000","37,000","-7,208,000","-59,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000","-2,000","0","0","-148,000","8,000",,,,,,,"378,000","-17,000","30,000","76,000","254,000",,,,,,,"1,176,000","4,717,000","2,114,000","1,161,000","1,190,000","-252,000","454,000","528,000","584,000",,
			GainLossOnSaleOfPPE,,"14,000",,"37,000","-23,000","-59,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000",,,,"-148,000","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,410,000","427,000","330,000","307,000","346,000","361,000","338,000","341,000","355,000","360,000","364,000","369,000","404,000","411,000","360,000","305,000","290,000","254,000","266,000","258,000","244,000","248,000","249,000","249,000","244,000","240,000","274,000","290,000","295,000","327,000","347,000","329,000","329,000","331,000","331,000","327,000","326,000","320,000","420,000","418,000","425,000","343,000","154,000","164,000","162,000","157,000","157,000","167,000","199,000","194,000","196,000","211,000","225,000","228,000","233,000","220,000","228,000","223,000","232,000","227,000","228,000","226,000","233,000","223,000","214,000","199,000","186,000","185,000","157,000","161,000","1,579,000","134,000","123,000","123,000","108,000","141,000"
			DepreciationAndAmortization,"1,410,000","427,000","330,000","307,000","346,000","361,000","338,000","341,000","355,000","360,000","364,000","369,000","404,000","411,000","360,000","305,000","290,000","254,000","266,000","258,000","244,000","248,000","249,000","249,000","244,000","240,000","274,000","290,000","295,000","327,000","347,000","329,000","329,000","331,000","331,000","327,000","326,000","320,000","420,000","418,000","425,000","343,000","154,000","164,000","162,000","157,000","157,000","167,000","199,000","194,000","196,000","211,000","225,000","228,000","233,000","220,000","228,000","223,000","232,000","227,000","228,000","226,000","233,000","223,000","214,000","199,000","186,000","185,000","157,000","161,000","1,579,000","134,000","123,000","123,000","108,000","141,000"
				Depreciation,,,,,,"361,000","338,000","341,000","355,000","360,000","364,000","369,000","404,000","411,000","360,000","305,000","290,000","254,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,"360,000","305,000","290,000","254,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,"360,000","305,000","290,000","254,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-139,000","41,000","-189,000","3,000","6,000","45,000","-143,000","-81,000","-11,000","15,000","36,000","-1,000","-7,000","6,000","20,945,000","-183,000","-587,000","-2,737,000","-18,678,000",,,,,,,,,,,,,,,,"0",,,,"6,000","0",,,"8,000","5,000",,,,"-19,000","-7,000","-3,000",,"10,506,000","139,000","-105,000","-2,032,000","168,000","-13,000","-15,000","-2,929,000","83,000","124,000","60,000","919,000","900,000","-4,606,000","22,000","-1,347,000","604,000","6,000","2,000","283,000","-362,000","-65,000","-332,000","-587,000","0"
			DeferredIncomeTax,"-139,000","41,000","-189,000","3,000","6,000","45,000","-143,000","-81,000","-11,000","15,000","36,000","-1,000","-7,000","6,000","20,945,000","-183,000","-587,000","-2,737,000","-18,678,000",,,,,,,,,,,,,,,,"0",,,,"6,000","0",,,"8,000","5,000",,,,"-19,000","-7,000","-3,000",,"10,506,000","139,000","-105,000","-2,032,000","168,000","-13,000","-15,000","-2,929,000","83,000","124,000","60,000","919,000","900,000","-4,606,000","22,000","-1,347,000","604,000","6,000","2,000","283,000","-362,000","-65,000","-332,000","-587,000","0"
		AmortizationOfSecurities,,,,,,,,,,,,,,"690,000","530,000","482,000","449,000","373,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"0","0","0","0","0","182,000","0","0","805,000",,,,,,,,,,,,,,,,,,"0",,,,"650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"226,000","550,000","-14,000","-391,000","274,000","218,000","394,000","54,000","1,106,000","590,000","-57,000","666,000","-117,000","98,000","380,000","390,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000","24,000","2,000","-9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"15,369,000","4,043,000","4,665,000","3,742,000","2,919,000","1,846,000","2,052,000","1,982,000","4,095,000","1,980,000","2,828,000","3,178,000","2,519,000","1,307,000","1,633,000","1,631,000","2,205,000","1,688,000","1,487,000","997,000","1,231,000","1,395,000","1,061,000","570,000","750,000","1,332,000","1,097,000","1,044,000","982,000","961,000","1,001,000","980,000","693,000","625,000","740,000","748,000","802,000","820,000","826,000","809,000","787,000","738,000","802,000","894,000","1,325,000","886,000","980,000","1,081,000","1,761,000","828,000","840,000","895,000","1,456,000","1,045,000",,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"-6,000","0",,,"-1,000","-5,000",,,"0","0","0","0","88,000","111,000","-87,000","-26,000",,,,,,,,,,,,,,,,,,,,,,
