name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
TotalRevenue,"929,445,000","252,585,000","240,766,000","226,354,000","209,740,000","196,504,000","182,911,000","168,586,000","155,508,000","150,577,000","143,298,000","129,378,000","122,550,000","116,168,000","114,690,000","101,887,000","98,221,000"
	OperatingRevenue,"929,445,000","252,585,000","240,766,000","226,354,000","209,740,000","196,504,000","182,911,000","168,586,000","155,508,000","150,577,000","143,298,000","129,378,000","122,550,000","116,168,000","114,690,000","101,887,000","98,221,000"
CostOfRevenue,"172,876,000","47,916,000","44,460,000","41,667,000","38,833,000","35,335,000","33,120,000","30,711,000","28,542,000","31,137,000","28,705,000","39,546,000","29,543,000","29,951,000","25,823,000","26,336,000","24,691,000"
GrossProfit,"756,569,000","204,669,000","196,306,000","184,687,000","170,907,000","161,169,000","149,791,000","137,875,000","126,966,000","119,440,000","114,593,000","89,832,000","93,007,000","86,217,000","88,867,000","75,551,000","73,530,000"
OperatingExpense,"675,237,000","187,040,000","175,091,000","163,437,000","149,669,000","140,300,000","125,686,000","114,998,000","102,881,000","111,406,000","106,839,000","243,576,000","125,898,000","108,557,000","92,469,000","101,748,000","92,335,000"
	SellingGeneralAndAdministration,"488,738,000","136,668,000","126,676,000","117,990,000","107,404,000","99,945,000","88,271,000","78,800,000","70,690,000","76,859,000","74,283,000","186,919,000","90,097,000","75,233,000","62,947,000","70,094,000","62,390,000"
		GeneralAndAdministrativeExpense,"126,622,000","35,368,000","32,643,000","31,689,000","26,922,000","25,140,000","23,442,000","22,110,000","21,527,000","21,265,000","21,883,000","86,953,000","31,882,000","27,014,000","19,672,000","25,211,000","19,881,000"
			OtherGandA,"126,622,000","35,368,000","32,643,000","31,689,000","26,922,000","25,140,000","23,442,000","22,110,000","21,527,000","21,265,000","21,883,000","86,953,000","31,882,000","27,014,000","19,672,000","25,211,000","19,881,000"
		SellingAndMarketingExpense,"362,116,000","101,300,000","94,033,000","86,301,000","80,482,000","74,805,000","64,829,000","56,690,000","49,163,000","55,594,000","52,400,000","99,966,000","58,215,000","48,219,000","43,275,000","44,883,000","42,509,000"
	ResearchAndDevelopment,"156,342,000","42,833,000","40,876,000","37,908,000","34,725,000","31,668,000","28,730,000","27,512,000","23,505,000","24,509,000","22,517,000","46,596,000","25,659,000","21,530,000","17,643,000","19,690,000","17,896,000"
	DepreciationAmortizationDepletionIncomeStatement,"30,157,000","7,539,000","7,539,000","7,539,000","7,540,000","8,687,000","8,685,000","8,686,000","8,686,000","10,038,000","10,039,000","10,061,000","10,142,000","11,794,000","11,879,000","11,964,000","12,049,000"
		DepreciationAndAmortizationInIncomeStatement,"30,157,000","7,539,000","7,539,000","7,539,000","7,540,000","8,687,000","8,685,000","8,686,000","8,686,000","10,038,000","10,039,000","10,061,000","10,142,000","11,794,000","11,879,000","11,964,000","12,049,000"
			Amortization,"30,157,000","7,539,000","7,539,000","7,539,000","7,540,000","8,687,000","8,685,000","8,686,000","8,686,000","10,038,000","10,039,000","10,061,000","10,142,000","11,794,000","11,879,000","11,964,000","12,049,000"
				AmortizationOfIntangiblesIncomeStatement,"30,157,000","7,539,000","7,539,000","7,539,000","7,540,000","8,687,000","8,685,000","8,686,000","8,686,000","10,038,000","10,039,000","10,061,000","10,142,000","11,794,000","11,879,000","11,964,000","12,049,000"
OperatingIncome,"81,332,000","17,629,000","21,215,000","21,250,000","21,238,000","20,869,000","24,105,000","22,877,000","24,085,000","8,034,000","7,754,000","-153,744,000","-32,891,000","-22,340,000","-3,602,000","-26,197,000","-18,805,000"
