name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"363,676,000","380,183,000","399,728,000","421,289,000","432,910,000","436,054,000","262,449,000","103,112,000","108,399,000","10,676,000"
	CurrentAssets,"321,525,000","367,019,000","388,963,000","412,277,000","432,327,000","435,992,000","262,404,000","100,664,000","107,413,000","9,809,000"
		CashCashEquivalentsAndShortTermInvestments,"316,596,000","363,667,000","385,149,000","409,964,000","429,855,000","434,219,000","259,484,000","98,103,000","105,035,000","9,017,000"
			CashAndCashEquivalents,"159,086,000","363,667,000","385,149,000","409,964,000","429,855,000","434,219,000","259,484,000","98,103,000","105,035,000","9,017,000"
				CashFinancial,,,,,,,,,,"9,017,000"
			OtherShortTermInvestments,"157,510,000",,,,,,,,,
		Receivables,,,,,,"0","527,000","527,000","1,191,000","536,000"
			DuefromRelatedPartiesCurrent,,,,,,"0","527,000","527,000","1,191,000","536,000"
		PrepaidAssets,"4,929,000","3,352,000","3,814,000","2,313,000","2,472,000","1,773,000","2,393,000","1,393,000","1,187,000","256,000"
		AssetsHeldForSaleCurrent,,,,,,,,"641,000",,
	TotalNonCurrentAssets,"42,151,000","13,164,000","10,765,000","9,012,000","583,000","62,000","45,000","2,448,000","986,000","867,000"
		NetPPE,"6,967,000","3,472,000","562,000","167,000","47,000","52,000","45,000","37,000","757,000","860,000"
			GrossPPE,"7,088,000","3,535,000","601,000","200,000","77,000","77,000","142,000","129,000","2,320,000","2,309,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"441,000","407,000","362,000","69,000","72,000","72,000","123,000","111,000","1,891,000","1,880,000"
				OtherProperties,"6,418,000","2,899,000",,,,,,,,
				ConstructionInProgress,,,"10,000",,,,,,"0","0"
				Leases,"229,000","229,000","229,000","131,000","5,000","5,000","19,000","18,000","429,000","429,000"
			AccumulatedDepreciation,"-121,000","-63,000","-39,000","-33,000","-30,000","-25,000","-97,000","-92,000","-1,563,000","-1,449,000"
		InvestmentsAndAdvances,"25,109,000",,,,,,,,,
			InvestmentinFinancialAssets,"25,109,000",,,,,,,,,
				AvailableForSaleSecurities,"25,109,000",,,,,,,,,
		NonCurrentPrepaidAssets,"10,009,000","9,692,000",,,,,,,,
		OtherNonCurrentAssets,"66,000",,"10,203,000","8,845,000","536,000","10,000",,"2,411,000","229,000","7,000"
TotalLiabilitiesNetMinorityInterest,"20,080,000","17,134,000","14,556,000","16,275,000","14,426,000","6,209,000","10,433,000","12,467,000","9,282,000","10,952,000"
	CurrentLiabilities,"15,308,000","15,295,000","12,488,000","13,979,000","14,129,000","6,204,000","7,197,000","7,719,000","3,990,000","4,984,000"
		PayablesAndAccruedExpenses,"11,911,000","11,259,000","9,612,000","11,671,000","12,092,000","4,230,000","3,502,000","5,334,000","2,707,000","4,033,000"
			Payables,"6,579,000","5,394,000","5,278,000","6,594,000","7,529,000","183,000","1,421,000","1,865,000","1,987,000","3,748,000"
				AccountsPayable,"5,133,000","3,764,000","3,683,000","5,806,000","7,350,000","4,000","1,421,000","1,865,000","1,987,000","3,748,000"
				TotalTaxPayable,,"0","0","0","179,000","179,000",,,,
					IncomeTaxPayable,,"0","0","0","179,000","179,000",,,,
				OtherPayable,"1,446,000","1,630,000","1,595,000","788,000",,,,,,
			CurrentAccruedExpenses,"5,332,000","5,865,000","4,334,000","5,077,000","4,563,000","4,047,000","2,081,000","3,469,000","720,000","285,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"2,372,000","3,294,000","2,173,000","1,769,000","1,802,000","1,974,000","1,124,000","671,000","301,000","864,000"
		CurrentDebtAndCapitalLeaseObligation,"1,025,000","742,000","703,000","539,000","235,000",,"2,571,000","1,714,000","857,000",
			CurrentDebt,,,,,,,"2,571,000","1,714,000","857,000",
				OtherCurrentBorrowings,,,,,,,"2,571,000","1,714,000","857,000",
			CurrentCapitalLeaseObligation,"1,025,000","742,000","703,000","539,000","235,000",,,,,
		OtherCurrentLiabilities,,,,,,,"240,000","301,000","125,000","87,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,772,000","1,839,000","2,068,000","2,296,000","297,000","5,000","3,236,000","4,748,000","5,292,000","5,968,000"
		LongTermDebtAndCapitalLeaseObligation,,,,,,,"3,189,000","3,928,000","4,672,000","5,421,000"
			LongTermDebt,,,,,,,"3,189,000","3,928,000","4,672,000","5,421,000"
		NonCurrentDeferredLiabilities,,,,,,,,"0","108,000","135,000"
			NonCurrentDeferredRevenue,,,,,,,,"0","108,000","135,000"
		OtherNonCurrentLiabilities,"4,772,000","1,839,000","2,068,000","2,296,000","297,000","5,000","47,000","820,000","512,000","412,000"
TotalEquityGrossMinorityInterest,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","252,016,000","90,645,000","99,117,000","-276,000"
	StockholdersEquity,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","252,016,000","90,645,000","99,117,000","-276,000"
		CapitalStock,"41,000","41,000","40,000","40,000","40,000","40,000","37,000","175,046,000","175,046,000","70,366,000"
			PreferredStock,,,,,"0","0","0","175,043,000","175,043,000","70,363,000"
			CommonStock,"41,000","41,000","40,000","40,000","40,000","40,000","37,000","3,000","3,000","3,000"
		AdditionalPaidInCapital,"570,679,000","564,993,000","558,679,000","553,955,000","551,151,000","548,327,000","351,727,000","5,166,000","2,307,000","2,140,000"
		RetainedEarnings,"-226,518,000","-201,985,000","-173,547,000","-148,981,000","-132,707,000","-118,522,000","-99,748,000","-89,567,000","-78,236,000","-72,782,000"
		GainsLossesNotAffectingRetainedEarnings,"-606,000",,,,,,,,,
TotalCapitalization,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","255,205,000","94,573,000","103,789,000","5,145,000"
PreferredStockEquity,,,,,,,,"175,043,000","175,043,000","70,363,000"
CommonStockEquity,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","252,016,000","-84,398,000","-75,926,000","-70,639,000"
CapitalLeaseObligations,"1,025,000","742,000","703,000","539,000","235,000",,,,,
NetTangibleAssets,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","252,016,000","90,645,000","99,117,000","-276,000"
WorkingCapital,"306,217,000","351,724,000","376,475,000","398,298,000","418,198,000","429,788,000","255,207,000","92,945,000","103,423,000","4,825,000"
InvestedCapital,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","257,776,000","-78,756,000","-70,397,000","-65,218,000"
TangibleBookValue,"343,596,000","363,049,000","385,172,000","405,014,000","418,484,000","429,845,000","252,016,000","-84,398,000","-75,926,000","-70,639,000"
TotalDebt,"1,025,000","742,000","703,000","539,000","235,000",,"5,760,000","5,642,000","5,529,000","5,421,000"
ShareIssued,"40,656,632","40,587,067","40,486,287","40,325,270","40,208,569","39,844,522","37,107,522","34,711,553","34,711,553","34,711,553"
OrdinarySharesNumber,"40,656,632","40,587,067","40,486,287","40,325,270","40,208,569","39,844,522","37,107,522","34,711,553","34,711,553","34,711,553"
