name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,03/31/2011,03/31/2010
OperatingCashFlow,"-17,740,000","-14,836,000","-3,942,000","5,426,000","-4,388,000","9,369,000","-3,325,000","-16,361,000","964,000","1,845,000","4,494,000","-1,627,000","2,572,000","-731,000","4,928,000","-393,000","-4,776,000","-11,536,000","-2,832,000","-10,274,000","-6,159,000","-16,621,000","2,000","-3,183,000","-4,155,000","-2,161,000","2,956,000","4,187,000","-1,973,000","-1,714,000","-8,236,000","-3,190,000"
	CashFlowFromContinuingOperatingActivities,"-17,740,000","-14,836,000","-3,942,000","5,426,000","-4,388,000","9,369,000","-3,325,000","-16,361,000","964,000","1,845,000","4,494,000","-1,627,000","2,572,000","-731,000","4,928,000","-393,000","-4,776,000","-11,536,000","-2,832,000","-10,274,000","-6,159,000","-16,621,000","2,000","-3,183,000","-4,155,000","-2,161,000","2,956,000","4,187,000","-1,973,000","-1,714,000","-8,236,000","-3,190,000"
		NetIncomeFromContinuingOperations,"-52,305,000","-10,461,000","-20,014,000","-12,924,000","-8,906,000","-9,416,000","-15,717,000","-14,346,000","-17,534,000","-4,326,000","-7,680,000","-4,081,000","-4,158,000","-7,068,000","-5,987,000","-7,070,000","-7,732,000","-14,442,000","-9,334,000","-4,851,000","-977,000","-2,160,000","103,000","808,000","-254,000","-2,330,000","818,000","13,000","974,000","-905,000","-1,801,000","-3,087,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,"0","-468,000","-37,000","-54,000","-880,000","248,000","-24,000","-47,000","-2,000",
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,"0","-468,000","-37,000","-54,000","-880,000","248,000","-24,000","-47,000",,
		DepreciationAmortizationDepletion,"5,070,000","1,508,000","1,431,000","1,095,000","1,036,000","1,040,000","1,102,000","1,108,000","1,126,000","1,168,000","1,172,000","1,220,000","1,262,000","1,155,000","1,140,000","1,136,000","1,138,000","1,120,000","1,082,000","1,021,000","973,000","874,000","726,000","660,000","770,000","713,000","690,000","443,000","425,000","414,000","323,000","338,000"
			DepreciationAndAmortization,"5,070,000","1,508,000","1,431,000","1,095,000","1,036,000","1,040,000","1,102,000","1,108,000","1,126,000","1,168,000","1,172,000","1,220,000","1,262,000","1,155,000","1,140,000","1,136,000","1,138,000","1,120,000","1,082,000","1,021,000","973,000","874,000","726,000","660,000","770,000","713,000","690,000","443,000","425,000","414,000","323,000","338,000"
				Depreciation,"5,070,000","1,508,000","1,431,000","1,095,000","1,036,000","1,040,000","1,102,000","1,108,000","1,126,000","1,168,000","1,172,000","1,220,000","1,262,000","1,155,000","1,140,000","1,136,000","1,138,000","1,120,000",,,,,,,,,,,,,"243,000","257,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000","81,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000","81,000"
