name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,06/30/2004
TotalAssets,"7,389,891,000","7,186,223,000","7,183,688,000","7,283,735,000","7,357,994,000","7,335,153,000","7,310,209,000","6,758,175,000","6,773,833,000","6,610,401,000","6,641,006,000","6,634,829,000","6,658,751,000","6,702,440,000","6,656,211,000","6,579,874,000","4,933,700,000","4,843,847,000","4,808,150,000","4,818,127,000","4,796,242,000","4,585,308,000","4,523,281,000","4,500,059,000","4,486,009,000","4,405,046,000","4,301,941,000","4,237,187,000","3,713,729,000","3,547,869,000","3,531,094,000","3,510,009,000","3,370,731,000","3,259,026,000","3,237,770,000","3,145,360,000","2,866,549,000","2,897,607,000","2,920,099,000","2,937,006,000","2,910,072,000","2,862,780,000","2,910,037,000","2,904,136,000","2,893,928,000","2,881,195,000","2,376,272,000","2,339,813,000","2,251,900,000","2,203,237,000","2,164,649,000","2,124,921,000","2,109,391,000","2,055,232,000","2,057,708,000","2,083,039,000","2,060,039,000","2,030,886,000","1,950,471,000","1,917,253,000","2,007,739,000","2,018,030,000","2,027,697,000","2,007,525,000","2,034,193,000","2,062,773,000","2,075,959,000","2,107,005,000","2,045,995,000","1,888,176,000","1,936,518,000"
TotalLiabilitiesNetMinorityInterest,"6,434,722,000","6,190,753,000","6,169,265,000","6,240,791,000","6,294,182,000","6,242,812,000","6,186,149,000","5,673,998,000","5,704,161,000","5,515,831,000","5,530,217,000","5,507,670,000","5,500,640,000","5,519,179,000","5,420,130,000","5,311,126,000","3,942,499,000","3,854,574,000","3,793,917,000","3,760,946,000","3,702,232,000","3,470,656,000","3,403,747,000","3,352,430,000","3,321,263,000","3,238,570,000","3,138,331,000","3,069,812,000","3,217,988,000","3,054,635,000","3,039,149,000","3,015,333,000","2,899,254,000","2,794,511,000","2,768,511,000","2,677,653,000","2,382,821,000","2,405,820,000","2,423,395,000","2,445,389,000","2,423,875,000","2,376,210,000","2,418,582,000","2,416,262,000","2,414,661,000","2,404,375,000","1,892,300,000","1,853,887,000","1,769,895,000","1,722,751,000","1,682,692,000","1,648,201,000","1,631,431,000","1,581,271,000","1,583,110,000","1,611,668,000","1,582,754,000","1,557,364,000","1,481,293,000","1,454,661,000","1,534,152,000","1,546,749,000","1,539,940,000","1,516,639,000","1,531,195,000","1,556,359,000","1,569,913,000","1,601,523,000","1,544,529,000","1,585,940,000","1,643,013,000"
TotalEquityGrossMinorityInterest,"955,169,000","995,470,000","1,014,423,000","1,042,944,000","1,063,812,000","1,092,341,000","1,124,060,000","1,084,177,000","1,069,672,000","1,094,570,000","1,110,789,000","1,127,159,000","1,158,111,000","1,183,261,000","1,236,081,000","1,268,748,000","991,201,000","989,273,000","1,014,233,000","1,057,181,000","1,094,010,000","1,114,652,000","1,119,534,000","1,147,629,000","1,164,746,000","1,166,476,000","1,163,610,000","1,167,375,000","495,741,000","493,234,000","491,945,000","494,676,000","471,477,000","464,515,000","469,259,000","467,707,000","483,728,000","491,787,000","496,704,000","491,617,000","486,197,000","486,570,000","491,455,000","487,874,000","479,267,000","476,820,000","483,972,000","485,926,000","482,005,000","480,486,000","481,957,000","476,720,000","477,960,000","473,961,000","474,598,000","471,371,000","477,285,000","473,522,000","469,178,000","462,592,000","473,587,000","471,281,000","487,757,000","490,886,000","502,998,000","506,414,000","506,046,000","505,482,000","501,466,000","302,236,000","293,505,000"
	StockholdersEquity,"955,169,000","995,470,000","1,014,423,000","1,042,944,000","1,063,812,000","1,092,341,000","1,124,060,000","1,084,177,000","1,069,672,000","1,094,570,000","1,110,789,000","1,127,159,000","1,158,111,000","1,183,261,000","1,236,081,000","1,268,748,000","991,201,000","989,273,000","1,014,233,000","1,057,181,000","1,094,010,000","1,114,652,000","1,119,534,000","1,147,629,000","1,164,746,000","1,166,476,000","1,163,610,000","1,167,375,000","495,741,000","493,234,000","491,945,000","494,676,000","471,477,000","464,515,000","469,259,000","467,707,000","483,728,000","491,787,000","496,704,000","491,617,000","486,197,000","486,570,000","491,455,000","487,874,000","479,267,000","476,820,000","483,972,000","485,926,000","482,005,000","480,486,000","481,957,000","476,720,000","477,960,000","473,961,000","474,598,000","471,371,000","477,285,000","473,522,000","469,178,000","462,592,000","473,587,000","471,281,000","487,757,000","490,886,000","502,998,000","506,414,000","506,046,000","505,482,000","501,466,000","302,236,000","293,505,000"
		CapitalStock,"714,000","735,000","758,000","790,000","820,000","849,000","895,000","837,000","837,000","851,000","868,000","891,000","915,000","938,000","978,000","996,000","788,000","795,000","815,000","844,000","873,000","892,000","891,000","918,000","935,000","935,000","935,000","935,000","7,378,000","7,378,000","7,378,000","7,378,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","1,000","1,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,"0",,,,"0","0",,"0","0","0","0","0","0"
			CommonStock,"714,000","735,000","758,000","790,000","820,000","849,000","895,000","837,000","837,000","851,000","868,000","891,000","915,000","938,000","978,000","996,000","788,000","795,000","815,000","844,000","873,000","892,000","891,000","918,000","935,000","935,000","935,000","935,000","7,378,000","7,378,000","7,378,000","7,378,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","7,274,000","1,000","1,000"
		AdditionalPaidInCapital,"561,176,000","587,392,000","616,894,000","654,396,000","691,280,000","724,389,000","769,269,000","722,871,000","721,474,000","737,539,000","758,385,000","787,394,000","817,675,000","848,145,000","897,551,000","922,711,000","653,045,000","662,093,000","690,204,000","728,790,000","768,373,000","795,773,000","813,648,000","849,173,000","871,156,000","870,912,000","870,701,000","870,480,000","225,602,000","225,404,000","225,130,000","231,870,000","216,049,000","215,857,000","215,783,000","215,722,000","215,668,000","215,609,000","215,582,000","215,539,000","215,466,000","215,381,000","215,309,000","215,258,000","215,191,000","215,212,000","214,777,000","213,529,000","212,252,000","210,975,000","209,928,000","208,577,000","207,258,000","205,966,000","204,646,000","203,266,000","201,966,000","200,677,000","199,335,000","197,976,000","196,699,000","195,210,000","193,241,000","192,534,000","208,747,000","208,206,000","207,914,000","207,838,000","207,820,000","499,000","499,000"
		RetainedEarnings,"441,522,000","431,549,000","420,701,000","408,367,000","397,594,000","388,376,000","378,134,000","387,911,000","380,671,000","377,896,000","373,004,000","366,679,000","363,072,000","356,993,000","350,838,000","359,096,000","355,270,000","353,536,000","354,123,000","361,039,000","359,083,000","357,540,000","353,763,000","350,806,000","347,717,000","345,343,000","343,335,000","342,148,000","345,325,000","341,447,000","339,278,000","336,355,000","333,526,000","331,740,000","328,753,000","326,167,000","324,242,000","322,498,000","321,321,000","319,661,000","318,463,000","318,286,000","318,586,000","317,354,000","314,322,000","312,442,000","313,379,000","312,844,000","311,649,000","310,629,000","309,930,000","309,687,000","309,264,000","308,830,000","307,468,000","307,186,000","307,273,000","305,517,000","305,066,000","304,970,000","305,675,000","306,387,000","306,734,000","306,728,000","305,798,000","304,101,000","302,857,000","301,857,000","293,773,000","289,947,000","282,959,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","73,535,000","73,535,000","73,535,000","74,768,000","75,588,000","75,775,000","73,194,000","71,983,000","70,497,000","69,299,000","68,311,000","67,664,000","67,330,000","66,294,000","61,771,000","59,200,000","58,054,000","58,054,000","58,054,000","54,738,000","50,109,000","48,712,000","46,953,000","45,985,000","42,801,000","40,220,000","32,565,000","32,023,000","30,479,000","27,274,000","24,754,000","24,361,000","18,034,000","17,358,000","4,251,000",,,"2,268,000",,,,,"0"
