name,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"9,664,327,000","8,962,013,000","10,770,033,000","7,000,551,000"
TotalLiabilitiesNetMinorityInterest,"6,239,042,000","2,700,599,000","3,451,622,000","2,279,849,000"
TotalEquityGrossMinorityInterest,"3,425,285,000","6,261,414,000","7,318,411,000","4,720,702,000"
	StockholdersEquity,"521,420,000","1,606,593,000","3,506,720,000","2,460,868,000"
		CapitalStock,"309,000","1,606,593,000","3,506,720,000","2,460,868,000"
			PreferredStock,"0",,,
			CommonStock,"309,000","1,606,593,000","3,506,720,000","2,460,868,000"
		AdditionalPaidInCapital,"479,854,000",,,
		RetainedEarnings,"41,257,000",,,
		OtherEquityInterest,,"1,606,593,000","3,506,720,000","2,460,868,000"
	MinorityInterest,"2,903,865,000","4,654,821,000","3,811,691,000","2,259,834,000"
TotalCapitalization,"965,392,000","2,051,037,000","3,751,594,000","2,755,510,000"
CommonStockEquity,"521,420,000","1,606,593,000","3,506,720,000","2,460,868,000"
NetTangibleAssets,"521,420,000","1,606,593,000","3,506,720,000","2,460,868,000"
InvestedCapital,"965,392,000","2,051,037,000","3,751,594,000","2,755,510,000"
TangibleBookValue,"521,420,000","1,606,593,000","3,506,720,000","2,460,868,000"
TotalDebt,"443,972,000","621,447,000","425,444,000","490,629,000"
ShareIssued,"79,070,565","77,295,155","77,295,155","77,295,155"
OrdinarySharesNumber,"79,070,565","77,295,155","77,295,155","77,295,155"
