name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,08/31/2020,06/30/2020,05/31/2020,03/31/2020,12/31/2019,08/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,12/31/2003
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,610,000","1,691,000","1,763,000",,,
		Inventory,"77,711,000","68,328,000","64,563,000","59,182,000","63,775,000","66,683,000","65,499,000","65,499,000","66,850,000","66,850,000","49,010,000","52,955,000","51,010,000","44,281,000","45,668,000","45,975,000","41,420,000","40,161,000","41,229,000","39,961,000","37,093,000","37,664,000","38,326,000","40,181,000","38,834,000","36,473,000","39,108,000","36,861,000","39,826,000","36,283,000","37,899,000","37,944,000","35,213,000","33,542,000","33,578,000","30,321,000","30,282,000","27,996,000","29,916,000","31,061,000","26,762,000","26,585,000","26,769,000","30,702,000","25,734,000","28,647,000","29,643,000","26,998,000","25,444,000","27,675,000","26,575,000","25,890,000","26,319,000","25,185,000","28,937,000","24,342,000","25,235,000","22,243,000","22,128,000","24,931,000","23,513,000","21,595,000","21,289,000","22,803,000","19,108,000","20,207,000","19,726,000","24,231,000","23,194,000","20,191,000","21,231,000","21,505,000","23,357,000","20,541,000","19,480,000"
			RawMaterials,,,,,,,,,,,,,,,,"42,921,000",,,,"36,645,000",,,,"36,644,000",,,,"30,167,000",,,,"31,627,000",,,,"25,673,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,361,000",,,,"18,437,000",,,
			FinishedGoods,,"68,328,000",,,,"66,683,000",,,,,,"52,955,000",,,,"45,975,000",,,,"39,961,000",,,,"40,181,000",,,,"36,861,000",,,,"37,944,000",,,,"30,321,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,"3,054,000",,,,"3,316,000",,,,"3,537,000",,,,"6,694,000",,,,"6,317,000",,,,"4,648,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,870,000",,,,"3,068,000",,,
		PrepaidAssets,"27,857,000","27,242,000","34,094,000","43,785,000","20,372,000","24,169,000","26,288,000","26,288,000","28,873,000","28,873,000","26,025,000","19,129,000","15,438,000","37,578,000","19,544,000","25,710,000","22,382,000","33,361,000","18,718,000","18,389,000","21,317,000","41,512,000","16,541,000","17,635,000","26,865,000","42,678,000","33,832,000","20,646,000","23,701,000","31,691,000","13,267,000","30,573,000","21,846,000","30,354,000","11,991,000","18,376,000","20,466,000","21,505,000","10,628,000","11,210,000","13,598,000","21,677,000","15,066,000","12,232,000","18,813,000","21,692,000","7,718,000","9,760,000","5,911,000","8,361,000","8,222,000","6,155,000","4,544,000","10,426,000","5,742,000","6,236,000","10,655,000","4,605,000","10,877,000","11,098,000","21,085,000","24,692,000","8,337,000","13,835,000","11,502,000","20,620,000","14,582,000","13,771,000","16,928,000","21,509,000","12,656,000","13,555,000","19,563,000","11,556,000","16,040,000"
		RestrictedCash,"343,729,000","361,483,000","393,081,000","349,834,000","338,147,000","365,151,000","304,612,000","304,612,000","351,320,000","351,320,000","299,339,000","314,658,000","286,782,000","270,425,000","248,153,000","279,737,000","287,003,000","268,788,000","257,451,000","311,985,000","318,341,000","277,843,000","270,744,000","244,873,000","238,803,000","216,460,000","244,774,000","280,099,000","187,051,000","187,119,000","194,088,000","193,009,000","133,703,000","126,423,000","158,811,000","170,148,000","117,356,000","107,761,000","94,659,000","97,932,000","96,571,000","59,631,000","47,271,000","92,612,000","116,680,000","79,792,000","84,763,000","85,530,000","102,678,000","98,667,000","86,008,000","91,141,000","87,272,000","73,161,000","65,860,000","78,871,000","71,290,000","72,659,000","82,754,000","80,951,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,950,000","10,189,000","7,711,000","9,857,000","8,086,000","9,387,000","7,243,000","10,710,000","9,462,000","10,449,000","8,117,000","15,290,000","13,884,000","14,753,000","13,334,000","16,579,000","13,354,000","14,017,000","11,873,000","16,752,000","12,985,000","12,868,000","12,929,000","10,622,000","9,289,000","9,080,000","9,219,000","9,033,000","7,977,000","7,467,000","8,183,000","8,989,000","7,235,000","6,765,000","5,962,000","5,874,000","5,825,000","5,884,000","5,937,000","5,937,000","6,076,000","6,252,000","6,317,000","6,317,000","5,843,000","5,732,000","5,730,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,950,000","10,189,000","7,711,000","9,857,000","8,086,000","9,387,000","7,243,000","10,710,000","9,462,000","10,449,000","8,117,000","15,290,000","13,884,000","14,753,000","13,334,000","16,579,000","13,354,000","14,017,000","11,873,000","16,752,000","12,985,000","12,868,000","12,929,000","10,622,000","9,289,000","9,080,000","9,219,000","9,033,000","7,977,000","7,467,000","8,183,000","8,989,000","7,235,000","6,765,000","5,962,000","5,874,000","5,825,000","5,884,000","5,937,000","5,937,000","6,076,000","6,252,000","6,317,000","6,317,000","5,843,000","5,732,000","5,730,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","5,732,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
