name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,03/31/1995
OperatingCashFlow,"466,931,000","146,316,000","100,029,000","134,256,000","86,330,000","122,425,000","146,981,000","129,009,000","148,373,000","139,283,000","220,544,000","225,749,000","202,206,000","156,817,000","224,359,000","234,569,000","237,122,000","140,553,000","2,992,000","30,108,000","1,656,000","1,817,000","-5,916,000","17,546,000","1,461,000","9,724,000","19,203,000","1,502,000","22,718,000","38,014,000","26,989,000","33,810,000","22,090,000","51,659,000","53,532,000","-6,353,000","17,999,000","87,794,000","45,073,000","-16,093,000","-15,374,000","47,301,000","47,259,000","-16,870,000","-1,093,000","90,895,000","40,092,000","-6,507,000","20,442,000","48,626,000","61,272,000","46,107,000","14,324,000","79,357,000","66,918,000","35,214,000","67,147,000","54,633,000","22,347,000","35,768,000","18,024,000","19,587,000","24,462,000","53,499,000","-33,367,000","27,989,000","-12,000,000","5,000,000","-13,000,000","11,000,000","10,000,000","2,000,000","-154,000,000","29,000,000","-29,000,000","-1,000,000","-24,000,000","16,000,000","-40,000,000","11,000,000","-47,000,000","36,000,000","-20,000,000","-10,000,000","11,000,000","54,000,000","15,000,000","11,000,000","14,000,000","20,000,000","21,000,000","52,000,000","-13,000,000","-77,000,000","40,000,000","13,000,000","-5,000,000","63,000,000","68,000,000","33,000,000","8,000,000","67,000,000","61,000,000","36,000,000","8,000,000","67,000,000","9,000,000"
	CashFlowFromContinuingOperatingActivities,"466,931,000","146,316,000","100,029,000","134,256,000","86,330,000","122,425,000","146,981,000","129,009,000","148,373,000","139,283,000","220,544,000","225,749,000","202,206,000","156,817,000","224,359,000","234,569,000","237,122,000","140,553,000","2,992,000","30,108,000","1,656,000","1,817,000","-5,916,000","17,546,000","1,461,000","9,724,000","19,203,000","1,502,000","22,718,000","38,014,000","26,989,000","33,810,000","22,090,000","51,659,000","53,532,000","-6,353,000","17,999,000","87,794,000","45,073,000","-16,093,000","-15,374,000","47,301,000","47,259,000","-16,870,000","-1,093,000","90,895,000","40,092,000","-6,507,000","20,442,000","48,626,000","61,272,000","46,107,000","14,324,000","79,357,000","66,918,000","35,214,000","67,147,000","55,318,000","22,347,000","33,240,000","17,435,000","68,521,000","24,462,000","53,499,000","-33,367,000","27,989,000","-12,000,000","5,000,000","-13,000,000","11,000,000","10,000,000","2,000,000","-154,000,000","29,000,000","-29,000,000","-2,000,000","-24,000,000","16,000,000","-40,000,000","11,000,000","-47,000,000","36,000,000","-20,000,000","-10,000,000","11,000,000","54,000,000","15,000,000","11,000,000","14,000,000","20,000,000","21,000,000","52,000,000","-13,000,000","-77,000,000","40,000,000","13,000,000","-5,000,000","63,000,000","68,000,000","33,000,000","8,000,000","67,000,000","61,000,000","36,000,000","8,000,000","67,000,000","9,000,000"
		NetIncomeFromContinuingOperations,"413,714,000","124,183,000","141,480,000","119,886,000","28,165,000","98,799,000","125,096,000","94,234,000","92,776,000","122,268,000","174,922,000","175,876,000","196,368,000","197,436,000","229,632,000","199,466,000","201,448,000","223,673,000","55,629,000","-3,919,000","-17,383,000","-26,344,000","-48,103,000","-22,967,000","-128,398,000","-36,375,000","-26,248,000","-22,817,000","-55,608,000","-83,483,000","-34,943,000","-155,433,000","-11,517,000","-28,221,000","-7,630,000","4,382,000","4,210,000","28,639,000","29,626,000","41,847,000","17,529,000","57,055,000","40,297,000","28,569,000","27,263,000",,"24,612,000","39,322,000","33,528,000","34,308,000","6,864,000","-37,091,000","8,469,000","34,577,000","83,400,000","53,690,000","38,648,000","39,970,000","33,434,000","62,442,000","17,855,000","77,280,000","9,789,000","8,911,000","-4,646,000","-148,180,000","16,000,000","5,000,000","2,000,000","9,000,000","-10,000,000",,,"-30,000,000","6,000,000","7,000,000","-9,000,000","-2,000,000","-5,000,000","-7,000,000","-4,000,000","-55,000,000","4,000,000","-39,000,000","3,000,000","3,000,000","7,000,000","11,000,000","2,000,000","-13,000,000","17,000,000","22,000,000","16,000,000","17,000,000","-113,000,000","31,000,000","35,000,000","-276,000,000","37,000,000","42,000,000","37,000,000","37,000,000","35,000,000","38,000,000","35,000,000","49,000,000","-46,000,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"0","0","0","23,827,000","-9,391,000","-2,928,000","739,000","739,000","-3,862,000","1,062,000","1,056,000","1,046,000","2,152,000","990,000","1,262,000","18,950,000","1,004,000","2,081,000","1,012,000","-13,371,000","923,000","1,300,000","1,164,000","9,554,000","541,000","-912,000","657,000","23,485,000","-4,203,000","3,376,000","3,063,000","-11,569,000","9,992,000","-5,968,000","-1,576,000","-4,592,000","4,361,000","65,960,000","-2,993,000","43,098,000","-29,478,000","1,456,000","20,202,000","5,854,000","14,960,000","-39,528,000","5,040,000","-3,136,000","150,000","303,000","8,644,000","12,134,000","1,000,000","-2,000,000","3,000,000","-2,000,000","-13,000,000","4,000,000","7,000,000","27,000,000","-12,000,000","-7,000,000","5,000,000",,,"-5,000,000","3,000,000","51,000,000","1,000,000","68,000,000","-5,000,000","-21,000,000","21,000,000","8,000,000","6,000,000","30,000,000","6,000,000",,,"-3,000,000","143,000,000",,,,,,,,,,,,"26,000,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"641,000","-303,000","199,000","23,000","-158,000","-412,000","-2,800,000","-139,000","-577,000","187,000","-384,000","-689,000","-2,867,000","10,482,000","-9,151,000","-5,617,000","-4,506,000","8,817,000","5,479,000","-9,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-12,174,000","-1,416,000","-1,684,000","774,000","1,024,000","1,075,000","54,480,000","-1,090,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,"-3,959,000","748,000","739,000","739,000","-3,862,000","1,062,000","1,056,000","1,046,000","2,152,000","990,000","1,262,000","18,950,000","1,004,000","2,081,000","1,012,000","-14,012,000","1,226,000","1,101,000","1,141,000","9,712,000","953,000","1,888,000","796,000","24,062,000","1,342,000","873,000","907,000","2,272,000","2,951,000","2,237,000","2,452,000","-293,000",,,"1,415,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"63,611,000","14,434,000","17,301,000","15,584,000","16,292,000","16,539,000","17,889,000","16,241,000","14,549,000","14,284,000","15,432,000","15,357,000","15,445,000","15,585,000","18,667,000","16,050,000","15,368,000","16,328,000","15,461,000","17,688,000","15,985,000","17,309,000","20,116,000","19,547,000","23,770,000","19,458,000","18,014,000","18,814,000","20,570,000","26,585,000","26,616,000","26,846,000","39,661,000","51,627,000","26,902,000","24,492,000","20,376,000","23,428,000","21,869,000","20,276,000","16,087,000","21,271,000","20,361,000","20,542,000","19,779,000","13,489,000","10,478,000","8,613,000","10,084,000","8,832,000","7,703,000","8,174,000","8,028,000","8,679,000","9,332,000","8,858,000","8,558,000","13,521,000","9,282,000","8,328,000","7,874,000","9,174,000","9,458,000","11,246,000","9,246,000","8,926,000","10,000,000","9,000,000","9,000,000","9,000,000","9,000,000","8,000,000","9,000,000","9,000,000","7,000,000","8,000,000","7,000,000","7,000,000","7,000,000","8,000,000","7,000,000","9,000,000","8,000,000","9,000,000","10,000,000","11,000,000","10,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","12,000,000","13,000,000","12,000,000","12,000,000","14,000,000","11,000,000","14,000,000","13,000,000","11,000,000","8,000,000","9,000,000","9,000,000","10,000,000","8,000,000","10,000,000"
			DepreciationAndAmortization,"63,611,000","14,434,000","17,301,000","15,584,000","16,292,000","16,539,000","17,889,000","16,241,000","14,549,000","14,284,000","15,432,000","15,357,000","15,445,000","15,585,000","18,667,000","16,050,000","15,368,000","16,328,000","15,461,000","17,688,000","15,985,000","17,309,000","20,116,000","19,547,000","23,770,000","19,458,000","18,014,000","18,814,000","20,570,000","26,585,000","26,616,000","26,846,000","39,661,000","51,627,000","26,902,000","24,492,000","20,376,000","23,428,000","21,869,000","20,276,000","16,087,000","21,271,000","20,361,000","20,542,000","19,779,000","13,489,000","10,478,000","8,613,000","10,084,000","8,832,000","7,703,000","8,174,000","8,028,000","8,679,000","9,332,000","8,858,000","8,558,000","13,521,000","9,282,000","8,328,000","7,874,000","9,174,000","9,458,000","11,246,000","9,246,000","8,926,000","10,000,000","9,000,000","9,000,000","9,000,000","9,000,000","8,000,000","9,000,000","9,000,000","7,000,000","8,000,000","7,000,000","7,000,000","7,000,000","8,000,000","7,000,000","9,000,000","8,000,000","9,000,000","10,000,000","11,000,000","10,000,000","11,000,000","11,000,000","11,000,000","11,000,000","11,000,000","12,000,000","13,000,000","12,000,000","12,000,000","14,000,000","11,000,000","14,000,000","13,000,000","11,000,000","8,000,000","9,000,000","9,000,000","10,000,000","8,000,000","10,000,000"
		DeferredTax,"809,000","1,395,000","2,707,000","-1,985,000","-1,355,000","-2,793,000","-13,740,000","2,247,000","7,642,000","3,002,000","-7,800,000","7,413,000","14,856,000","6,427,000","5,783,000","65,628,000","-41,802,000","19,791,000","-12,646,000","-2,056,000","-232,000","-761,000","-324,000","-2,647,000","-8,606,000","-485,000","3,783,000","-7,920,000","2,973,000","-11,060,000","-3,219,000","-502,000","-1,222,000","-19,806,000","-2,840,000","1,937,000","-1,660,000","6,224,000","-1,819,000","3,943,000","-218,000","-49,873,000","-719,000","2,024,000","3,515,000","-30,786,000","10,768,000","-1,000","-8,241,000","1,983,000","-11,677,000","-838,000","1,686,000","-7,163,000","-880,000","302,000","887,000","1,634,000","-1,044,000","2,595,000","1,028,000","-2,226,000","2,437,000","1,100,000","146,000","149,819,000","-8,000,000","11,000,000","2,000,000","-14,000,000","26,000,000","2,000,000","12,000,000","6,000,000","6,000,000","-5,000,000","-5,000,000","1,000,000","-14,000,000","-5,000,000","-8,000,000","12,000,000","0",,,"-10,000,000","-24,000,000","2,000,000","7,000,000","-28,000,000","-4,000,000","2,000,000","4,000,000","-17,000,000","-8,000,000","0","1,000,000","-30,000,000",,,"5,000,000","2,000,000","6,000,000","0","11,000,000","-10,000,000","-5,000,000"
