name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
OperatingCashFlow,"207,011,000","-55,911,000","326,237,000","-36,359,000","-29,872,000","-41,131,000","39,468,000","-36,460,000","-21,496,000","-35,573,000","-25,506,000","-29,153,000","-23,749,000","-29,297,000","-4,140,000","-19,557,000","70,211,000","58,134,000","-13,826,000","-17,136,000","-9,549,000","-17,481,000","-20,423,000","-11,818,000","-8,430,000","-7,887,000","-4,443,000","-8,395,000","-8,002,000","-1,675,000","138,000","-3,554,000"
	CashFlowFromContinuingOperatingActivities,"207,011,000","-55,911,000","326,237,000","-36,359,000","-29,872,000","-41,131,000","39,468,000","-36,460,000","-21,496,000","-35,573,000","-25,506,000","-29,153,000","-23,749,000","-29,297,000","-4,140,000","-19,557,000","70,211,000","58,134,000","-13,826,000","-17,136,000","-9,549,000","-17,481,000","-20,423,000","-11,818,000","-8,430,000","-7,887,000","-4,443,000","-8,395,000","-8,002,000","-1,675,000","138,000","-3,554,000"
		NetIncomeFromContinuingOperations,"101,256,000","-76,723,000","294,023,000","-58,405,000","-57,639,000","-50,139,000","-46,241,000","8,791,000","-33,762,000","-40,038,000","-26,464,000","-34,584,000","-1,457,000","-32,228,000","4,306,000","-19,202,000","10,594,000","104,239,000","-15,997,000","-20,706,000","-14,473,000","-21,993,000","-19,608,000","-18,154,000","-14,437,000","-10,768,000","-5,176,000","-7,334,000","-6,290,000","-4,011,000","-2,336,000","-1,790,000"
		OperatingGainsLosses,,,"0","-5,182,000","0","-7,000","-13,125,000","15,282,000","10,000","-7,085,000","-5,970,000",,,,"24,000",,,,"0","1,000","0","-480,000",,,,"-13,000","15,000","3,000","-128,000","121,000","69,000",
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,"-2,000","13,000","-13,000","15,000","3,000","-128,000","121,000","69,000","-25,000"
			GainLossOnInvestmentSecurities,,,"0","-5,182,000","0","-7,000","-13,125,000","15,282,000","10,000","-7,085,000","-5,970,000",,,,"24,000",,,,"0","1,000","0","-480,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"10,226,000","2,591,000","2,606,000","2,828,000","2,201,000","1,929,000","2,105,000","2,176,000","2,132,000","1,994,000","1,923,000","1,866,000","1,749,000","1,614,000","1,311,000","941,000","896,000","834,000","723,000","706,000","703,000","554,000","280,000","160,000","56,000","48,000","37,000","28,000","15,000","0","0","0"
			DepreciationAndAmortization,"10,226,000","2,591,000","2,606,000","2,828,000","2,201,000","1,929,000","2,105,000","2,176,000","2,132,000","1,994,000","1,923,000","1,866,000","1,749,000","1,614,000","1,311,000","941,000","896,000","834,000","723,000","706,000","703,000","554,000","280,000","160,000","56,000","48,000","37,000","28,000","15,000","0","0","0"
		AmortizationOfSecurities,"6,014,000","1,460,000","1,465,000","1,506,000","1,583,000","1,288,000","497,000","381,000","166,000","39,000","-111,000","-297,000","-420,000","-368,000","-134,000","171,000","340,000","378,000","405,000","465,000","476,000","469,000","502,000","515,000","516,000","471,000","310,000",,,"0",,
		ProvisionandWriteOffofAssets,"-3,134,000","0","-8,101,000","4,967,000","0","565,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"-31,784,000",,,,,,,,"-4,417,000","12,196,000","-2,364,000","2,236,000",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"39,688,000","10,800,000","9,162,000","9,734,000","9,992,000","9,920,000","7,581,000","8,035,000","8,316,000","8,017,000","6,875,000","7,162,000","7,099,000","5,718,000","4,886,000","4,483,000","3,981,000","3,291,000","2,796,000","2,735,000","2,483,000","2,591,000","2,000,000","1,829,000","1,656,000","1,546,000","862,000","1,348,000","635,000","76,000","99,000","220,000"
		OtherNonCashItems,"675,000","-83,000","-15,024,000","6,765,000","6,101,000","6,519,000","541,000","-243,000","-704,000","-823,000","-949,000","-801,000","-647,000","-286,000","-582,000","-110,000","-6,895,000","-1,345,000","34,000","-421,000","-1,000","41,000",,,,,"0","0","0","13,000","85,000",
